,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
278,,0.1.85,"05/30/2023, 01:00:00",2548.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 00:30:00"
277,,0.2.85,"05/30/2023, 01:00:00",6984.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 00:30:00"
276,,0.3.85,"05/30/2023, 01:00:00",100900.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 00:30:00"
275,"05/30/2023, 00:38:32",0.2.85,"05/30/2023, 01:00:00",6984.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 00:30:00"
274,"05/30/2023, 00:38:32",0.3.85,"05/30/2023, 01:00:00",100900.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 00:30:00"
273,"05/30/2023, 00:38:32",0.1.85,"05/30/2023, 01:00:00",2548.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 00:30:00"
272,"05/30/2023, 00:38:32",0.1.85,"05/30/2023, 01:00:00",2548.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 00:30:00"
271,"05/30/2023, 00:38:32",0.3.85,"05/30/2023, 01:00:00",100900.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 00:30:00"
270,"05/30/2023, 00:38:32",0.2.85,"05/30/2023, 01:00:00",6984.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 00:30:00"
269,,0.3.85,"05/30/2023, 01:30:00",100910.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 01:00:00"
268,"05/30/2023, 01:18:54",0.3.85,"05/30/2023, 01:30:00",100910.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 01:00:00"
267,"05/30/2023, 01:18:54",0.3.85,"05/30/2023, 01:30:00",100910.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 01:00:00"
266,,0.1.85,"05/30/2023, 02:00:00",2551.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 01:30:00"
265,,0.2.85,"05/30/2023, 02:00:00",6977.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 01:30:00"
264,,0.3.85,"05/30/2023, 02:00:00",100916.666667,lumi.54ef4410004b0ef6,3,"05/30/2023, 01:30:00"
263,"05/30/2023, 01:33:18",0.2.85,"05/30/2023, 02:00:00",6977.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 01:30:00"
262,"05/30/2023, 01:30:23",0.3.85,"05/30/2023, 02:00:00",100940.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 01:30:00"
261,"05/30/2023, 01:33:18",0.1.85,"05/30/2023, 02:00:00",2551.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 01:30:00"
260,"05/30/2023, 01:33:18",0.1.85,"05/30/2023, 02:00:00",2551.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 01:30:00"
259,"05/30/2023, 01:33:18",0.3.85,"05/30/2023, 02:00:00",100900.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 01:30:00"
258,"05/30/2023, 01:33:18",0.2.85,"05/30/2023, 02:00:00",6977.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 01:30:00"
257,,0.1.85,"05/30/2023, 02:30:00",2553.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 02:00:00"
256,,0.2.85,"05/30/2023, 02:30:00",6986.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 02:00:00"
255,,0.3.85,"05/30/2023, 02:30:00",100900.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 02:00:00"
254,"05/30/2023, 02:28:04",0.2.85,"05/30/2023, 02:30:00",6986.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 02:00:00"
253,"05/30/2023, 02:28:04",0.3.85,"05/30/2023, 02:30:00",100900.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 02:00:00"
252,"05/30/2023, 02:28:04",0.1.85,"05/30/2023, 02:30:00",2553.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 02:00:00"
251,"05/30/2023, 02:28:04",0.1.85,"05/30/2023, 02:30:00",2553.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 02:00:00"
250,"05/30/2023, 02:28:04",0.3.85,"05/30/2023, 02:30:00",100900.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 02:00:00"
249,"05/30/2023, 02:28:04",0.2.85,"05/30/2023, 02:30:00",6986.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 02:00:00"
248,,0.3.85,"05/30/2023, 03:00:00",100880.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 02:30:00"
247,"05/30/2023, 02:57:07",0.3.85,"05/30/2023, 03:00:00",100880.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 02:30:00"
246,"05/30/2023, 02:57:07",0.3.85,"05/30/2023, 03:00:00",100880.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 02:30:00"
245,,0.1.85,"05/30/2023, 03:30:00",2569.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 03:00:00"
244,,0.2.85,"05/30/2023, 03:30:00",7018.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 03:00:00"
243,,0.3.85,"05/30/2023, 03:30:00",100800.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 03:00:00"
242,"05/30/2023, 03:22:50",0.2.85,"05/30/2023, 03:30:00",7018.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 03:00:00"
241,"05/30/2023, 03:22:50",0.3.85,"05/30/2023, 03:30:00",100800.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 03:00:00"
240,"05/30/2023, 03:22:50",0.1.85,"05/30/2023, 03:30:00",2569.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 03:00:00"
239,"05/30/2023, 03:22:50",0.1.85,"05/30/2023, 03:30:00",2569.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 03:00:00"
238,"05/30/2023, 03:22:50",0.3.85,"05/30/2023, 03:30:00",100800.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 03:00:00"
237,"05/30/2023, 03:22:50",0.2.85,"05/30/2023, 03:30:00",7018.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 03:00:00"
236,,0.3.85,"05/30/2023, 04:00:00",100850.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 03:30:00"
235,"05/30/2023, 03:31:49",0.3.85,"05/30/2023, 04:00:00",100850.000000,lumi.54ef4410004b0ef6,2,"05/30/2023, 03:30:00"
234,"05/30/2023, 03:31:49",0.3.85,"05/30/2023, 04:00:00",100850.000000,lumi.54ef4410004b0ef6,1,"05/30/2023, 03:30:00"
233,,0.1.85,"05/30/2023, 04:30:00",2573.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 04:00:00"
232,,0.2.85,"05/30/2023, 04:30:00",7027.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 04:00:00"
231,,0.3.85,"05/30/2023, 04:30:00",100840.0,lumi.54ef4410004b0ef6,3,"05/30/2023, 04:00:00"
