,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,0.13.85,"06/02/2023, 04:00:00",2.7799999999999994,lumi.54ef44100062b5af,0,"06/02/2023, 00:00:00"
13,,0.13.85,"06/02/2023, 09:00:00",3.2100000000000004,lumi.54ef44100062b5af,0,"06/02/2023, 04:30:00"
12,,0.13.85,"06/02/2023, 14:00:00",18.75,lumi.54ef44100062b5af,0,"06/02/2023, 09:30:00"
11,,0.13.85,"06/02/2023, 19:00:00",18.109999999999996,lumi.54ef44100062b5af,0,"06/02/2023, 14:30:00"
10,,0.13.85,"06/03/2023, 00:00:00",85.39,lumi.54ef44100062b5af,0,"06/02/2023, 19:30:00"
9,,0.13.85,"06/03/2023, 05:00:00",3.53,lumi.54ef44100062b5af,0,"06/03/2023, 00:30:00"
8,,0.13.85,"06/03/2023, 10:00:00",3.2499999999999996,lumi.54ef44100062b5af,0,"06/03/2023, 05:30:00"
7,,0.13.85,"06/03/2023, 15:00:00",3.43,lumi.54ef44100062b5af,0,"06/03/2023, 10:30:00"
6,,0.13.85,"06/03/2023, 20:00:00",3.55,lumi.54ef44100062b5af,0,"06/03/2023, 15:30:00"
5,,0.13.85,"06/04/2023, 01:00:00",37.06999999999999,lumi.54ef44100062b5af,0,"06/03/2023, 20:30:00"
4,,0.13.85,"06/04/2023, 06:00:00",59.70000000000001,lumi.54ef44100062b5af,0,"06/04/2023, 01:30:00"
3,,0.13.85,"06/04/2023, 11:00:00",3.2199999999999998,lumi.54ef44100062b5af,0,"06/04/2023, 06:30:00"
2,,0.13.85,"06/04/2023, 16:00:00",96.64999999999999,lumi.54ef44100062b5af,0,"06/04/2023, 11:30:00"
1,,0.13.85,"06/04/2023, 21:00:00",12.129999999999999,lumi.54ef44100062b5af,0,"06/04/2023, 16:30:00"
0,,0.13.85,"06/05/2023, 00:00:00",1.97,lumi.54ef44100062b5af,0,"06/04/2023, 21:30:00"
