,timeStamp,resourceId,value,subjectId
223,"10/20/2023, 04:04:58",0.12.85,0.60,lumi.54ef44100062b5af
222,"10/20/2023, 04:04:58",0.13.85,3832.76,lumi.54ef44100062b5af
221,"10/20/2023, 04:11:26",0.12.85,0.63,lumi.54ef44100062b5af
220,"10/20/2023, 04:11:26",0.13.85,3832.85,lumi.54ef44100062b5af
219,"10/20/2023, 04:17:04",0.12.85,0.77,lumi.54ef44100062b5af
218,"10/20/2023, 04:17:04",0.13.85,3832.94,lumi.54ef44100062b5af
217,"10/20/2023, 04:24:04",0.12.85,0.62,lumi.54ef44100062b5af
216,"10/20/2023, 04:24:04",0.13.85,3833.04,lumi.54ef44100062b5af
215,"10/20/2023, 04:29:12",0.12.85,0.86,lumi.54ef44100062b5af
214,"10/20/2023, 04:29:12",0.13.85,3833.10,lumi.54ef44100062b5af
213,"10/20/2023, 04:36:52",0.12.85,0.57,lumi.54ef44100062b5af
212,"10/20/2023, 04:36:52",0.13.85,3833.22,lumi.54ef44100062b5af
211,"10/20/2023, 04:42:51",0.12.85,0.60,lumi.54ef44100062b5af
210,"10/20/2023, 04:42:51",0.13.85,3833.30,lumi.54ef44100062b5af
209,"10/20/2023, 04:50:42",0.12.85,0.56,lumi.54ef44100062b5af
208,"10/20/2023, 04:50:42",0.13.85,3833.41,lumi.54ef44100062b5af
207,"10/20/2023, 04:58:29",0.12.85,0.59,lumi.54ef44100062b5af
206,"10/20/2023, 04:58:29",0.13.85,3833.53,lumi.54ef44100062b5af
205,"10/20/2023, 05:05:58",0.12.85,0.73,lumi.54ef44100062b5af
204,"10/20/2023, 05:05:58",0.13.85,3833.63,lumi.54ef44100062b5af
203,"10/20/2023, 05:12:13",0.12.85,0.72,lumi.54ef44100062b5af
202,"10/20/2023, 05:12:13",0.13.85,3833.72,lumi.54ef44100062b5af
201,"10/20/2023, 05:17:52",0.12.85,0.72,lumi.54ef44100062b5af
200,"10/20/2023, 05:17:52",0.13.85,3833.81,lumi.54ef44100062b5af
199,"10/20/2023, 05:24:09",0.12.85,0.69,lumi.54ef44100062b5af
198,"10/20/2023, 05:24:09",0.13.85,3833.90,lumi.54ef44100062b5af
197,"10/20/2023, 05:29:29",0.12.85,0.56,lumi.54ef44100062b5af
196,"10/20/2023, 05:29:29",0.13.85,3833.97,lumi.54ef44100062b5af
195,"10/20/2023, 05:36:05",0.12.85,0.58,lumi.54ef44100062b5af
194,"10/20/2023, 05:36:05",0.13.85,3834.07,lumi.54ef44100062b5af
193,"10/20/2023, 05:43:07",0.12.85,0.93,lumi.54ef44100062b5af
192,"10/20/2023, 05:43:07",0.13.85,3834.17,lumi.54ef44100062b5af
191,"10/20/2023, 05:50:59",0.12.85,0.73,lumi.54ef44100062b5af
190,"10/20/2023, 05:50:59",0.13.85,3834.28,lumi.54ef44100062b5af
189,"10/20/2023, 05:57:35",0.12.85,0.68,lumi.54ef44100062b5af
188,"10/20/2023, 05:57:35",0.13.85,3834.37,lumi.54ef44100062b5af
187,"10/20/2023, 06:03:29",0.12.85,0.58,lumi.54ef44100062b5af
186,"10/20/2023, 06:03:29",0.13.85,3834.45,lumi.54ef44100062b5af
185,"10/20/2023, 06:10:05",0.12.85,0.42,lumi.54ef44100062b5af
184,"10/20/2023, 06:10:05",0.13.85,3834.53,lumi.54ef44100062b5af
183,"10/20/2023, 06:17:14",0.12.85,1.50,lumi.54ef44100062b5af
182,"10/20/2023, 06:17:14",0.13.85,3834.63,lumi.54ef44100062b5af
181,"10/20/2023, 06:22:53",0.12.85,0.69,lumi.54ef44100062b5af
180,"10/20/2023, 06:22:53",0.13.85,3834.71,lumi.54ef44100062b5af
179,"10/20/2023, 06:29:43",0.12.85,0.71,lumi.54ef44100062b5af
178,"10/20/2023, 06:29:43",0.13.85,3834.82,lumi.54ef44100062b5af
177,"10/20/2023, 06:37:17",0.12.85,0.69,lumi.54ef44100062b5af
176,"10/20/2023, 06:37:17",0.13.85,3834.93,lumi.54ef44100062b5af
175,"10/20/2023, 06:42:22",0.12.85,3.580000,lumi.54ef44100062b5af
174,"10/20/2023, 06:43:32",0.12.85,0.59,lumi.54ef44100062b5af
173,"10/20/2023, 06:43:32",0.13.85,3835.04,lumi.54ef44100062b5af
172,"10/20/2023, 06:45:10",0.12.85,0.470000,lumi.54ef44100062b5af
171,"10/20/2023, 06:50:33",0.12.85,0.67,lumi.54ef44100062b5af
170,"10/20/2023, 06:50:33",0.13.85,3835.14,lumi.54ef44100062b5af
169,"10/20/2023, 06:57:50",0.12.85,1.65,lumi.54ef44100062b5af
168,"10/20/2023, 06:57:50",0.13.85,3835.25,lumi.54ef44100062b5af
167,"10/20/2023, 07:05:23",0.12.85,0.57,lumi.54ef44100062b5af
166,"10/20/2023, 07:05:23",0.13.85,3835.36,lumi.54ef44100062b5af
165,"10/20/2023, 07:10:52",0.12.85,0.58,lumi.54ef44100062b5af
164,"10/20/2023, 07:10:52",0.13.85,3835.45,lumi.54ef44100062b5af
163,"10/20/2023, 07:18:01",0.12.85,1.74,lumi.54ef44100062b5af
162,"10/20/2023, 07:18:01",0.13.85,3835.56,lumi.54ef44100062b5af
161,"10/20/2023, 07:25:39",0.12.85,0.74,lumi.54ef44100062b5af
160,"10/20/2023, 07:25:39",0.13.85,3835.67,lumi.54ef44100062b5af
159,"10/20/2023, 07:32:27",0.12.85,0.54,lumi.54ef44100062b5af
158,"10/20/2023, 07:32:27",0.13.85,3835.76,lumi.54ef44100062b5af
157,"10/20/2023, 07:40:24",0.12.85,0.62,lumi.54ef44100062b5af
156,"10/20/2023, 07:40:24",0.13.85,3835.88,lumi.54ef44100062b5af
155,"10/20/2023, 07:46:36",0.12.85,0.53,lumi.54ef44100062b5af
154,"10/20/2023, 07:46:36",0.13.85,3835.96,lumi.54ef44100062b5af
153,"10/20/2023, 07:54:01",0.12.85,0.54,lumi.54ef44100062b5af
152,"10/20/2023, 07:54:01",0.13.85,3836.07,lumi.54ef44100062b5af
151,"10/20/2023, 07:59:26",0.12.85,0.59,lumi.54ef44100062b5af
150,"10/20/2023, 07:59:26",0.13.85,3836.14,lumi.54ef44100062b5af
149,"10/20/2023, 08:05:36",0.12.85,1.00,lumi.54ef44100062b5af
148,"10/20/2023, 08:05:36",0.13.85,3836.22,lumi.54ef44100062b5af
147,"10/20/2023, 08:11:52",0.12.85,0.84,lumi.54ef44100062b5af
146,"10/20/2023, 08:11:52",0.13.85,3836.31,lumi.54ef44100062b5af
145,"10/20/2023, 08:18:49",0.12.85,0.66,lumi.54ef44100062b5af
144,"10/20/2023, 08:18:49",0.13.85,3836.42,lumi.54ef44100062b5af
143,"10/20/2023, 08:26:52",0.12.85,0.55,lumi.54ef44100062b5af
142,"10/20/2023, 08:26:52",0.13.85,3836.53,lumi.54ef44100062b5af
141,"10/20/2023, 08:32:09",0.12.85,0.65,lumi.54ef44100062b5af
140,"10/20/2023, 08:32:09",0.13.85,3836.60,lumi.54ef44100062b5af
139,"10/20/2023, 08:39:44",0.12.85,1.07,lumi.54ef44100062b5af
138,"10/20/2023, 08:39:44",0.13.85,3836.71,lumi.54ef44100062b5af
137,"10/20/2023, 08:45:53",0.12.85,0.75,lumi.54ef44100062b5af
136,"10/20/2023, 08:45:53",0.13.85,3836.80,lumi.54ef44100062b5af
135,"10/20/2023, 08:52:11",0.12.85,0.63,lumi.54ef44100062b5af
134,"10/20/2023, 08:52:11",0.13.85,3836.89,lumi.54ef44100062b5af
133,"10/20/2023, 08:57:29",0.12.85,0.63,lumi.54ef44100062b5af
132,"10/20/2023, 08:57:29",0.13.85,3836.96,lumi.54ef44100062b5af
131,"10/20/2023, 09:02:45",0.12.85,1.39,lumi.54ef44100062b5af
130,"10/20/2023, 09:02:45",0.13.85,3837.04,lumi.54ef44100062b5af
129,"10/20/2023, 09:10:13",0.12.85,0.56,lumi.54ef44100062b5af
128,"10/20/2023, 09:10:13",0.13.85,3837.14,lumi.54ef44100062b5af
127,"10/20/2023, 09:15:26",0.12.85,0.83,lumi.54ef44100062b5af
126,"10/20/2023, 09:15:26",0.13.85,3837.21,lumi.54ef44100062b5af
125,"10/20/2023, 09:20:34",0.12.85,0.50,lumi.54ef44100062b5af
124,"10/20/2023, 09:20:34",0.13.85,3837.29,lumi.54ef44100062b5af
123,"10/20/2023, 09:27:02",0.12.85,0.54,lumi.54ef44100062b5af
122,"10/20/2023, 09:27:02",0.13.85,3837.39,lumi.54ef44100062b5af
121,"10/20/2023, 09:34:23",0.12.85,0.57,lumi.54ef44100062b5af
120,"10/20/2023, 09:34:23",0.13.85,3837.49,lumi.54ef44100062b5af
119,"10/20/2023, 09:39:40",0.12.85,0.79,lumi.54ef44100062b5af
118,"10/20/2023, 09:39:40",0.13.85,3837.56,lumi.54ef44100062b5af
117,"10/20/2023, 09:44:51",0.12.85,0.55,lumi.54ef44100062b5af
116,"10/20/2023, 09:44:51",0.13.85,3837.63,lumi.54ef44100062b5af
115,"10/20/2023, 09:51:08",0.12.85,0.73,lumi.54ef44100062b5af
114,"10/20/2023, 09:51:08",0.13.85,3837.72,lumi.54ef44100062b5af
113,"10/20/2023, 09:58:12",0.12.85,0.55,lumi.54ef44100062b5af
112,"10/20/2023, 09:58:12",0.13.85,3837.82,lumi.54ef44100062b5af
111,"10/20/2023, 10:04:12",0.12.85,0.87,lumi.54ef44100062b5af
110,"10/20/2023, 10:04:12",0.13.85,3837.91,lumi.54ef44100062b5af
109,"10/20/2023, 10:09:45",0.12.85,0.68,lumi.54ef44100062b5af
108,"10/20/2023, 10:09:45",0.13.85,3837.99,lumi.54ef44100062b5af
107,"10/20/2023, 10:16:16",0.12.85,0.72,lumi.54ef44100062b5af
106,"10/20/2023, 10:16:16",0.13.85,3838.08,lumi.54ef44100062b5af
105,"10/20/2023, 10:21:31",0.12.85,1.06,lumi.54ef44100062b5af
104,"10/20/2023, 10:21:31",0.13.85,3838.14,lumi.54ef44100062b5af
103,"10/20/2023, 10:27:06",0.12.85,0.84,lumi.54ef44100062b5af
102,"10/20/2023, 10:27:06",0.13.85,3838.22,lumi.54ef44100062b5af
101,"10/20/2023, 10:34:34",0.12.85,0.56,lumi.54ef44100062b5af
100,"10/20/2023, 10:34:34",0.13.85,3838.32,lumi.54ef44100062b5af
99,"10/20/2023, 10:40:30",0.12.85,0.67,lumi.54ef44100062b5af
98,"10/20/2023, 10:40:30",0.13.85,3838.40,lumi.54ef44100062b5af
97,"10/20/2023, 10:47:14",0.12.85,0.60,lumi.54ef44100062b5af
96,"10/20/2023, 10:47:14",0.13.85,3838.50,lumi.54ef44100062b5af
95,"10/20/2023, 10:53:01",0.12.85,0.73,lumi.54ef44100062b5af
94,"10/20/2023, 10:53:01",0.13.85,3838.58,lumi.54ef44100062b5af
93,"10/20/2023, 10:59:27",0.12.85,0.68,lumi.54ef44100062b5af
92,"10/20/2023, 10:59:27",0.13.85,3838.68,lumi.54ef44100062b5af
91,"10/20/2023, 11:07:26",0.12.85,0.83,lumi.54ef44100062b5af
90,"10/20/2023, 11:07:26",0.13.85,3838.79,lumi.54ef44100062b5af
89,"10/20/2023, 11:14:37",0.12.85,0.57,lumi.54ef44100062b5af
88,"10/20/2023, 11:14:37",0.13.85,3838.88,lumi.54ef44100062b5af
87,"10/20/2023, 11:22:35",0.12.85,0.77,lumi.54ef44100062b5af
86,"10/20/2023, 11:22:35",0.13.85,3839.01,lumi.54ef44100062b5af
85,"10/20/2023, 11:28:50",0.12.85,0.41,lumi.54ef44100062b5af
84,"10/20/2023, 11:28:50",0.13.85,3839.10,lumi.54ef44100062b5af
83,"10/20/2023, 11:33:18",0.12.85,6.880000,lumi.54ef44100062b5af
82,"10/20/2023, 11:33:54",0.12.85,0.530000,lumi.54ef44100062b5af
81,"10/20/2023, 11:36:25",0.12.85,1.55,lumi.54ef44100062b5af
80,"10/20/2023, 11:36:25",0.13.85,3839.26,lumi.54ef44100062b5af
79,"10/20/2023, 11:41:41",0.12.85,0.73,lumi.54ef44100062b5af
78,"10/20/2023, 11:41:41",0.13.85,3839.34,lumi.54ef44100062b5af
77,"10/20/2023, 11:47:43",0.12.85,0.48,lumi.54ef44100062b5af
76,"10/20/2023, 11:47:43",0.13.85,3839.42,lumi.54ef44100062b5af
75,"10/20/2023, 11:54:10",0.12.85,0.71,lumi.54ef44100062b5af
74,"10/20/2023, 11:54:10",0.13.85,3839.52,lumi.54ef44100062b5af
73,"10/20/2023, 12:01:40",0.12.85,0.59,lumi.54ef44100062b5af
72,"10/20/2023, 12:01:40",0.13.85,3839.62,lumi.54ef44100062b5af
71,"10/20/2023, 12:08:52",0.12.85,0.58,lumi.54ef44100062b5af
70,"10/20/2023, 12:08:52",0.13.85,3839.73,lumi.54ef44100062b5af
69,"10/20/2023, 12:16:55",0.12.85,0.67,lumi.54ef44100062b5af
68,"10/20/2023, 12:16:55",0.13.85,3839.84,lumi.54ef44100062b5af
67,"10/20/2023, 12:22:17",0.12.85,0.56,lumi.54ef44100062b5af
66,"10/20/2023, 12:22:17",0.13.85,3839.93,lumi.54ef44100062b5af
65,"10/20/2023, 12:28:44",0.12.85,0.89,lumi.54ef44100062b5af
64,"10/20/2023, 12:28:44",0.13.85,3840.01,lumi.54ef44100062b5af
63,"10/20/2023, 12:36:10",0.12.85,0.78,lumi.54ef44100062b5af
62,"10/20/2023, 12:36:10",0.13.85,3840.12,lumi.54ef44100062b5af
61,"10/20/2023, 12:41:56",0.12.85,0.59,lumi.54ef44100062b5af
60,"10/20/2023, 12:41:56",0.13.85,3840.20,lumi.54ef44100062b5af
59,"10/20/2023, 12:48:58",0.12.85,2.08,lumi.54ef44100062b5af
58,"10/20/2023, 12:48:58",0.13.85,3840.30,lumi.54ef44100062b5af
57,"10/20/2023, 12:55:06",0.12.85,0.65,lumi.54ef44100062b5af
56,"10/20/2023, 12:55:06",0.13.85,3840.40,lumi.54ef44100062b5af
55,"10/20/2023, 13:02:30",0.12.85,0.76,lumi.54ef44100062b5af
54,"10/20/2023, 13:02:30",0.13.85,3840.50,lumi.54ef44100062b5af
53,"10/20/2023, 13:08:52",0.12.85,0.40,lumi.54ef44100062b5af
52,"10/20/2023, 13:08:52",0.13.85,3840.59,lumi.54ef44100062b5af
51,"10/20/2023, 13:16:48",0.12.85,0.61,lumi.54ef44100062b5af
50,"10/20/2023, 13:16:48",0.13.85,3840.70,lumi.54ef44100062b5af
49,"10/20/2023, 13:24:15",0.12.85,0.71,lumi.54ef44100062b5af
48,"10/20/2023, 13:24:15",0.13.85,3840.80,lumi.54ef44100062b5af
47,"10/20/2023, 13:31:42",0.12.85,0.68,lumi.54ef44100062b5af
46,"10/20/2023, 13:31:42",0.13.85,3840.91,lumi.54ef44100062b5af
45,"10/20/2023, 13:38:03",0.12.85,0.62,lumi.54ef44100062b5af
44,"10/20/2023, 13:38:03",0.13.85,3841.00,lumi.54ef44100062b5af
43,"10/20/2023, 13:44:57",0.12.85,0.62,lumi.54ef44100062b5af
42,"10/20/2023, 13:44:57",0.13.85,3841.10,lumi.54ef44100062b5af
41,"10/20/2023, 13:51:57",0.12.85,0.55,lumi.54ef44100062b5af
40,"10/20/2023, 13:51:57",0.13.85,3841.20,lumi.54ef44100062b5af
39,"10/20/2023, 13:59:05",0.12.85,0.74,lumi.54ef44100062b5af
38,"10/20/2023, 13:59:05",0.13.85,3841.30,lumi.54ef44100062b5af
37,"10/20/2023, 14:00:27",0.12.85,0.000000,lumi.54ef44100062b5af
36,"10/20/2023, 14:00:44",0.12.85,0.790000,lumi.54ef44100062b5af
35,"10/20/2023, 14:05:53",0.12.85,0.62,lumi.54ef44100062b5af
34,"10/20/2023, 14:05:53",0.13.85,3841.40,lumi.54ef44100062b5af
33,"10/20/2023, 14:13:02",0.12.85,0.81,lumi.54ef44100062b5af
32,"10/20/2023, 14:13:02",0.13.85,3841.50,lumi.54ef44100062b5af
31,"10/20/2023, 14:19:23",0.12.85,0.59,lumi.54ef44100062b5af
30,"10/20/2023, 14:19:23",0.13.85,3841.59,lumi.54ef44100062b5af
29,"10/20/2023, 14:25:08",0.12.85,0.75,lumi.54ef44100062b5af
28,"10/20/2023, 14:25:08",0.13.85,3841.67,lumi.54ef44100062b5af
27,"10/20/2023, 14:33:08",0.12.85,0.59,lumi.54ef44100062b5af
26,"10/20/2023, 14:33:08",0.13.85,3841.78,lumi.54ef44100062b5af
25,"10/20/2023, 14:38:19",0.12.85,0.53,lumi.54ef44100062b5af
24,"10/20/2023, 14:38:19",0.13.85,3841.85,lumi.54ef44100062b5af
23,"10/20/2023, 14:43:38",0.12.85,0.000000,lumi.54ef44100062b5af
22,"10/20/2023, 14:44:06",0.12.85,0.500000,lumi.54ef44100062b5af
21,"10/20/2023, 14:46:11",0.12.85,0.71,lumi.54ef44100062b5af
20,"10/20/2023, 14:46:11",0.13.85,3841.96,lumi.54ef44100062b5af
19,"10/20/2023, 14:53:42",0.12.85,0.52,lumi.54ef44100062b5af
18,"10/20/2023, 14:53:42",0.13.85,3842.06,lumi.54ef44100062b5af
17,"10/20/2023, 15:00:26",0.12.85,0.67,lumi.54ef44100062b5af
16,"10/20/2023, 15:00:26",0.13.85,3842.18,lumi.54ef44100062b5af
15,"10/20/2023, 15:05:40",0.12.85,0.57,lumi.54ef44100062b5af
14,"10/20/2023, 15:05:40",0.13.85,3842.25,lumi.54ef44100062b5af
13,"10/20/2023, 15:13:22",0.12.85,0.82,lumi.54ef44100062b5af
12,"10/20/2023, 15:13:22",0.13.85,3842.38,lumi.54ef44100062b5af
11,"10/20/2023, 15:19:02",0.12.85,0.75,lumi.54ef44100062b5af
10,"10/20/2023, 15:19:02",0.13.85,3842.46,lumi.54ef44100062b5af
9,"10/20/2023, 15:26:11",0.12.85,0.68,lumi.54ef44100062b5af
8,"10/20/2023, 15:26:11",0.13.85,3842.56,lumi.54ef44100062b5af
7,"10/20/2023, 15:34:04",0.12.85,0.67,lumi.54ef44100062b5af
6,"10/20/2023, 15:34:04",0.13.85,3842.68,lumi.54ef44100062b5af
5,"10/20/2023, 15:41:39",0.12.85,0.67,lumi.54ef44100062b5af
4,"10/20/2023, 15:41:39",0.13.85,3842.79,lumi.54ef44100062b5af
3,"10/20/2023, 15:48:47",0.12.85,0.60,lumi.54ef44100062b5af
2,"10/20/2023, 15:48:47",0.13.85,3842.89,lumi.54ef44100062b5af
1,"10/20/2023, 15:55:48",0.12.85,0.46,lumi.54ef44100062b5af
0,"10/20/2023, 15:55:48",0.13.85,3842.99,lumi.54ef44100062b5af
