,timeStamp,resourceId,value,subjectId
214,"10/23/2023, 00:40:02",0.1.85,2443,lumi.54ef4410004b0ef6
213,"10/23/2023, 00:40:02",0.2.85,6787,lumi.54ef4410004b0ef6
212,"10/23/2023, 00:40:02",0.3.85,102100,lumi.54ef4410004b0ef6
211,"10/23/2023, 01:09:48",0.3.85,102210,lumi.54ef4410004b0ef6
210,"10/23/2023, 01:34:48",0.1.85,2436,lumi.54ef4410004b0ef6
209,"10/23/2023, 01:34:48",0.2.85,6906,lumi.54ef4410004b0ef6
208,"10/23/2023, 01:34:48",0.3.85,102200,lumi.54ef4410004b0ef6
207,"10/23/2023, 02:03:50",0.3.85,102180,lumi.54ef4410004b0ef6
206,"10/23/2023, 02:29:33",0.1.85,2439,lumi.54ef4410004b0ef6
205,"10/23/2023, 02:29:33",0.2.85,6818,lumi.54ef4410004b0ef6
204,"10/23/2023, 02:29:33",0.3.85,102100,lumi.54ef4410004b0ef6
203,"10/23/2023, 03:24:19",0.1.85,2422,lumi.54ef4410004b0ef6
202,"10/23/2023, 03:24:19",0.2.85,6803,lumi.54ef4410004b0ef6
201,"10/23/2023, 03:24:19",0.3.85,102100,lumi.54ef4410004b0ef6
200,"10/23/2023, 04:19:04",0.1.85,2415,lumi.54ef4410004b0ef6
199,"10/23/2023, 04:19:04",0.2.85,6856,lumi.54ef4410004b0ef6
198,"10/23/2023, 04:19:04",0.3.85,102100,lumi.54ef4410004b0ef6
197,"10/23/2023, 04:51:45",0.3.85,102210,lumi.54ef4410004b0ef6
196,"10/23/2023, 05:12:55",0.1.85,2401,lumi.54ef4410004b0ef6
195,"10/23/2023, 05:13:50",0.1.85,2404,lumi.54ef4410004b0ef6
194,"10/23/2023, 05:13:50",0.2.85,6830,lumi.54ef4410004b0ef6
193,"10/23/2023, 05:13:50",0.3.85,102200,lumi.54ef4410004b0ef6
192,"10/23/2023, 06:08:35",0.1.85,2394,lumi.54ef4410004b0ef6
191,"10/23/2023, 06:08:35",0.2.85,6812,lumi.54ef4410004b0ef6
190,"10/23/2023, 06:08:35",0.3.85,102200,lumi.54ef4410004b0ef6
189,"10/23/2023, 06:35:15",0.3.85,102240,lumi.54ef4410004b0ef6
188,"10/23/2023, 07:03:21",0.1.85,2379,lumi.54ef4410004b0ef6
187,"10/23/2023, 07:03:21",0.2.85,6810,lumi.54ef4410004b0ef6
186,"10/23/2023, 07:03:21",0.3.85,102200,lumi.54ef4410004b0ef6
185,"10/23/2023, 07:10:40",0.3.85,102270,lumi.54ef4410004b0ef6
184,"10/23/2023, 07:50:27",0.3.85,102300,lumi.54ef4410004b0ef6
183,"10/23/2023, 07:58:06",0.1.85,2394,lumi.54ef4410004b0ef6
182,"10/23/2023, 07:58:06",0.2.85,6869,lumi.54ef4410004b0ef6
181,"10/23/2023, 07:58:06",0.3.85,102300,lumi.54ef4410004b0ef6
180,"10/23/2023, 08:52:52",0.1.85,2415,lumi.54ef4410004b0ef6
179,"10/23/2023, 08:52:52",0.2.85,6868,lumi.54ef4410004b0ef6
178,"10/23/2023, 08:52:52",0.3.85,102300,lumi.54ef4410004b0ef6
177,"10/23/2023, 09:47:37",0.1.85,2427,lumi.54ef4410004b0ef6
176,"10/23/2023, 09:47:37",0.2.85,6877,lumi.54ef4410004b0ef6
175,"10/23/2023, 09:47:37",0.3.85,102200,lumi.54ef4410004b0ef6
174,"10/23/2023, 09:54:35",0.3.85,102270,lumi.54ef4410004b0ef6
173,"10/23/2023, 10:24:30",0.3.85,102240,lumi.54ef4410004b0ef6
172,"10/23/2023, 10:42:23",0.1.85,2435,lumi.54ef4410004b0ef6
171,"10/23/2023, 10:42:23",0.2.85,7053,lumi.54ef4410004b0ef6
170,"10/23/2023, 10:42:23",0.3.85,102200,lumi.54ef4410004b0ef6
169,"10/23/2023, 11:12:31",0.3.85,102210,lumi.54ef4410004b0ef6
168,"10/23/2023, 11:37:08",0.1.85,2434,lumi.54ef4410004b0ef6
167,"10/23/2023, 11:37:08",0.2.85,7138,lumi.54ef4410004b0ef6
166,"10/23/2023, 11:37:08",0.3.85,102200,lumi.54ef4410004b0ef6
165,"10/23/2023, 11:45:34",0.3.85,102180,lumi.54ef4410004b0ef6
164,"10/23/2023, 12:13:18",0.3.85,102150,lumi.54ef4410004b0ef6
163,"10/23/2023, 12:26:04",0.3.85,102120,lumi.54ef4410004b0ef6
162,"10/23/2023, 12:31:54",0.1.85,2420,lumi.54ef4410004b0ef6
161,"10/23/2023, 12:31:54",0.2.85,7130,lumi.54ef4410004b0ef6
160,"10/23/2023, 12:31:54",0.3.85,102100,lumi.54ef4410004b0ef6
159,"10/23/2023, 12:43:48",0.3.85,102090,lumi.54ef4410004b0ef6
158,"10/23/2023, 13:02:57",0.3.85,102060,lumi.54ef4410004b0ef6
157,"10/23/2023, 13:26:40",0.3.85,102030,lumi.54ef4410004b0ef6
156,"10/23/2023, 13:26:40",0.1.85,2422,lumi.54ef4410004b0ef6
155,"10/23/2023, 13:26:40",0.2.85,7257,lumi.54ef4410004b0ef6
154,"10/23/2023, 13:26:40",0.3.85,102000,lumi.54ef4410004b0ef6
153,"10/23/2023, 13:34:10",0.2.85,7332,lumi.54ef4410004b0ef6
152,"10/23/2023, 13:50:03",0.3.85,102000,lumi.54ef4410004b0ef6
151,"10/23/2023, 14:14:07",0.3.85,101970,lumi.54ef4410004b0ef6
150,"10/23/2023, 14:19:47",0.3.85,102000,lumi.54ef4410004b0ef6
149,"10/23/2023, 14:21:25",0.1.85,2407,lumi.54ef4410004b0ef6
148,"10/23/2023, 14:21:25",0.2.85,7369,lumi.54ef4410004b0ef6
147,"10/23/2023, 14:21:25",0.3.85,101900,lumi.54ef4410004b0ef6
146,"10/23/2023, 14:23:49",0.3.85,101970,lumi.54ef4410004b0ef6
145,"10/23/2023, 15:16:11",0.1.85,2386,lumi.54ef4410004b0ef6
144,"10/23/2023, 15:16:11",0.2.85,7495,lumi.54ef4410004b0ef6
143,"10/23/2023, 15:16:11",0.3.85,101900,lumi.54ef4410004b0ef6
142,"10/23/2023, 15:35:33",0.3.85,101940,lumi.54ef4410004b0ef6
141,"10/23/2023, 16:10:56",0.1.85,2394,lumi.54ef4410004b0ef6
140,"10/23/2023, 16:10:56",0.2.85,7342,lumi.54ef4410004b0ef6
139,"10/23/2023, 16:10:56",0.3.85,101900,lumi.54ef4410004b0ef6
138,"10/23/2023, 17:05:42",0.1.85,2406,lumi.54ef4410004b0ef6
137,"10/23/2023, 17:05:42",0.2.85,7330,lumi.54ef4410004b0ef6
136,"10/23/2023, 17:05:42",0.3.85,101900,lumi.54ef4410004b0ef6
135,"10/23/2023, 17:26:43",0.3.85,101910,lumi.54ef4410004b0ef6
134,"10/23/2023, 18:00:28",0.1.85,2404,lumi.54ef4410004b0ef6
133,"10/23/2023, 18:00:28",0.2.85,7327,lumi.54ef4410004b0ef6
132,"10/23/2023, 18:00:28",0.3.85,101900,lumi.54ef4410004b0ef6
131,"10/23/2023, 18:02:52",0.3.85,101940,lumi.54ef4410004b0ef6
130,"10/23/2023, 18:26:13",0.3.85,101970,lumi.54ef4410004b0ef6
129,"10/23/2023, 18:55:13",0.1.85,2397,lumi.54ef4410004b0ef6
128,"10/23/2023, 18:55:13",0.2.85,7313,lumi.54ef4410004b0ef6
127,"10/23/2023, 18:55:13",0.3.85,101900,lumi.54ef4410004b0ef6
126,"10/23/2023, 19:15:30",0.3.85,102000,lumi.54ef4410004b0ef6
125,"10/23/2023, 19:29:33",0.3.85,101970,lumi.54ef4410004b0ef6
124,"10/23/2023, 19:49:59",0.1.85,2387,lumi.54ef4410004b0ef6
123,"10/23/2023, 19:49:59",0.2.85,7301,lumi.54ef4410004b0ef6
122,"10/23/2023, 19:49:59",0.3.85,101900,lumi.54ef4410004b0ef6
121,"10/23/2023, 20:05:53",0.3.85,102000,lumi.54ef4410004b0ef6
120,"10/23/2023, 20:44:45",0.1.85,2397,lumi.54ef4410004b0ef6
119,"10/23/2023, 20:44:45",0.2.85,7258,lumi.54ef4410004b0ef6
118,"10/23/2023, 20:44:45",0.3.85,102000,lumi.54ef4410004b0ef6
117,"10/23/2023, 21:01:56",0.3.85,102030,lumi.54ef4410004b0ef6
