,timeStamp,resourceId,value,subjectId
110,"11/12/2023, 00:19:21",0.3.85,0,lumi.54ef44100065d189
109,"11/12/2023, 00:23:46",0.3.85,31,lumi.54ef44100065d189
108,"11/12/2023, 00:24:21",0.3.85,8,lumi.54ef44100065d189
107,"11/12/2023, 00:27:10",0.3.85,29,lumi.54ef44100065d189
106,"11/12/2023, 00:27:20",0.3.85,36,lumi.54ef44100065d189
105,"11/12/2023, 00:27:40",0.3.85,7,lumi.54ef44100065d189
104,"11/12/2023, 00:27:45",0.3.85,32,lumi.54ef44100065d189
103,"11/12/2023, 00:28:44",0.3.85,7,lumi.54ef44100065d189
102,"11/12/2023, 00:30:34",0.3.85,35,lumi.54ef44100065d189
101,"11/12/2023, 00:30:54",0.3.85,7,lumi.54ef44100065d189
100,"11/12/2023, 00:37:56",0.3.85,37,lumi.54ef44100065d189
99,"11/12/2023, 00:38:41",0.3.85,12,lumi.54ef44100065d189
98,"11/12/2023, 00:39:01",0.3.85,37,lumi.54ef44100065d189
97,"11/12/2023, 00:39:25",0.3.85,29,lumi.54ef44100065d189
96,"11/12/2023, 00:39:30",0.3.85,37,lumi.54ef44100065d189
95,"11/12/2023, 00:39:55",0.3.85,13,lumi.54ef44100065d189
94,"11/12/2023, 00:40:10",0.3.85,36,lumi.54ef44100065d189
93,"11/12/2023, 00:40:30",0.3.85,13,lumi.54ef44100065d189
92,"11/12/2023, 00:43:54",0.3.85,34,lumi.54ef44100065d189
91,"11/12/2023, 00:44:19",0.3.85,14,lumi.54ef44100065d189
90,"11/12/2023, 00:45:23",0.3.85,32,lumi.54ef44100065d189
89,"11/12/2023, 00:45:33",0.3.85,39,lumi.54ef44100065d189
88,"11/12/2023, 00:45:53",0.3.85,13,lumi.54ef44100065d189
87,"11/12/2023, 00:46:18",0.3.85,32,lumi.54ef44100065d189
86,"11/12/2023, 00:46:33",0.3.85,40,lumi.54ef44100065d189
85,"11/12/2023, 00:46:53",0.3.85,14,lumi.54ef44100065d189
84,"11/12/2023, 00:48:17",0.3.85,33,lumi.54ef44100065d189
83,"11/12/2023, 00:48:47",0.3.85,40,lumi.54ef44100065d189
82,"11/12/2023, 00:49:02",0.3.85,13,lumi.54ef44100065d189
