,timeStamp,resourceId,value,subjectId
17,"01/03/2024, 03:46:47",3.1.85,1,lumi.54ef44100051ac98
16,"01/03/2024, 04:38:24",3.1.85,1,lumi.54ef44100051ac98
15,"01/03/2024, 04:39:35",3.1.85,1,lumi.54ef44100051ac98
14,"01/03/2024, 04:41:41",3.1.85,1,lumi.54ef44100051ac98
13,"01/03/2024, 04:44:47",3.1.85,1,lumi.54ef44100051ac98
12,"01/03/2024, 15:16:33",3.1.85,1,lumi.54ef44100051ac98
11,"01/03/2024, 23:04:24",3.1.85,1,lumi.54ef44100051ac98
10,"01/03/2024, 23:05:34",3.1.85,1,lumi.54ef44100051ac98
9,"01/03/2024, 23:07:24",3.1.85,1,lumi.54ef44100051ac98
8,"01/04/2024, 00:18:58",3.1.85,1,lumi.54ef44100051ac98
7,"01/04/2024, 00:20:12",3.1.85,1,lumi.54ef44100051ac98
6,"01/04/2024, 14:23:25",3.1.85,1,lumi.54ef44100051ac98
5,"01/04/2024, 14:37:42",3.1.85,1,lumi.54ef44100051ac98
4,"01/04/2024, 14:39:01",3.1.85,1,lumi.54ef44100051ac98
3,"01/04/2024, 14:43:04",3.1.85,1,lumi.54ef44100051ac98
2,"01/04/2024, 14:44:41",3.1.85,1,lumi.54ef44100051ac98
1,"01/04/2024, 20:49:19",3.1.85,1,lumi.54ef44100051ac98
0,"01/04/2024, 20:50:28",3.1.85,1,lumi.54ef44100051ac98
