,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
299,,0.3.85,"06/11/2023, 08:30:00",134.823529,lumi.54ef44100065cf4d,3,"06/11/2023, 08:00:00"
298,"06/11/2023, 08:19:27",0.3.85,"06/11/2023, 08:30:00",172.000000,lumi.54ef44100065cf4d,2,"06/11/2023, 08:00:00"
297,"06/11/2023, 08:20:02",0.3.85,"06/11/2023, 08:30:00",110.000000,lumi.54ef44100065cf4d,1,"06/11/2023, 08:00:00"
296,,0.3.85,"06/11/2023, 09:00:00",150.0,lumi.54ef44100065cf4d,3,"06/11/2023, 08:30:00"
295,"06/11/2023, 08:45:02",0.3.85,"06/11/2023, 09:00:00",181.000000,lumi.54ef44100065cf4d,2,"06/11/2023, 08:30:00"
294,"06/11/2023, 08:30:35",0.3.85,"06/11/2023, 09:00:00",113.000000,lumi.54ef44100065cf4d,1,"06/11/2023, 08:30:00"
293,,0.3.85,"06/11/2023, 09:30:00",153.0,lumi.54ef44100065cf4d,3,"06/11/2023, 09:00:00"
292,"06/11/2023, 09:01:14",0.3.85,"06/11/2023, 09:30:00",153.000000,lumi.54ef44100065cf4d,2,"06/11/2023, 09:00:00"
291,"06/11/2023, 09:01:14",0.3.85,"06/11/2023, 09:30:00",153.000000,lumi.54ef44100065cf4d,1,"06/11/2023, 09:00:00"
290,,0.3.85,"06/11/2023, 10:00:00",129.0,lumi.54ef44100065cf4d,3,"06/11/2023, 09:30:00"
289,"06/11/2023, 09:36:57",0.3.85,"06/11/2023, 10:00:00",129.000000,lumi.54ef44100065cf4d,2,"06/11/2023, 09:30:00"
288,"06/11/2023, 09:36:57",0.3.85,"06/11/2023, 10:00:00",129.000000,lumi.54ef44100065cf4d,1,"06/11/2023, 09:30:00"
287,,0.3.85,"06/11/2023, 11:00:00",116.25,lumi.54ef44100065cf4d,3,"06/11/2023, 10:30:00"
286,"06/11/2023, 10:54:28",0.3.85,"06/11/2023, 11:00:00",129.000000,lumi.54ef44100065cf4d,2,"06/11/2023, 10:30:00"
285,"06/11/2023, 10:53:44",0.3.85,"06/11/2023, 11:00:00",108.000000,lumi.54ef44100065cf4d,1,"06/11/2023, 10:30:00"
284,,0.3.85,"06/11/2023, 11:30:00",121.333333,lumi.54ef44100065cf4d,3,"06/11/2023, 11:00:00"
283,"06/11/2023, 11:15:25",0.3.85,"06/11/2023, 11:30:00",137.000000,lumi.54ef44100065cf4d,2,"06/11/2023, 11:00:00"
