,timeStamp,resourceId,value,subjectId
31,"10/21/2023, 00:04:01",13.1.85,2,lumi.158d0008f34c71
30,"10/21/2023, 00:07:16",13.1.85,1,lumi.158d0008f34c71
29,"10/21/2023, 00:40:57",13.1.85,1,lumi.158d0008f34c71
28,"10/21/2023, 01:16:27",13.1.85,1,lumi.158d0008f34c71
27,"10/21/2023, 01:18:11",13.1.85,1,lumi.158d0008f34c71
26,"10/21/2023, 01:27:56",13.1.85,1,lumi.158d0008f34c71
25,"10/21/2023, 01:27:59",13.1.85,2,lumi.158d0008f34c71
24,"10/21/2023, 01:28:54",13.1.85,2,lumi.158d0008f34c71
23,"10/21/2023, 01:29:25",13.1.85,2,lumi.158d0008f34c71
22,"10/21/2023, 01:34:18",13.1.85,2,lumi.158d0008f34c71
21,"10/21/2023, 01:35:28",13.1.85,2,lumi.158d0008f34c71
20,"10/21/2023, 02:35:05",13.1.85,1,lumi.158d0008f34c71
19,"10/21/2023, 02:38:32",13.1.85,1,lumi.158d0008f34c71
18,"10/21/2023, 03:18:50",13.1.85,1,lumi.158d0008f34c71
17,"10/21/2023, 03:42:50",13.1.85,1,lumi.158d0008f34c71
16,"10/21/2023, 03:54:29",13.1.85,2,lumi.158d0008f34c71
15,"10/21/2023, 04:04:50",13.1.85,1,lumi.158d0008f34c71
14,"10/21/2023, 04:22:15",13.1.85,1,lumi.158d0008f34c71
13,"10/21/2023, 04:26:25",13.1.85,2,lumi.158d0008f34c71
12,"10/21/2023, 05:05:29",13.1.85,1,lumi.158d0008f34c71
11,"10/21/2023, 05:08:49",13.1.85,1,lumi.158d0008f34c71
10,"10/21/2023, 05:19:15",13.1.85,1,lumi.158d0008f34c71
9,"10/21/2023, 05:25:26",13.1.85,2,lumi.158d0008f34c71
8,"10/21/2023, 05:32:30",13.1.85,1,lumi.158d0008f34c71
7,"10/21/2023, 05:39:20",13.1.85,2,lumi.158d0008f34c71
6,"10/21/2023, 05:40:53",13.1.85,2,lumi.158d0008f34c71
5,"10/21/2023, 05:42:07",13.1.85,2,lumi.158d0008f34c71
4,"10/21/2023, 05:49:19",13.1.85,1,lumi.158d0008f34c71
3,"10/21/2023, 05:53:16",13.1.85,1,lumi.158d0008f34c71
2,"10/22/2023, 22:37:54",13.1.85,1,lumi.158d0008f34c71
1,"10/22/2023, 23:06:04",13.1.85,1,lumi.158d0008f34c71
0,"10/22/2023, 23:07:31",13.1.85,1,lumi.158d0008f34c71
