,timeStamp,resourceId,value,subjectId
168,"01/01/2024, 01:11:42",3.1.85,1,lumi.54ef44100051ac1c
167,"01/01/2024, 01:29:01",3.1.85,1,lumi.54ef44100051ac1c
166,"01/01/2024, 01:35:07",3.1.85,1,lumi.54ef44100051ac1c
165,"01/01/2024, 01:58:59",3.1.85,1,lumi.54ef44100051ac1c
164,"01/01/2024, 02:13:35",3.1.85,1,lumi.54ef44100051ac1c
163,"01/01/2024, 02:15:46",3.1.85,1,lumi.54ef44100051ac1c
162,"01/01/2024, 02:44:32",3.1.85,1,lumi.54ef44100051ac1c
161,"01/01/2024, 02:45:47",3.1.85,1,lumi.54ef44100051ac1c
160,"01/01/2024, 02:51:44",3.1.85,1,lumi.54ef44100051ac1c
159,"01/01/2024, 02:52:55",3.1.85,1,lumi.54ef44100051ac1c
158,"01/01/2024, 02:57:54",3.1.85,1,lumi.54ef44100051ac1c
157,"01/01/2024, 02:58:55",3.1.85,1,lumi.54ef44100051ac1c
156,"01/01/2024, 02:59:53",3.1.85,1,lumi.54ef44100051ac1c
155,"01/01/2024, 03:01:29",3.1.85,1,lumi.54ef44100051ac1c
154,"01/01/2024, 03:02:27",3.1.85,1,lumi.54ef44100051ac1c
153,"01/01/2024, 03:07:52",3.1.85,1,lumi.54ef44100051ac1c
152,"01/01/2024, 03:09:40",3.1.85,1,lumi.54ef44100051ac1c
151,"01/01/2024, 03:10:45",3.1.85,1,lumi.54ef44100051ac1c
150,"01/01/2024, 03:13:19",3.1.85,1,lumi.54ef44100051ac1c
149,"01/01/2024, 03:15:54",3.1.85,1,lumi.54ef44100051ac1c
148,"01/01/2024, 03:17:07",3.1.85,1,lumi.54ef44100051ac1c
147,"01/01/2024, 03:19:08",3.1.85,1,lumi.54ef44100051ac1c
146,"01/01/2024, 03:20:17",3.1.85,1,lumi.54ef44100051ac1c
145,"01/01/2024, 03:21:20",3.1.85,1,lumi.54ef44100051ac1c
144,"01/01/2024, 03:22:32",3.1.85,1,lumi.54ef44100051ac1c
143,"01/01/2024, 03:25:04",3.1.85,1,lumi.54ef44100051ac1c
142,"01/01/2024, 03:27:07",3.1.85,1,lumi.54ef44100051ac1c
141,"01/01/2024, 03:29:51",3.1.85,1,lumi.54ef44100051ac1c
140,"01/01/2024, 03:32:39",3.1.85,1,lumi.54ef44100051ac1c
139,"01/01/2024, 03:33:55",3.1.85,1,lumi.54ef44100051ac1c
138,"01/01/2024, 03:35:03",3.1.85,1,lumi.54ef44100051ac1c
137,"01/01/2024, 03:36:45",3.1.85,1,lumi.54ef44100051ac1c
136,"01/01/2024, 03:38:01",3.1.85,1,lumi.54ef44100051ac1c
135,"01/01/2024, 03:39:31",3.1.85,1,lumi.54ef44100051ac1c
134,"01/01/2024, 03:41:09",3.1.85,1,lumi.54ef44100051ac1c
133,"01/01/2024, 03:42:37",3.1.85,1,lumi.54ef44100051ac1c
132,"01/01/2024, 03:43:49",3.1.85,1,lumi.54ef44100051ac1c
131,"01/01/2024, 03:44:47",3.1.85,1,lumi.54ef44100051ac1c
130,"01/01/2024, 03:46:05",3.1.85,1,lumi.54ef44100051ac1c
129,"01/01/2024, 03:47:04",3.1.85,1,lumi.54ef44100051ac1c
128,"01/01/2024, 03:48:10",3.1.85,1,lumi.54ef44100051ac1c
127,"01/01/2024, 03:50:22",3.1.85,1,lumi.54ef44100051ac1c
126,"01/01/2024, 03:52:42",3.1.85,1,lumi.54ef44100051ac1c
125,"01/01/2024, 03:53:45",3.1.85,1,lumi.54ef44100051ac1c
124,"01/01/2024, 03:54:50",3.1.85,1,lumi.54ef44100051ac1c
123,"01/01/2024, 03:56:51",3.1.85,1,lumi.54ef44100051ac1c
122,"01/01/2024, 03:58:44",3.1.85,1,lumi.54ef44100051ac1c
121,"01/01/2024, 03:59:49",3.1.85,1,lumi.54ef44100051ac1c
120,"01/01/2024, 04:02:16",3.1.85,1,lumi.54ef44100051ac1c
119,"01/01/2024, 04:03:22",3.1.85,1,lumi.54ef44100051ac1c
118,"01/01/2024, 04:05:25",3.1.85,1,lumi.54ef44100051ac1c
117,"01/01/2024, 04:07:01",3.1.85,1,lumi.54ef44100051ac1c
116,"01/01/2024, 04:08:27",3.1.85,1,lumi.54ef44100051ac1c
115,"01/01/2024, 04:10:04",3.1.85,1,lumi.54ef44100051ac1c
114,"01/01/2024, 04:11:20",3.1.85,1,lumi.54ef44100051ac1c
113,"01/01/2024, 04:12:39",3.1.85,1,lumi.54ef44100051ac1c
112,"01/01/2024, 04:13:59",3.1.85,1,lumi.54ef44100051ac1c
111,"01/01/2024, 04:14:58",3.1.85,1,lumi.54ef44100051ac1c
110,"01/01/2024, 04:15:58",3.1.85,1,lumi.54ef44100051ac1c
109,"01/01/2024, 04:17:02",3.1.85,1,lumi.54ef44100051ac1c
108,"01/01/2024, 04:18:23",3.1.85,1,lumi.54ef44100051ac1c
107,"01/01/2024, 04:20:40",3.1.85,1,lumi.54ef44100051ac1c
106,"01/01/2024, 04:21:49",3.1.85,1,lumi.54ef44100051ac1c
105,"01/01/2024, 04:22:48",3.1.85,1,lumi.54ef44100051ac1c
104,"01/01/2024, 04:23:51",3.1.85,1,lumi.54ef44100051ac1c
103,"01/01/2024, 04:25:30",3.1.85,1,lumi.54ef44100051ac1c
102,"01/01/2024, 04:27:18",3.1.85,1,lumi.54ef44100051ac1c
101,"01/01/2024, 04:28:24",3.1.85,1,lumi.54ef44100051ac1c
100,"01/01/2024, 04:31:58",3.1.85,1,lumi.54ef44100051ac1c
99,"01/01/2024, 13:58:57",3.1.85,1,lumi.54ef44100051ac1c
98,"01/01/2024, 14:01:39",3.1.85,1,lumi.54ef44100051ac1c
97,"01/01/2024, 14:03:15",3.1.85,1,lumi.54ef44100051ac1c
96,"01/01/2024, 14:07:18",3.1.85,1,lumi.54ef44100051ac1c
95,"01/01/2024, 14:09:23",3.1.85,1,lumi.54ef44100051ac1c
94,"01/01/2024, 14:11:20",3.1.85,1,lumi.54ef44100051ac1c
93,"01/01/2024, 14:12:53",3.1.85,1,lumi.54ef44100051ac1c
92,"01/01/2024, 14:15:10",3.1.85,1,lumi.54ef44100051ac1c
91,"01/01/2024, 14:17:56",3.1.85,1,lumi.54ef44100051ac1c
90,"01/01/2024, 14:22:51",3.1.85,1,lumi.54ef44100051ac1c
89,"01/01/2024, 14:28:25",3.1.85,1,lumi.54ef44100051ac1c
88,"01/01/2024, 14:29:24",3.1.85,1,lumi.54ef44100051ac1c
87,"01/01/2024, 14:39:53",3.1.85,1,lumi.54ef44100051ac1c
86,"01/01/2024, 15:13:11",3.1.85,1,lumi.54ef44100051ac1c
85,"01/01/2024, 15:23:39",3.1.85,1,lumi.54ef44100051ac1c
84,"01/01/2024, 15:25:11",3.1.85,1,lumi.54ef44100051ac1c
83,"01/01/2024, 16:27:15",3.1.85,1,lumi.54ef44100051ac1c
82,"01/01/2024, 16:31:36",3.1.85,1,lumi.54ef44100051ac1c
81,"01/01/2024, 16:32:46",3.1.85,1,lumi.54ef44100051ac1c
80,"01/01/2024, 16:33:47",3.1.85,1,lumi.54ef44100051ac1c
79,"01/01/2024, 16:37:14",3.1.85,1,lumi.54ef44100051ac1c
78,"01/01/2024, 16:38:17",3.1.85,1,lumi.54ef44100051ac1c
77,"01/01/2024, 16:39:17",3.1.85,1,lumi.54ef44100051ac1c
76,"01/01/2024, 16:40:18",3.1.85,1,lumi.54ef44100051ac1c
75,"01/01/2024, 16:44:01",3.1.85,1,lumi.54ef44100051ac1c
74,"01/01/2024, 16:46:11",3.1.85,1,lumi.54ef44100051ac1c
73,"01/01/2024, 16:47:14",3.1.85,1,lumi.54ef44100051ac1c
72,"01/01/2024, 17:14:58",3.1.85,1,lumi.54ef44100051ac1c
71,"01/01/2024, 17:19:04",3.1.85,1,lumi.54ef44100051ac1c
70,"01/01/2024, 17:48:10",3.1.85,1,lumi.54ef44100051ac1c
69,"01/01/2024, 19:16:50",3.1.85,1,lumi.54ef44100051ac1c
68,"01/01/2024, 19:37:13",3.1.85,1,lumi.54ef44100051ac1c
67,"01/01/2024, 19:40:34",3.1.85,1,lumi.54ef44100051ac1c
66,"01/01/2024, 19:41:37",3.1.85,1,lumi.54ef44100051ac1c
65,"01/01/2024, 19:43:46",3.1.85,1,lumi.54ef44100051ac1c
64,"01/01/2024, 19:46:42",3.1.85,1,lumi.54ef44100051ac1c
63,"01/01/2024, 21:03:08",3.1.85,1,lumi.54ef44100051ac1c
62,"01/01/2024, 21:04:53",3.1.85,1,lumi.54ef44100051ac1c
61,"01/01/2024, 23:02:57",3.1.85,1,lumi.54ef44100051ac1c
60,"01/01/2024, 23:04:31",3.1.85,1,lumi.54ef44100051ac1c
59,"01/01/2024, 23:07:17",3.1.85,1,lumi.54ef44100051ac1c
58,"01/01/2024, 23:08:45",3.1.85,1,lumi.54ef44100051ac1c
57,"01/01/2024, 23:09:51",3.1.85,1,lumi.54ef44100051ac1c
56,"01/01/2024, 23:15:20",3.1.85,1,lumi.54ef44100051ac1c
55,"01/01/2024, 23:31:24",3.1.85,1,lumi.54ef44100051ac1c
54,"01/01/2024, 23:39:46",3.1.85,1,lumi.54ef44100051ac1c
53,"01/01/2024, 23:43:57",3.1.85,1,lumi.54ef44100051ac1c
52,"01/01/2024, 23:45:24",3.1.85,1,lumi.54ef44100051ac1c
51,"01/01/2024, 23:49:34",3.1.85,1,lumi.54ef44100051ac1c
50,"01/02/2024, 00:02:29",3.1.85,1,lumi.54ef44100051ac1c
49,"01/02/2024, 00:04:08",3.1.85,1,lumi.54ef44100051ac1c
48,"01/02/2024, 00:05:44",3.1.85,1,lumi.54ef44100051ac1c
47,"01/02/2024, 00:18:26",3.1.85,1,lumi.54ef44100051ac1c
46,"01/02/2024, 00:22:29",3.1.85,1,lumi.54ef44100051ac1c
45,"01/02/2024, 00:23:52",3.1.85,1,lumi.54ef44100051ac1c
44,"01/02/2024, 00:28:59",3.1.85,1,lumi.54ef44100051ac1c
43,"01/02/2024, 00:34:26",3.1.85,1,lumi.54ef44100051ac1c
42,"01/02/2024, 00:39:43",3.1.85,1,lumi.54ef44100051ac1c
