,timeStamp,resourceId,value,subjectId
45,"01/06/2024, 00:05:06",0.3.85,24,lumi.54ef44100065cf4d
44,"01/06/2024, 00:59:35",0.3.85,24,lumi.54ef44100065cf4d
43,"01/06/2024, 01:31:13",0.3.85,31,lumi.54ef44100065cf4d
42,"01/06/2024, 01:31:42",0.3.85,23,lumi.54ef44100065cf4d
41,"01/06/2024, 01:46:48",0.3.85,13,lumi.54ef44100065cf4d
40,"01/06/2024, 01:46:58",0.3.85,22,lumi.54ef44100065cf4d
39,"01/06/2024, 01:47:23",0.3.85,31,lumi.54ef44100065cf4d
38,"01/06/2024, 01:47:28",0.3.85,40,lumi.54ef44100065cf4d
37,"01/06/2024, 01:47:43",0.3.85,33,lumi.54ef44100065cf4d
36,"01/06/2024, 01:48:02",0.3.85,24,lumi.54ef44100065cf4d
35,"01/06/2024, 01:51:01",0.3.85,44,lumi.54ef44100065cf4d
34,"01/06/2024, 01:51:15",0.3.85,30,lumi.54ef44100065cf4d
33,"01/06/2024, 01:51:35",0.3.85,23,lumi.54ef44100065cf4d
32,"01/06/2024, 01:51:40",0.3.85,10,lumi.54ef44100065cf4d
31,"01/06/2024, 01:51:45",0.3.85,21,lumi.54ef44100065cf4d
30,"01/06/2024, 01:54:04",0.3.85,24,lumi.54ef44100065cf4d
29,"01/06/2024, 02:21:49",0.3.85,28,lumi.54ef44100065cf4d
28,"01/06/2024, 02:22:19",0.3.85,18,lumi.54ef44100065cf4d
27,"01/06/2024, 02:23:28",0.3.85,0,lumi.54ef44100065cf4d
26,"01/06/2024, 02:48:33",0.3.85,0,lumi.54ef44100065cf4d
25,"01/06/2024, 03:43:01",0.3.85,0,lumi.54ef44100065cf4d
24,"01/06/2024, 04:37:30",0.3.85,0,lumi.54ef44100065cf4d
23,"01/06/2024, 05:31:59",0.3.85,0,lumi.54ef44100065cf4d
22,"01/06/2024, 06:26:27",0.3.85,0,lumi.54ef44100065cf4d
21,"01/06/2024, 07:20:56",0.3.85,0,lumi.54ef44100065cf4d
20,"01/06/2024, 07:37:32",0.3.85,6,lumi.54ef44100065cf4d
19,"01/06/2024, 07:37:37",0.3.85,0,lumi.54ef44100065cf4d
18,"01/06/2024, 07:55:12",0.3.85,6,lumi.54ef44100065cf4d
17,"01/06/2024, 08:14:00",0.3.85,13,lumi.54ef44100065cf4d
16,"01/06/2024, 08:15:24",0.3.85,14,lumi.54ef44100065cf4d
15,"01/06/2024, 08:32:26",0.3.85,20,lumi.54ef44100065cf4d
14,"01/06/2024, 08:46:17",0.3.85,27,lumi.54ef44100065cf4d
13,"01/06/2024, 09:09:53",0.3.85,31,lumi.54ef44100065cf4d
12,"01/06/2024, 09:25:11",0.3.85,34,lumi.54ef44100065cf4d
11,"01/06/2024, 10:04:22",0.3.85,40,lumi.54ef44100065cf4d
10,"01/06/2024, 10:10:30",0.3.85,51,lumi.54ef44100065cf4d
9,"01/06/2024, 10:10:35",0.3.85,40,lumi.54ef44100065cf4d
8,"01/06/2024, 10:25:46",0.3.85,52,lumi.54ef44100065cf4d
7,"01/06/2024, 10:25:51",0.3.85,43,lumi.54ef44100065cf4d
6,"01/06/2024, 10:28:29",0.3.85,22,lumi.54ef44100065cf4d
5,"01/06/2024, 10:28:34",0.3.85,37,lumi.54ef44100065cf4d
4,"01/06/2024, 10:28:54",0.3.85,54,lumi.54ef44100065cf4d
3,"01/06/2024, 10:29:34",0.3.85,43,lumi.54ef44100065cf4d
2,"01/06/2024, 10:58:51",0.3.85,49,lumi.54ef44100065cf4d
1,"01/06/2024, 11:11:55",0.3.85,51,lumi.54ef44100065cf4d
0,"01/06/2024, 11:53:20",0.3.85,53,lumi.54ef44100065cf4d
