,timeStamp,resourceId,value,subjectId
34,"01/05/2024, 02:13:39",3.1.85,1,lumi.54ef4410003fe7b5
33,"01/05/2024, 02:13:40",3.1.85,0,lumi.54ef4410003fe7b5
32,"01/05/2024, 02:16:44",3.1.85,1,lumi.54ef4410003fe7b5
31,"01/05/2024, 02:16:48",3.1.85,0,lumi.54ef4410003fe7b5
30,"01/05/2024, 02:20:56",3.1.85,1,lumi.54ef4410003fe7b5
29,"01/05/2024, 02:21:00",3.1.85,0,lumi.54ef4410003fe7b5
28,"01/05/2024, 02:23:34",3.1.85,1,lumi.54ef4410003fe7b5
27,"01/05/2024, 02:23:38",3.1.85,0,lumi.54ef4410003fe7b5
26,"01/05/2024, 02:24:38",3.1.85,1,lumi.54ef4410003fe7b5
25,"01/05/2024, 02:24:39",3.1.85,0,lumi.54ef4410003fe7b5
24,"01/05/2024, 02:25:40",3.1.85,1,lumi.54ef4410003fe7b5
23,"01/05/2024, 02:25:44",3.1.85,0,lumi.54ef4410003fe7b5
22,"01/05/2024, 02:26:34",3.1.85,1,lumi.54ef4410003fe7b5
21,"01/05/2024, 02:26:36",3.1.85,0,lumi.54ef4410003fe7b5
20,"01/05/2024, 02:31:15",3.1.85,1,lumi.54ef4410003fe7b5
19,"01/05/2024, 02:31:19",3.1.85,0,lumi.54ef4410003fe7b5
18,"01/05/2024, 02:35:15",3.1.85,1,lumi.54ef4410003fe7b5
17,"01/05/2024, 02:35:42",3.1.85,0,lumi.54ef4410003fe7b5
16,"01/05/2024, 02:36:51",3.1.85,1,lumi.54ef4410003fe7b5
15,"01/05/2024, 02:36:58",3.1.85,0,lumi.54ef4410003fe7b5
14,"01/05/2024, 16:58:17",3.1.85,1,lumi.54ef4410003fe7b5
13,"01/05/2024, 16:58:18",3.1.85,0,lumi.54ef4410003fe7b5
12,"01/05/2024, 17:42:39",3.1.85,1,lumi.54ef4410003fe7b5
11,"01/05/2024, 17:42:45",3.1.85,0,lumi.54ef4410003fe7b5
10,"01/06/2024, 01:38:44",3.1.85,1,lumi.54ef4410003fe7b5
9,"01/06/2024, 01:38:46",3.1.85,0,lumi.54ef4410003fe7b5
8,"01/06/2024, 01:48:00",3.1.85,1,lumi.54ef4410003fe7b5
7,"01/06/2024, 01:48:01",3.1.85,0,lumi.54ef4410003fe7b5
6,"01/06/2024, 20:24:38",3.1.85,1,lumi.54ef4410003fe7b5
5,"01/06/2024, 20:24:46",3.1.85,0,lumi.54ef4410003fe7b5
4,"01/06/2024, 20:28:31",3.1.85,1,lumi.54ef4410003fe7b5
3,"01/06/2024, 20:28:43",3.1.85,0,lumi.54ef4410003fe7b5
2,"01/06/2024, 20:33:34",3.1.85,1,lumi.54ef4410003fe7b5
1,"01/06/2024, 20:33:48",3.1.85,0,lumi.54ef4410003fe7b5
0,"01/06/2024, 20:39:23",3.1.85,1,lumi.54ef4410003fe7b5
