,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
209,,0.3.85,"05/15/2023, 00:30:00",65.333333,lumi.54ef44100065d28d,3,"05/15/2023, 00:00:00"
208,"05/15/2023, 00:10:10",0.3.85,"05/15/2023, 00:30:00",108.000000,lumi.54ef44100065d28d,2,"05/15/2023, 00:00:00"
207,"05/15/2023, 00:22:55",0.3.85,"05/15/2023, 00:30:00",17.000000,lumi.54ef44100065d28d,1,"05/15/2023, 00:00:00"
206,,0.3.85,"05/15/2023, 01:00:00",0.0,lumi.54ef44100065d28d,3,"05/15/2023, 00:30:00"
205,"05/15/2023, 00:57:31",0.3.85,"05/15/2023, 01:00:00",0.000000,lumi.54ef44100065d28d,2,"05/15/2023, 00:30:00"
204,"05/15/2023, 00:57:31",0.3.85,"05/15/2023, 01:00:00",0.000000,lumi.54ef44100065d28d,1,"05/15/2023, 00:30:00"
203,,0.3.85,"05/15/2023, 03:30:00",0.0,lumi.54ef44100065d28d,3,"05/15/2023, 03:00:00"
202,"05/15/2023, 03:12:18",0.3.85,"05/15/2023, 03:30:00",0.000000,lumi.54ef44100065d28d,2,"05/15/2023, 03:00:00"
201,"05/15/2023, 03:12:18",0.3.85,"05/15/2023, 03:30:00",0.000000,lumi.54ef44100065d28d,1,"05/15/2023, 03:00:00"
200,,0.3.85,"05/15/2023, 06:00:00",6.0,lumi.54ef44100065d28d,3,"05/15/2023, 05:30:00"
199,"05/15/2023, 05:56:26",0.3.85,"05/15/2023, 06:00:00",6.000000,lumi.54ef44100065d28d,2,"05/15/2023, 05:30:00"
198,"05/15/2023, 05:56:26",0.3.85,"05/15/2023, 06:00:00",6.000000,lumi.54ef44100065d28d,1,"05/15/2023, 05:30:00"
197,,0.3.85,"05/15/2023, 07:00:00",21.0,lumi.54ef44100065d28d,3,"05/15/2023, 06:30:00"
196,"05/15/2023, 06:55:20",0.3.85,"05/15/2023, 07:00:00",27.000000,lumi.54ef44100065d28d,2,"05/15/2023, 06:30:00"
195,"05/15/2023, 06:32:21",0.3.85,"05/15/2023, 07:00:00",13.000000,lumi.54ef44100065d28d,1,"05/15/2023, 06:30:00"
194,,0.3.85,"05/15/2023, 07:30:00",34.0,lumi.54ef44100065d28d,3,"05/15/2023, 07:00:00"
193,"05/15/2023, 07:08:16",0.3.85,"05/15/2023, 07:30:00",34.000000,lumi.54ef44100065d28d,2,"05/15/2023, 07:00:00"
192,"05/15/2023, 07:08:16",0.3.85,"05/15/2023, 07:30:00",34.000000,lumi.54ef44100065d28d,1,"05/15/2023, 07:00:00"
191,,0.3.85,"05/15/2023, 08:00:00",29.5,lumi.54ef44100065d28d,3,"05/15/2023, 07:30:00"
190,"05/15/2023, 07:45:53",0.3.85,"05/15/2023, 08:00:00",32.000000,lumi.54ef44100065d28d,2,"05/15/2023, 07:30:00"
189,"05/15/2023, 07:59:00",0.3.85,"05/15/2023, 08:00:00",27.000000,lumi.54ef44100065d28d,1,"05/15/2023, 07:30:00"
188,,0.3.85,"05/15/2023, 08:30:00",34.0,lumi.54ef44100065d28d,3,"05/15/2023, 08:00:00"
187,"05/15/2023, 08:21:47",0.3.85,"05/15/2023, 08:30:00",34.000000,lumi.54ef44100065d28d,2,"05/15/2023, 08:00:00"
186,"05/15/2023, 08:21:47",0.3.85,"05/15/2023, 08:30:00",34.000000,lumi.54ef44100065d28d,1,"05/15/2023, 08:00:00"
185,,0.3.85,"05/15/2023, 09:30:00",55.8,lumi.54ef44100065d28d,3,"05/15/2023, 09:00:00"
184,"05/15/2023, 09:24:18",0.3.85,"05/15/2023, 09:30:00",125.000000,lumi.54ef44100065d28d,2,"05/15/2023, 09:00:00"
183,"05/15/2023, 09:24:13",0.3.85,"05/15/2023, 09:30:00",30.000000,lumi.54ef44100065d28d,1,"05/15/2023, 09:00:00"
182,,0.3.85,"05/15/2023, 10:30:00",45.0,lumi.54ef44100065d28d,3,"05/15/2023, 10:00:00"
181,"05/15/2023, 10:17:26",0.3.85,"05/15/2023, 10:30:00",45.000000,lumi.54ef44100065d28d,2,"05/15/2023, 10:00:00"
180,"05/15/2023, 10:17:26",0.3.85,"05/15/2023, 10:30:00",45.000000,lumi.54ef44100065d28d,1,"05/15/2023, 10:00:00"
179,,0.3.85,"05/15/2023, 12:30:00",54.0,lumi.54ef44100065d28d,3,"05/15/2023, 12:00:00"
178,"05/15/2023, 12:16:19",0.3.85,"05/15/2023, 12:30:00",54.000000,lumi.54ef44100065d28d,2,"05/15/2023, 12:00:00"
177,"05/15/2023, 12:16:19",0.3.85,"05/15/2023, 12:30:00",54.000000,lumi.54ef44100065d28d,1,"05/15/2023, 12:00:00"
176,,0.3.85,"05/15/2023, 14:30:00",47.0,lumi.54ef44100065d28d,3,"05/15/2023, 14:00:00"
175,"05/15/2023, 14:07:30",0.3.85,"05/15/2023, 14:30:00",47.000000,lumi.54ef44100065d28d,2,"05/15/2023, 14:00:00"
174,"05/15/2023, 14:07:30",0.3.85,"05/15/2023, 14:30:00",47.000000,lumi.54ef44100065d28d,1,"05/15/2023, 14:00:00"
173,,0.3.85,"05/15/2023, 15:00:00",40.0,lumi.54ef44100065d28d,3,"05/15/2023, 14:30:00"
172,"05/15/2023, 14:40:20",0.3.85,"05/15/2023, 15:00:00",40.000000,lumi.54ef44100065d28d,2,"05/15/2023, 14:30:00"
171,"05/15/2023, 14:40:20",0.3.85,"05/15/2023, 15:00:00",40.000000,lumi.54ef44100065d28d,1,"05/15/2023, 14:30:00"
170,,0.3.85,"05/15/2023, 15:30:00",35.5,lumi.54ef44100065d28d,3,"05/15/2023, 15:00:00"
169,"05/15/2023, 15:03:37",0.3.85,"05/15/2023, 15:30:00",38.000000,lumi.54ef44100065d28d,2,"05/15/2023, 15:00:00"
168,"05/15/2023, 15:27:01",0.3.85,"05/15/2023, 15:30:00",33.000000,lumi.54ef44100065d28d,1,"05/15/2023, 15:00:00"
167,,0.3.85,"05/15/2023, 17:00:00",26.0,lumi.54ef44100065d28d,3,"05/15/2023, 16:30:00"
166,"05/15/2023, 16:42:47",0.3.85,"05/15/2023, 17:00:00",26.000000,lumi.54ef44100065d28d,2,"05/15/2023, 16:30:00"
165,"05/15/2023, 16:42:47",0.3.85,"05/15/2023, 17:00:00",26.000000,lumi.54ef44100065d28d,1,"05/15/2023, 16:30:00"
164,,0.3.85,"05/15/2023, 18:00:00",20.0,lumi.54ef44100065d28d,3,"05/15/2023, 17:30:00"
163,"05/15/2023, 17:47:47",0.3.85,"05/15/2023, 18:00:00",21.000000,lumi.54ef44100065d28d,2,"05/15/2023, 17:30:00"
162,"05/15/2023, 17:48:09",0.3.85,"05/15/2023, 18:00:00",19.000000,lumi.54ef44100065d28d,1,"05/15/2023, 17:30:00"
161,,0.3.85,"05/15/2023, 18:30:00",12.0,lumi.54ef44100065d28d,3,"05/15/2023, 18:00:00"
160,"05/15/2023, 18:14:05",0.3.85,"05/15/2023, 18:30:00",12.000000,lumi.54ef44100065d28d,2,"05/15/2023, 18:00:00"
