,timeStamp,resourceId,value,subjectId
61,"10/27/2023, 09:04:20",13.1.85,1,lumi.158d0008f3a422
60,"10/27/2023, 10:09:59",13.1.85,1,lumi.158d0008f3a422
59,"10/27/2023, 10:19:51",13.1.85,1,lumi.158d0008f3a422
58,"10/27/2023, 10:30:40",13.1.85,2,lumi.158d0008f3a422
57,"10/27/2023, 10:31:03",13.1.85,2,lumi.158d0008f3a422
56,"10/27/2023, 10:32:09",13.1.85,2,lumi.158d0008f3a422
55,"10/27/2023, 10:40:04",13.1.85,2,lumi.158d0008f3a422
54,"10/27/2023, 11:02:39",13.1.85,2,lumi.158d0008f3a422
53,"10/27/2023, 11:02:52",13.1.85,2,lumi.158d0008f3a422
52,"10/27/2023, 12:02:00",13.1.85,1,lumi.158d0008f3a422
51,"10/27/2023, 12:02:02",13.1.85,2,lumi.158d0008f3a422
50,"10/27/2023, 12:13:10",13.1.85,1,lumi.158d0008f3a422
49,"10/27/2023, 12:33:21",13.1.85,1,lumi.158d0008f3a422
48,"10/27/2023, 12:35:04",13.1.85,1,lumi.158d0008f3a422
47,"10/27/2023, 12:38:31",13.1.85,1,lumi.158d0008f3a422
46,"10/27/2023, 12:38:34",13.1.85,2,lumi.158d0008f3a422
45,"10/27/2023, 12:42:56",13.1.85,2,lumi.158d0008f3a422
44,"10/27/2023, 13:00:38",13.1.85,1,lumi.158d0008f3a422
43,"10/27/2023, 13:03:14",13.1.85,1,lumi.158d0008f3a422
42,"10/27/2023, 13:10:49",13.1.85,1,lumi.158d0008f3a422
41,"10/27/2023, 13:15:00",13.1.85,1,lumi.158d0008f3a422
40,"10/27/2023, 13:18:40",13.1.85,1,lumi.158d0008f3a422
39,"10/27/2023, 19:37:58",13.1.85,1,lumi.158d0008f3a422
38,"10/27/2023, 19:38:16",13.1.85,2,lumi.158d0008f3a422
37,"10/27/2023, 19:44:58",13.1.85,1,lumi.158d0008f3a422
36,"10/27/2023, 20:02:35",13.1.85,2,lumi.158d0008f3a422
35,"10/27/2023, 20:33:34",13.1.85,2,lumi.158d0008f3a422
34,"10/27/2023, 21:09:55",13.1.85,1,lumi.158d0008f3a422
33,"10/28/2023, 09:58:15",13.1.85,1,lumi.158d0008f3a422
32,"10/28/2023, 09:58:18",13.1.85,2,lumi.158d0008f3a422
31,"10/28/2023, 10:08:40",13.1.85,2,lumi.158d0008f3a422
30,"10/28/2023, 10:19:31",13.1.85,1,lumi.158d0008f3a422
29,"10/28/2023, 10:24:17",13.1.85,2,lumi.158d0008f3a422
28,"10/28/2023, 10:38:16",13.1.85,1,lumi.158d0008f3a422
27,"10/28/2023, 10:40:33",13.1.85,1,lumi.158d0008f3a422
26,"10/28/2023, 18:26:52",13.1.85,2,lumi.158d0008f3a422
25,"10/28/2023, 18:27:05",13.1.85,1,lumi.158d0008f3a422
24,"10/28/2023, 19:22:22",13.1.85,1,lumi.158d0008f3a422
23,"10/28/2023, 19:23:59",13.1.85,2,lumi.158d0008f3a422
22,"10/28/2023, 19:30:42",13.1.85,2,lumi.158d0008f3a422
21,"10/28/2023, 19:31:57",13.1.85,1,lumi.158d0008f3a422
20,"10/28/2023, 19:50:05",13.1.85,1,lumi.158d0008f3a422
19,"10/28/2023, 19:54:50",13.1.85,1,lumi.158d0008f3a422
18,"10/28/2023, 20:12:37",13.1.85,2,lumi.158d0008f3a422
17,"10/28/2023, 20:20:51",13.1.85,2,lumi.158d0008f3a422
16,"10/28/2023, 20:30:55",13.1.85,1,lumi.158d0008f3a422
15,"10/28/2023, 20:31:25",13.1.85,2,lumi.158d0008f3a422
14,"10/28/2023, 20:31:31",13.1.85,2,lumi.158d0008f3a422
13,"10/28/2023, 20:31:44",13.1.85,2,lumi.158d0008f3a422
12,"10/28/2023, 20:32:12",13.1.85,2,lumi.158d0008f3a422
11,"10/28/2023, 20:32:29",13.1.85,2,lumi.158d0008f3a422
10,"10/28/2023, 20:32:44",13.1.85,2,lumi.158d0008f3a422
9,"10/28/2023, 20:32:45",13.1.85,1,lumi.158d0008f3a422
8,"10/28/2023, 20:34:49",13.1.85,1,lumi.158d0008f3a422
7,"10/28/2023, 20:42:43",13.1.85,2,lumi.158d0008f3a422
6,"10/28/2023, 20:45:14",13.1.85,2,lumi.158d0008f3a422
5,"10/28/2023, 20:45:40",13.1.85,2,lumi.158d0008f3a422
4,"10/28/2023, 20:45:53",13.1.85,1,lumi.158d0008f3a422
3,"10/28/2023, 20:45:54",13.1.85,2,lumi.158d0008f3a422
2,"10/28/2023, 20:46:02",13.1.85,2,lumi.158d0008f3a422
1,"10/28/2023, 20:53:29",13.1.85,1,lumi.158d0008f3a422
0,"10/28/2023, 22:01:14",13.1.85,1,lumi.158d0008f3a422
