,timeStamp,resourceId,value,subjectId
19,"10/27/2023, 09:05:53",3.1.85,1,lumi.54ef4410003fd71e
18,"10/27/2023, 09:05:56",3.1.85,0,lumi.54ef4410003fd71e
17,"10/27/2023, 09:49:12",3.1.85,1,lumi.54ef4410003fd71e
16,"10/27/2023, 09:49:17",3.1.85,0,lumi.54ef4410003fd71e
15,"10/27/2023, 11:10:55",3.1.85,1,lumi.54ef4410003fd71e
14,"10/27/2023, 11:10:59",3.1.85,0,lumi.54ef4410003fd71e
13,"10/27/2023, 11:51:43",3.1.85,1,lumi.54ef4410003fd71e
12,"10/27/2023, 11:51:47",3.1.85,0,lumi.54ef4410003fd71e
11,"10/27/2023, 11:53:35",3.1.85,1,lumi.54ef4410003fd71e
10,"10/27/2023, 11:53:43",3.1.85,0,lumi.54ef4410003fd71e
9,"10/27/2023, 11:54:30",3.1.85,1,lumi.54ef4410003fd71e
8,"10/27/2023, 11:54:36",3.1.85,0,lumi.54ef4410003fd71e
7,"10/27/2023, 13:19:43",3.1.85,1,lumi.54ef4410003fd71e
6,"10/27/2023, 13:19:46",3.1.85,0,lumi.54ef4410003fd71e
5,"10/27/2023, 19:29:32",3.1.85,1,lumi.54ef4410003fd71e
4,"10/27/2023, 19:29:40",3.1.85,0,lumi.54ef4410003fd71e
3,"10/28/2023, 10:47:53",3.1.85,1,lumi.54ef4410003fd71e
2,"10/28/2023, 10:48:05",3.1.85,0,lumi.54ef4410003fd71e
1,"10/28/2023, 17:31:35",3.1.85,1,lumi.54ef4410003fd71e
0,"10/28/2023, 17:31:43",3.1.85,0,lumi.54ef4410003fd71e
