,timeStamp,resourceId,value,subjectId
28,"10/30/2023, 00:02:36",0.3.85,85,lumi.54ef44100065d28d
27,"10/30/2023, 00:03:41",0.3.85,103,lumi.54ef44100065d28d
26,"10/30/2023, 00:25:18",0.3.85,20,lumi.54ef44100065d28d
25,"10/30/2023, 00:25:23",0.3.85,11,lumi.54ef44100065d28d
24,"10/30/2023, 00:25:33",0.3.85,4,lumi.54ef44100065d28d
23,"10/30/2023, 01:32:06",0.3.85,5,lumi.54ef44100065d28d
22,"10/30/2023, 02:26:48",0.3.85,0,lumi.54ef44100065d28d
21,"10/30/2023, 03:21:29",0.3.85,0,lumi.54ef44100065d28d
20,"10/30/2023, 03:54:44",0.3.85,88,lumi.54ef44100065d28d
19,"10/30/2023, 03:55:24",0.3.85,0,lumi.54ef44100065d28d
18,"10/30/2023, 05:10:53",0.3.85,0,lumi.54ef44100065d28d
17,"10/30/2023, 06:05:35",0.3.85,0,lumi.54ef44100065d28d
16,"10/30/2023, 06:51:00",0.3.85,11,lumi.54ef44100065d28d
15,"10/30/2023, 06:51:05",0.3.85,1,lumi.54ef44100065d28d
14,"10/30/2023, 07:00:17",0.3.85,5,lumi.54ef44100065d28d
13,"10/30/2023, 07:11:55",0.3.85,8,lumi.54ef44100065d28d
12,"10/30/2023, 07:28:34",0.3.85,15,lumi.54ef44100065d28d
11,"10/30/2023, 07:46:52",0.3.85,22,lumi.54ef44100065d28d
10,"10/30/2023, 07:54:59",0.3.85,26,lumi.54ef44100065d28d
9,"10/30/2023, 08:00:49",0.3.85,29,lumi.54ef44100065d28d
8,"10/30/2023, 08:20:52",0.3.85,37,lumi.54ef44100065d28d
7,"10/30/2023, 08:25:25",0.3.85,123,lumi.54ef44100065d28d
6,"10/30/2023, 08:48:56",0.3.85,52,lumi.54ef44100065d28d
5,"10/30/2023, 08:49:41",0.3.85,51,lumi.54ef44100065d28d
4,"10/30/2023, 09:44:23",0.3.85,61,lumi.54ef44100065d28d
3,"10/30/2023, 09:46:54",0.3.85,62,lumi.54ef44100065d28d
2,"10/30/2023, 10:31:38",0.3.85,74,lumi.54ef44100065d28d
1,"10/30/2023, 10:39:05",0.3.85,75,lumi.54ef44100065d28d
0,"10/30/2023, 11:33:47",0.3.85,80,lumi.54ef44100065d28d
