,timeStamp,resourceId,value,subjectId
20,"12/16/2023, 09:46:02",13.1.85,1,lumi.158d0008f34adb
19,"12/16/2023, 09:59:08",13.1.85,1,lumi.158d0008f34adb
18,"12/16/2023, 10:13:38",13.1.85,1,lumi.158d0008f34adb
17,"12/16/2023, 11:32:32",13.1.85,1,lumi.158d0008f34adb
16,"12/16/2023, 20:15:48",13.1.85,1,lumi.158d0008f34adb
15,"12/16/2023, 20:35:03",13.1.85,1,lumi.158d0008f34adb
14,"12/16/2023, 21:01:41",13.1.85,1,lumi.158d0008f34adb
13,"12/16/2023, 21:17:19",13.1.85,1,lumi.158d0008f34adb
12,"12/16/2023, 21:44:47",13.1.85,1,lumi.158d0008f34adb
11,"12/17/2023, 18:26:11",13.1.85,1,lumi.158d0008f34adb
10,"12/17/2023, 18:26:25",13.1.85,2,lumi.158d0008f34adb
9,"12/17/2023, 19:23:43",13.1.85,1,lumi.158d0008f34adb
8,"12/17/2023, 19:23:50",13.1.85,2,lumi.158d0008f34adb
7,"12/17/2023, 19:36:45",13.1.85,1,lumi.158d0008f34adb
6,"12/17/2023, 20:22:06",13.1.85,1,lumi.158d0008f34adb
5,"12/17/2023, 21:09:53",13.1.85,1,lumi.158d0008f34adb
4,"12/17/2023, 23:06:24",13.1.85,2,lumi.158d0008f34adb
3,"12/17/2023, 23:14:24",13.1.85,1,lumi.158d0008f34adb
2,"12/17/2023, 23:14:29",13.1.85,2,lumi.158d0008f34adb
1,"12/17/2023, 23:15:18",13.1.85,1,lumi.158d0008f34adb
0,"12/17/2023, 23:18:11",13.1.85,1,lumi.158d0008f34adb
