,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,0.13.85,"08/04/2023, 02:00:00",48.60000000000001,lumi.54ef4410001e9c6b,0,"08/04/2023, 00:00:00"
13,,0.13.85,"08/04/2023, 07:00:00",170.44000000000003,lumi.54ef4410001e9c6b,0,"08/04/2023, 02:30:00"
12,,0.13.85,"08/04/2023, 12:00:00",2.14,lumi.54ef4410001e9c6b,0,"08/04/2023, 07:30:00"
11,,0.13.85,"08/04/2023, 17:00:00",2.17,lumi.54ef4410001e9c6b,0,"08/04/2023, 12:30:00"
10,,0.13.85,"08/04/2023, 22:00:00",2.06,lumi.54ef4410001e9c6b,0,"08/04/2023, 17:30:00"
9,,0.13.85,"08/05/2023, 03:00:00",33.58,lumi.54ef4410001e9c6b,0,"08/04/2023, 22:30:00"
8,,0.13.85,"08/05/2023, 08:00:00",76.13,lumi.54ef4410001e9c6b,0,"08/05/2023, 03:30:00"
7,,0.13.85,"08/05/2023, 13:00:00",2.14,lumi.54ef4410001e9c6b,0,"08/05/2023, 08:30:00"
6,,0.13.85,"08/05/2023, 18:00:00",2.12,lumi.54ef4410001e9c6b,0,"08/05/2023, 13:30:00"
5,,0.13.85,"08/05/2023, 23:00:00",2.1799999999999997,lumi.54ef4410001e9c6b,0,"08/05/2023, 18:30:00"
4,,0.13.85,"08/06/2023, 04:00:00",137.42000000000002,lumi.54ef4410001e9c6b,0,"08/05/2023, 23:30:00"
3,,0.13.85,"08/06/2023, 09:00:00",64.11,lumi.54ef4410001e9c6b,0,"08/06/2023, 04:30:00"
2,,0.13.85,"08/06/2023, 14:00:00",2.13,lumi.54ef4410001e9c6b,0,"08/06/2023, 09:30:00"
1,,0.13.85,"08/06/2023, 19:00:00",2.11,lumi.54ef4410001e9c6b,0,"08/06/2023, 14:30:00"
0,,0.13.85,"08/07/2023, 00:00:00",2.12,lumi.54ef4410001e9c6b,0,"08/06/2023, 19:30:00"
