,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
155,,0.3.85,"08/25/2023, 01:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 01:00:00"
154,"08/25/2023, 01:04:50",0.3.85,"08/25/2023, 01:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 01:00:00"
153,"08/25/2023, 01:04:50",0.3.85,"08/25/2023, 01:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/25/2023, 01:00:00"
152,,0.3.85,"08/25/2023, 04:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 03:30:00"
151,"08/25/2023, 03:49:21",0.3.85,"08/25/2023, 04:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 03:30:00"
150,"08/25/2023, 03:49:21",0.3.85,"08/25/2023, 04:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/25/2023, 03:30:00"
149,,0.3.85,"08/25/2023, 07:00:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 06:30:00"
148,"08/25/2023, 06:33:52",0.3.85,"08/25/2023, 07:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 06:30:00"
147,"08/25/2023, 06:33:52",0.3.85,"08/25/2023, 07:00:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/25/2023, 06:30:00"
146,,0.3.85,"08/25/2023, 09:30:00",0.0,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 09:00:00"
145,"08/25/2023, 09:18:21",0.3.85,"08/25/2023, 09:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 09:00:00"
144,"08/25/2023, 09:18:21",0.3.85,"08/25/2023, 09:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/25/2023, 09:00:00"
143,,0.3.85,"08/25/2023, 12:30:00",8.666667,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 12:00:00"
142,"08/25/2023, 12:14:47",0.3.85,"08/25/2023, 12:30:00",16.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 12:00:00"
141,"08/25/2023, 12:02:48",0.3.85,"08/25/2023, 12:30:00",0.000000,lumi.4cf8cdf3c8dcfa2,1,"08/25/2023, 12:00:00"
140,,0.3.85,"08/25/2023, 13:00:00",54.428571,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 12:30:00"
139,"08/25/2023, 12:37:42",0.3.85,"08/25/2023, 13:00:00",94.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 12:30:00"
138,"08/25/2023, 12:54:14",0.3.85,"08/25/2023, 13:00:00",29.000000,lumi.4cf8cdf3c8dcfa2,1,"08/25/2023, 12:30:00"
137,,0.3.85,"08/25/2023, 13:30:00",40.285714,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 13:00:00"
136,"08/25/2023, 13:01:34",0.3.85,"08/25/2023, 13:30:00",58.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 13:00:00"
135,"08/25/2023, 13:18:46",0.3.85,"08/25/2023, 13:30:00",26.000000,lumi.4cf8cdf3c8dcfa2,1,"08/25/2023, 13:00:00"
134,,0.3.85,"08/25/2023, 14:00:00",38.666667,lumi.4cf8cdf3c8dcfa2,3,"08/25/2023, 13:30:00"
133,"08/25/2023, 13:32:48",0.3.85,"08/25/2023, 14:00:00",41.000000,lumi.4cf8cdf3c8dcfa2,2,"08/25/2023, 13:30:00"
