,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
233,,0.3.85,"09/12/2023, 00:30:00",100600.0,lumi.54ef44100053a193,3,"09/12/2023, 00:00:00"
232,,0.1.85,"09/12/2023, 00:30:00",2928.0,lumi.54ef44100053a193,3,"09/12/2023, 00:00:00"
231,,0.2.85,"09/12/2023, 00:30:00",5738.0,lumi.54ef44100053a193,3,"09/12/2023, 00:00:00"
230,"09/12/2023, 00:03:14",0.2.85,"09/12/2023, 00:30:00",5738.000000,lumi.54ef44100053a193,2,"09/12/2023, 00:00:00"
229,"09/12/2023, 00:03:14",0.1.85,"09/12/2023, 00:30:00",2928.000000,lumi.54ef44100053a193,2,"09/12/2023, 00:00:00"
228,"09/12/2023, 00:03:14",0.3.85,"09/12/2023, 00:30:00",100600.000000,lumi.54ef44100053a193,2,"09/12/2023, 00:00:00"
227,"09/12/2023, 00:03:14",0.3.85,"09/12/2023, 00:30:00",100600.000000,lumi.54ef44100053a193,1,"09/12/2023, 00:00:00"
226,"09/12/2023, 00:03:14",0.2.85,"09/12/2023, 00:30:00",5738.000000,lumi.54ef44100053a193,1,"09/12/2023, 00:00:00"
225,"09/12/2023, 00:03:14",0.1.85,"09/12/2023, 00:30:00",2928.000000,lumi.54ef44100053a193,1,"09/12/2023, 00:00:00"
224,,0.3.85,"09/12/2023, 01:30:00",100635.0,lumi.54ef44100053a193,3,"09/12/2023, 01:00:00"
223,,0.1.85,"09/12/2023, 01:30:00",2754.333333,lumi.54ef44100053a193,3,"09/12/2023, 01:00:00"
222,,0.2.85,"09/12/2023, 01:30:00",4776.0,lumi.54ef44100053a193,3,"09/12/2023, 01:00:00"
221,"09/12/2023, 01:10:50",0.2.85,"09/12/2023, 01:30:00",4776.000000,lumi.54ef44100053a193,2,"09/12/2023, 01:00:00"
220,"09/12/2023, 01:00:37",0.1.85,"09/12/2023, 01:30:00",2886.000000,lumi.54ef44100053a193,2,"09/12/2023, 01:00:00"
219,"09/12/2023, 01:12:18",0.3.85,"09/12/2023, 01:30:00",100650.000000,lumi.54ef44100053a193,2,"09/12/2023, 01:00:00"
