,timeStamp,resourceId,value,subjectId
75,"09/29/2023, 12:04:38",0.3.85,42,lumi.4cf8cdf3c8dcfa2
74,"09/29/2023, 12:05:28",0.3.85,49,lumi.4cf8cdf3c8dcfa2
73,"09/29/2023, 12:08:27",0.3.85,59,lumi.4cf8cdf3c8dcfa2
72,"09/29/2023, 12:11:57",0.3.85,71,lumi.4cf8cdf3c8dcfa2
71,"09/29/2023, 12:23:54",0.3.85,84,lumi.4cf8cdf3c8dcfa2
70,"09/29/2023, 12:26:34",0.3.85,101,lumi.4cf8cdf3c8dcfa2
69,"09/29/2023, 12:27:09",0.3.85,84,lumi.4cf8cdf3c8dcfa2
68,"09/29/2023, 12:27:33",0.3.85,71,lumi.4cf8cdf3c8dcfa2
67,"09/29/2023, 12:29:23",0.3.85,85,lumi.4cf8cdf3c8dcfa2
66,"09/29/2023, 12:30:53",0.3.85,106,lumi.4cf8cdf3c8dcfa2
65,"09/29/2023, 12:31:23",0.3.85,137,lumi.4cf8cdf3c8dcfa2
64,"09/29/2023, 12:31:33",0.3.85,106,lumi.4cf8cdf3c8dcfa2
63,"09/29/2023, 12:32:22",0.3.85,88,lumi.4cf8cdf3c8dcfa2
62,"09/29/2023, 12:33:32",0.3.85,106,lumi.4cf8cdf3c8dcfa2
61,"09/29/2023, 12:34:12",0.3.85,89,lumi.4cf8cdf3c8dcfa2
60,"09/29/2023, 12:34:22",0.3.85,107,lumi.4cf8cdf3c8dcfa2
59,"09/29/2023, 12:34:42",0.3.85,87,lumi.4cf8cdf3c8dcfa2
58,"09/29/2023, 12:35:27",0.3.85,72,lumi.4cf8cdf3c8dcfa2
57,"09/29/2023, 12:36:57",0.3.85,61,lumi.4cf8cdf3c8dcfa2
56,"09/29/2023, 12:39:41",0.3.85,74,lumi.4cf8cdf3c8dcfa2
55,"09/29/2023, 12:40:36",0.3.85,95,lumi.4cf8cdf3c8dcfa2
54,"09/29/2023, 12:41:45",0.3.85,113,lumi.4cf8cdf3c8dcfa2
53,"09/29/2023, 12:42:50",0.3.85,95,lumi.4cf8cdf3c8dcfa2
52,"09/29/2023, 12:43:25",0.3.85,113,lumi.4cf8cdf3c8dcfa2
51,"09/29/2023, 12:43:50",0.3.85,87,lumi.4cf8cdf3c8dcfa2
50,"09/29/2023, 12:44:30",0.3.85,104,lumi.4cf8cdf3c8dcfa2
49,"09/29/2023, 12:45:35",0.3.85,125,lumi.4cf8cdf3c8dcfa2
48,"09/29/2023, 12:47:09",0.3.85,100,lumi.4cf8cdf3c8dcfa2
47,"09/29/2023, 12:47:54",0.3.85,131,lumi.4cf8cdf3c8dcfa2
46,"09/29/2023, 12:48:34",0.3.85,93,lumi.4cf8cdf3c8dcfa2
45,"09/29/2023, 12:49:19",0.3.85,74,lumi.4cf8cdf3c8dcfa2
44,"09/29/2023, 12:50:09",0.3.85,71,lumi.4cf8cdf3c8dcfa2
43,"09/29/2023, 12:52:05",0.3.85,90,lumi.4cf8cdf3c8dcfa2
42,"09/29/2023, 12:52:20",0.3.85,76,lumi.4cf8cdf3c8dcfa2
41,"09/29/2023, 12:52:35",0.3.85,92,lumi.4cf8cdf3c8dcfa2
40,"09/29/2023, 12:52:50",0.3.85,136,lumi.4cf8cdf3c8dcfa2
39,"09/29/2023, 12:53:05",0.3.85,104,lumi.4cf8cdf3c8dcfa2
38,"09/29/2023, 12:53:20",0.3.85,85,lumi.4cf8cdf3c8dcfa2
37,"09/29/2023, 12:53:55",0.3.85,70,lumi.4cf8cdf3c8dcfa2
36,"09/29/2023, 12:54:20",0.3.85,59,lumi.4cf8cdf3c8dcfa2
35,"09/29/2023, 12:55:40",0.3.85,71,lumi.4cf8cdf3c8dcfa2
34,"09/29/2023, 12:58:34",0.3.85,84,lumi.4cf8cdf3c8dcfa2
33,"09/29/2023, 12:58:44",0.3.85,70,lumi.4cf8cdf3c8dcfa2
32,"09/29/2023, 12:59:04",0.3.85,86,lumi.4cf8cdf3c8dcfa2
31,"09/29/2023, 12:59:19",0.3.85,72,lumi.4cf8cdf3c8dcfa2
30,"09/29/2023, 12:59:54",0.3.85,61,lumi.4cf8cdf3c8dcfa2
29,"09/29/2023, 13:05:13",0.3.85,74,lumi.4cf8cdf3c8dcfa2
