,timeStamp,resourceId,value,subjectId
22,"10/03/2023, 00:14:47",3.1.85,1,lumi.54ef44100051aa5f
21,"10/03/2023, 00:26:29",3.1.85,1,lumi.54ef44100051aa5f
20,"10/03/2023, 00:27:51",3.1.85,1,lumi.54ef44100051aa5f
19,"10/03/2023, 00:29:08",3.1.85,1,lumi.54ef44100051aa5f
18,"10/03/2023, 00:30:10",3.1.85,1,lumi.54ef44100051aa5f
17,"10/03/2023, 03:10:36",3.1.85,1,lumi.54ef44100051aa5f
16,"10/03/2023, 03:11:57",3.1.85,1,lumi.54ef44100051aa5f
15,"10/03/2023, 16:02:32",3.1.85,1,lumi.54ef44100051aa5f
14,"10/03/2023, 16:24:36",3.1.85,1,lumi.54ef44100051aa5f
13,"10/03/2023, 16:27:52",3.1.85,1,lumi.54ef44100051aa5f
12,"10/03/2023, 16:31:27",3.1.85,1,lumi.54ef44100051aa5f
11,"10/03/2023, 16:34:58",3.1.85,1,lumi.54ef44100051aa5f
10,"10/03/2023, 16:36:50",3.1.85,1,lumi.54ef44100051aa5f
9,"10/03/2023, 21:21:27",3.1.85,1,lumi.54ef44100051aa5f
8,"10/04/2023, 09:34:08",3.1.85,1,lumi.54ef44100051aa5f
7,"10/04/2023, 09:36:29",3.1.85,1,lumi.54ef44100051aa5f
6,"10/04/2023, 09:38:23",3.1.85,1,lumi.54ef44100051aa5f
5,"10/04/2023, 12:19:57",3.1.85,1,lumi.54ef44100051aa5f
4,"10/04/2023, 12:22:48",3.1.85,1,lumi.54ef44100051aa5f
3,"10/04/2023, 12:52:07",3.1.85,1,lumi.54ef44100051aa5f
2,"10/04/2023, 16:13:58",3.1.85,1,lumi.54ef44100051aa5f
1,"10/04/2023, 17:32:57",3.1.85,1,lumi.54ef44100051aa5f
0,"10/04/2023, 17:35:20",3.1.85,1,lumi.54ef44100051aa5f
