,timeStamp,resourceId,value,subjectId
240,"10/15/2023, 00:45:49",0.1.85,2180,lumi.54ef44100053a193
239,"10/15/2023, 00:45:49",0.2.85,5839,lumi.54ef44100053a193
238,"10/15/2023, 00:45:49",0.3.85,100500,lumi.54ef44100053a193
237,"10/15/2023, 01:03:23",0.3.85,100560,lumi.54ef44100053a193
236,"10/15/2023, 01:05:56",0.1.85,2167,lumi.54ef44100053a193
235,"10/15/2023, 01:12:41",0.3.85,100530,lumi.54ef44100053a193
234,"10/15/2023, 01:40:37",0.1.85,2163,lumi.54ef44100053a193
233,"10/15/2023, 01:40:37",0.2.85,5805,lumi.54ef44100053a193
232,"10/15/2023, 01:40:37",0.3.85,100500,lumi.54ef44100053a193
231,"10/15/2023, 02:35:25",0.1.85,2139,lumi.54ef44100053a193
230,"10/15/2023, 02:35:25",0.2.85,5761,lumi.54ef44100053a193
229,"10/15/2023, 02:35:25",0.3.85,100500,lumi.54ef44100053a193
228,"10/15/2023, 03:30:12",0.1.85,2122,lumi.54ef44100053a193
227,"10/15/2023, 03:30:12",0.2.85,5717,lumi.54ef44100053a193
226,"10/15/2023, 03:30:12",0.3.85,100500,lumi.54ef44100053a193
225,"10/15/2023, 03:36:05",0.1.85,2116,lumi.54ef44100053a193
224,"10/15/2023, 04:25:00",0.1.85,2112,lumi.54ef44100053a193
223,"10/15/2023, 04:25:00",0.2.85,5736,lumi.54ef44100053a193
222,"10/15/2023, 04:25:00",0.3.85,100500,lumi.54ef44100053a193
221,"10/15/2023, 04:38:22",0.3.85,100560,lumi.54ef44100053a193
220,"10/15/2023, 05:19:48",0.1.85,2091,lumi.54ef44100053a193
219,"10/15/2023, 05:19:48",0.2.85,5754,lumi.54ef44100053a193
218,"10/15/2023, 05:19:48",0.3.85,100500,lumi.54ef44100053a193
217,"10/15/2023, 05:52:08",0.3.85,100590,lumi.54ef44100053a193
216,"10/15/2023, 06:05:39",0.1.85,2065,lumi.54ef44100053a193
215,"10/15/2023, 06:14:36",0.1.85,2071,lumi.54ef44100053a193
214,"10/15/2023, 06:14:36",0.2.85,5704,lumi.54ef44100053a193
213,"10/15/2023, 06:14:36",0.3.85,100500,lumi.54ef44100053a193
212,"10/15/2023, 06:53:52",0.3.85,100620,lumi.54ef44100053a193
211,"10/15/2023, 07:09:23",0.1.85,2057,lumi.54ef44100053a193
210,"10/15/2023, 07:09:23",0.2.85,5700,lumi.54ef44100053a193
209,"10/15/2023, 07:09:23",0.3.85,100600,lumi.54ef44100053a193
208,"10/15/2023, 07:30:25",0.3.85,100650,lumi.54ef44100053a193
207,"10/15/2023, 08:04:11",0.1.85,2050,lumi.54ef44100053a193
206,"10/15/2023, 08:04:11",0.2.85,5700,lumi.54ef44100053a193
205,"10/15/2023, 08:04:11",0.3.85,100600,lumi.54ef44100053a193
204,"10/15/2023, 08:10:47",0.3.85,100680,lumi.54ef44100053a193
203,"10/15/2023, 08:48:35",0.3.85,100710,lumi.54ef44100053a193
202,"10/15/2023, 08:58:59",0.1.85,2057,lumi.54ef44100053a193
201,"10/15/2023, 08:58:59",0.2.85,5778,lumi.54ef44100053a193
200,"10/15/2023, 08:58:59",0.3.85,100700,lumi.54ef44100053a193
199,"10/15/2023, 09:53:14",0.3.85,100740,lumi.54ef44100053a193
198,"10/15/2023, 09:53:47",0.1.85,2077,lumi.54ef44100053a193
197,"10/15/2023, 09:53:47",0.2.85,5890,lumi.54ef44100053a193
196,"10/15/2023, 09:53:47",0.3.85,100700,lumi.54ef44100053a193
195,"10/15/2023, 09:58:44",0.3.85,100710,lumi.54ef44100053a193
194,"10/15/2023, 10:27:57",0.1.85,2116,lumi.54ef44100053a193
193,"10/15/2023, 10:48:34",0.1.85,2134,lumi.54ef44100053a193
192,"10/15/2023, 10:48:34",0.2.85,5883,lumi.54ef44100053a193
191,"10/15/2023, 10:48:34",0.3.85,100700,lumi.54ef44100053a193
