,timeStamp,resourceId,value,subjectId
299,"10/25/2023, 18:18:17",0.12.85,0.480000,lumi.54ef4410001e9c6b
298,"10/25/2023, 18:21:49",0.12.85,0.53,lumi.54ef4410001e9c6b
297,"10/25/2023, 18:22:51",0.12.85,0.000000,lumi.54ef4410001e9c6b
296,"10/25/2023, 18:23:22",0.12.85,0.450000,lumi.54ef4410001e9c6b
295,"10/25/2023, 18:26:08",0.12.85,0.000000,lumi.54ef4410001e9c6b
294,"10/25/2023, 18:26:39",0.12.85,0.500000,lumi.54ef4410001e9c6b
293,"10/25/2023, 18:27:52",0.12.85,0.62,lumi.54ef4410001e9c6b
292,"10/25/2023, 18:29:03",0.12.85,0.000000,lumi.54ef4410001e9c6b
291,"10/25/2023, 18:29:32",0.12.85,0.420000,lumi.54ef4410001e9c6b
290,"10/25/2023, 18:34:55",0.12.85,0.43,lumi.54ef4410001e9c6b
289,"10/25/2023, 18:36:37",0.12.85,0.000000,lumi.54ef4410001e9c6b
288,"10/25/2023, 18:37:33",0.12.85,0.660000,lumi.54ef4410001e9c6b
287,"10/25/2023, 18:42:42",0.12.85,0.46,lumi.54ef4410001e9c6b
286,"10/25/2023, 18:48:04",0.12.85,0.60,lumi.54ef4410001e9c6b
285,"10/25/2023, 18:54:17",0.12.85,0.38,lumi.54ef4410001e9c6b
284,"10/25/2023, 18:55:10",0.12.85,0.000000,lumi.54ef4410001e9c6b
283,"10/25/2023, 18:55:42",0.12.85,0.500000,lumi.54ef4410001e9c6b
282,"10/25/2023, 19:01:23",0.12.85,0.46,lumi.54ef4410001e9c6b
281,"10/25/2023, 19:06:30",0.12.85,0.000000,lumi.54ef4410001e9c6b
280,"10/25/2023, 19:07:04",0.12.85,0.410000,lumi.54ef4410001e9c6b
279,"10/25/2023, 19:08:03",0.12.85,0.42,lumi.54ef4410001e9c6b
278,"10/25/2023, 19:08:41",0.12.85,0.000000,lumi.54ef4410001e9c6b
277,"10/25/2023, 19:09:12",0.12.85,0.530000,lumi.54ef4410001e9c6b
276,"10/25/2023, 19:13:21",0.12.85,0.000000,lumi.54ef4410001e9c6b
275,"10/25/2023, 19:14:16",0.12.85,0.460000,lumi.54ef4410001e9c6b
274,"10/25/2023, 19:14:34",0.12.85,0.46,lumi.54ef4410001e9c6b
273,"10/25/2023, 19:19:45",0.12.85,0.40,lumi.54ef4410001e9c6b
272,"10/25/2023, 19:22:55",0.12.85,0.000000,lumi.54ef4410001e9c6b
271,"10/25/2023, 19:23:28",0.12.85,0.430000,lumi.54ef4410001e9c6b
270,"10/25/2023, 19:24:30",0.12.85,0.000000,lumi.54ef4410001e9c6b
269,"10/25/2023, 19:25:02",0.12.85,0.480000,lumi.54ef4410001e9c6b
268,"10/25/2023, 19:25:58",0.12.85,0.55,lumi.54ef4410001e9c6b
267,"10/25/2023, 19:28:02",0.12.85,0.000000,lumi.54ef4410001e9c6b
266,"10/25/2023, 19:28:33",0.12.85,0.440000,lumi.54ef4410001e9c6b
265,"10/25/2023, 19:30:20",0.12.85,0.000000,lumi.54ef4410001e9c6b
264,"10/25/2023, 19:31:13",0.12.85,0.510000,lumi.54ef4410001e9c6b
263,"10/25/2023, 19:31:58",0.12.85,0.51,lumi.54ef4410001e9c6b
262,"10/25/2023, 19:35:16",0.12.85,0.000000,lumi.54ef4410001e9c6b
261,"10/25/2023, 19:35:50",0.12.85,0.350000,lumi.54ef4410001e9c6b
260,"10/25/2023, 19:36:15",0.12.85,0.000000,lumi.54ef4410001e9c6b
259,"10/25/2023, 19:36:44",0.12.85,0.440000,lumi.54ef4410001e9c6b
258,"10/25/2023, 19:37:32",0.12.85,0.38,lumi.54ef4410001e9c6b
257,"10/25/2023, 19:39:51",0.12.85,0.000000,lumi.54ef4410001e9c6b
256,"10/25/2023, 19:40:24",0.12.85,0.370000,lumi.54ef4410001e9c6b
255,"10/25/2023, 19:44:01",0.12.85,0.45,lumi.54ef4410001e9c6b
254,"10/25/2023, 19:49:39",0.12.85,0.50,lumi.54ef4410001e9c6b
253,"10/25/2023, 19:53:06",0.12.85,0.000000,lumi.54ef4410001e9c6b
252,"10/25/2023, 19:54:00",0.12.85,0.430000,lumi.54ef4410001e9c6b
251,"10/25/2023, 19:55:30",0.12.85,0.41,lumi.54ef4410001e9c6b
250,"10/25/2023, 19:58:18",0.12.85,0.000000,lumi.54ef4410001e9c6b
249,"10/25/2023, 19:58:47",0.12.85,0.450000,lumi.54ef4410001e9c6b
248,"10/25/2023, 20:01:12",0.12.85,0.000000,lumi.54ef4410001e9c6b
247,"10/25/2023, 20:01:42",0.12.85,0.420000,lumi.54ef4410001e9c6b
246,"10/25/2023, 20:02:26",0.12.85,0.42,lumi.54ef4410001e9c6b
245,"10/25/2023, 20:07:49",0.12.85,0.56,lumi.54ef4410001e9c6b
244,"10/25/2023, 20:09:34",0.12.85,0.000000,lumi.54ef4410001e9c6b
243,"10/25/2023, 20:10:05",0.12.85,0.480000,lumi.54ef4410001e9c6b
242,"10/25/2023, 20:10:21",0.12.85,0.000000,lumi.54ef4410001e9c6b
241,"10/25/2023, 20:10:51",0.12.85,0.460000,lumi.54ef4410001e9c6b
240,"10/25/2023, 20:11:41",0.12.85,0.000000,lumi.54ef4410001e9c6b
239,"10/25/2023, 20:12:12",0.12.85,0.420000,lumi.54ef4410001e9c6b
