,timeStamp,resourceId,value,subjectId
15,"10/27/2023, 16:52:19",3.1.85,1,lumi.54ef4410003fd7fe
14,"10/27/2023, 16:52:21",3.1.85,0,lumi.54ef4410003fd7fe
13,"10/27/2023, 16:55:11",3.1.85,1,lumi.54ef4410003fd7fe
12,"10/27/2023, 17:05:44",3.1.85,0,lumi.54ef4410003fd7fe
11,"10/28/2023, 00:18:12",3.1.85,1,lumi.54ef4410003fd7fe
10,"10/28/2023, 00:18:14",3.1.85,0,lumi.54ef4410003fd7fe
9,"10/28/2023, 01:09:47",3.1.85,1,lumi.54ef4410003fd7fe
8,"10/28/2023, 01:09:50",3.1.85,0,lumi.54ef4410003fd7fe
7,"10/28/2023, 14:36:03",3.1.85,1,lumi.54ef4410003fd7fe
6,"10/28/2023, 14:36:05",3.1.85,0,lumi.54ef4410003fd7fe
5,"10/28/2023, 14:39:34",3.1.85,1,lumi.54ef4410003fd7fe
4,"10/28/2023, 14:41:15",3.1.85,0,lumi.54ef4410003fd7fe
3,"10/28/2023, 14:42:52",3.1.85,1,lumi.54ef4410003fd7fe
2,"10/28/2023, 14:43:10",3.1.85,0,lumi.54ef4410003fd7fe
1,"10/28/2023, 14:46:07",3.1.85,1,lumi.54ef4410003fd7fe
0,"10/28/2023, 14:46:09",3.1.85,0,lumi.54ef4410003fd7fe
