,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
302,,0.3.85,"09/15/2023, 00:30:00",101120.0,lumi.54ef4410004b13a4,3,"09/15/2023, 00:00:00"
301,,0.2.85,"09/15/2023, 00:30:00",6148.5,lumi.54ef4410004b13a4,3,"09/15/2023, 00:00:00"
300,,0.1.85,"09/15/2023, 00:30:00",2975.0,lumi.54ef4410004b13a4,3,"09/15/2023, 00:00:00"
299,"09/15/2023, 00:06:43",0.3.85,"09/15/2023, 00:30:00",101140.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 00:00:00"
298,"09/15/2023, 00:10:12",0.1.85,"09/15/2023, 00:30:00",2975.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 00:00:00"
297,"09/15/2023, 00:02:30",0.2.85,"09/15/2023, 00:30:00",6186.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 00:00:00"
296,"09/15/2023, 00:10:12",0.1.85,"09/15/2023, 00:30:00",2975.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 00:00:00"
295,"09/15/2023, 00:10:12",0.2.85,"09/15/2023, 00:30:00",6111.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 00:00:00"
294,"09/15/2023, 00:10:12",0.3.85,"09/15/2023, 00:30:00",101100.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 00:00:00"
293,,0.3.85,"09/15/2023, 01:30:00",101100.0,lumi.54ef4410004b13a4,3,"09/15/2023, 01:00:00"
292,,0.2.85,"09/15/2023, 01:30:00",6214.0,lumi.54ef4410004b13a4,3,"09/15/2023, 01:00:00"
291,,0.1.85,"09/15/2023, 01:30:00",2928.0,lumi.54ef4410004b13a4,3,"09/15/2023, 01:00:00"
290,"09/15/2023, 01:05:09",0.3.85,"09/15/2023, 01:30:00",101100.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 01:00:00"
289,"09/15/2023, 01:05:09",0.1.85,"09/15/2023, 01:30:00",2928.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 01:00:00"
288,"09/15/2023, 01:05:09",0.2.85,"09/15/2023, 01:30:00",6214.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 01:00:00"
287,"09/15/2023, 01:05:09",0.1.85,"09/15/2023, 01:30:00",2928.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 01:00:00"
286,"09/15/2023, 01:05:09",0.2.85,"09/15/2023, 01:30:00",6214.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 01:00:00"
285,"09/15/2023, 01:05:09",0.3.85,"09/15/2023, 01:30:00",101100.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 01:00:00"
284,,0.3.85,"09/15/2023, 02:00:00",101110.0,lumi.54ef4410004b13a4,3,"09/15/2023, 01:30:00"
283,"09/15/2023, 01:49:07",0.3.85,"09/15/2023, 02:00:00",101110.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 01:30:00"
282,"09/15/2023, 01:49:07",0.3.85,"09/15/2023, 02:00:00",101110.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 01:30:00"
281,,0.3.85,"09/15/2023, 02:30:00",101100.0,lumi.54ef4410004b13a4,3,"09/15/2023, 02:00:00"
280,,0.2.85,"09/15/2023, 02:30:00",6365.0,lumi.54ef4410004b13a4,3,"09/15/2023, 02:00:00"
279,,0.1.85,"09/15/2023, 02:30:00",2912.0,lumi.54ef4410004b13a4,3,"09/15/2023, 02:00:00"
278,"09/15/2023, 02:00:06",0.3.85,"09/15/2023, 02:30:00",101100.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 02:00:00"
277,"09/15/2023, 02:00:06",0.1.85,"09/15/2023, 02:30:00",2912.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 02:00:00"
276,"09/15/2023, 02:00:06",0.2.85,"09/15/2023, 02:30:00",6365.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 02:00:00"
275,"09/15/2023, 02:00:06",0.1.85,"09/15/2023, 02:30:00",2912.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 02:00:00"
274,"09/15/2023, 02:00:06",0.2.85,"09/15/2023, 02:30:00",6365.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 02:00:00"
273,"09/15/2023, 02:00:06",0.3.85,"09/15/2023, 02:30:00",101100.000000,lumi.54ef4410004b13a4,1,"09/15/2023, 02:00:00"
272,,0.3.85,"09/15/2023, 03:00:00",101040.0,lumi.54ef4410004b13a4,3,"09/15/2023, 02:30:00"
271,,0.2.85,"09/15/2023, 03:00:00",6445.0,lumi.54ef4410004b13a4,3,"09/15/2023, 02:30:00"
270,,0.1.85,"09/15/2023, 03:00:00",2892.5,lumi.54ef4410004b13a4,3,"09/15/2023, 02:30:00"
269,"09/15/2023, 02:54:30",0.3.85,"09/15/2023, 03:00:00",101080.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 02:30:00"
268,"09/15/2023, 02:55:03",0.1.85,"09/15/2023, 03:00:00",2893.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 02:30:00"
267,"09/15/2023, 02:55:03",0.2.85,"09/15/2023, 03:00:00",6445.000000,lumi.54ef4410004b13a4,2,"09/15/2023, 02:30:00"
