,timeStamp,resourceId,value,subjectId
15,"09/27/2023, 12:57:49",13.1.85,1,lumi.158d0008f3a4c6
14,"09/27/2023, 13:13:21",13.1.85,1,lumi.158d0008f3a4c6
13,"09/27/2023, 13:50:01",13.1.85,1,lumi.158d0008f3a4c6
12,"09/27/2023, 15:05:56",13.1.85,1,lumi.158d0008f3a4c6
11,"09/27/2023, 15:09:55",13.1.85,1,lumi.158d0008f3a4c6
10,"09/27/2023, 19:30:59",13.1.85,1,lumi.158d0008f3a4c6
9,"09/27/2023, 19:32:42",13.1.85,1,lumi.158d0008f3a4c6
8,"09/27/2023, 19:56:17",13.1.85,1,lumi.158d0008f3a4c6
7,"09/27/2023, 20:06:55",13.1.85,1,lumi.158d0008f3a4c6
6,"09/27/2023, 20:08:36",13.1.85,1,lumi.158d0008f3a4c6
5,"09/27/2023, 20:09:40",13.1.85,1,lumi.158d0008f3a4c6
4,"09/27/2023, 20:23:39",13.1.85,1,lumi.158d0008f3a4c6
3,"09/27/2023, 20:36:59",13.1.85,1,lumi.158d0008f3a4c6
2,"09/27/2023, 20:43:39",13.1.85,1,lumi.158d0008f3a4c6
1,"09/28/2023, 11:15:06",13.1.85,1,lumi.158d0008f3a4c6
0,"09/28/2023, 12:22:39",13.1.85,1,lumi.158d0008f3a4c6
