,timeStamp,resourceId,value,subjectId
254,"12/26/2023, 00:00:47",0.1.85,1227,lumi.54ef4410004b13a4
253,"12/26/2023, 00:00:47",0.2.85,5452,lumi.54ef4410004b13a4
252,"12/26/2023, 00:00:47",0.3.85,103000,lumi.54ef4410004b13a4
251,"12/26/2023, 00:09:03",0.3.85,103060,lumi.54ef4410004b13a4
250,"12/26/2023, 00:18:33",0.3.85,103090,lumi.54ef4410004b13a4
249,"12/26/2023, 00:30:15",0.3.85,103060,lumi.54ef4410004b13a4
248,"12/26/2023, 00:55:41",0.1.85,1226,lumi.54ef4410004b13a4
247,"12/26/2023, 00:55:41",0.2.85,5463,lumi.54ef4410004b13a4
246,"12/26/2023, 00:55:41",0.3.85,103000,lumi.54ef4410004b13a4
245,"12/26/2023, 01:50:34",0.1.85,1226,lumi.54ef4410004b13a4
244,"12/26/2023, 01:50:34",0.2.85,5448,lumi.54ef4410004b13a4
243,"12/26/2023, 01:50:34",0.3.85,103000,lumi.54ef4410004b13a4
242,"12/26/2023, 01:51:31",0.3.85,103090,lumi.54ef4410004b13a4
241,"12/26/2023, 02:45:28",0.1.85,1226,lumi.54ef4410004b13a4
240,"12/26/2023, 02:45:28",0.2.85,5462,lumi.54ef4410004b13a4
239,"12/26/2023, 02:45:28",0.3.85,103000,lumi.54ef4410004b13a4
238,"12/26/2023, 03:34:09",0.3.85,103060,lumi.54ef4410004b13a4
237,"12/26/2023, 03:40:22",0.1.85,1223,lumi.54ef4410004b13a4
236,"12/26/2023, 03:40:22",0.2.85,5470,lumi.54ef4410004b13a4
235,"12/26/2023, 03:40:22",0.3.85,103000,lumi.54ef4410004b13a4
234,"12/26/2023, 04:05:05",0.3.85,103030,lumi.54ef4410004b13a4
233,"12/26/2023, 04:19:21",0.3.85,103000,lumi.54ef4410004b13a4
232,"12/26/2023, 04:35:15",0.1.85,1226,lumi.54ef4410004b13a4
231,"12/26/2023, 04:35:15",0.2.85,5439,lumi.54ef4410004b13a4
230,"12/26/2023, 04:35:15",0.3.85,102900,lumi.54ef4410004b13a4
229,"12/26/2023, 05:12:14",0.3.85,102970,lumi.54ef4410004b13a4
228,"12/26/2023, 05:30:09",0.1.85,1234,lumi.54ef4410004b13a4
227,"12/26/2023, 05:30:09",0.2.85,5448,lumi.54ef4410004b13a4
226,"12/26/2023, 05:30:09",0.3.85,102900,lumi.54ef4410004b13a4
225,"12/26/2023, 05:35:18",0.3.85,102940,lumi.54ef4410004b13a4
224,"12/26/2023, 06:08:13",0.3.85,102970,lumi.54ef4410004b13a4
223,"12/26/2023, 06:25:03",0.1.85,1244,lumi.54ef4410004b13a4
222,"12/26/2023, 06:25:03",0.2.85,5420,lumi.54ef4410004b13a4
221,"12/26/2023, 06:25:03",0.3.85,102900,lumi.54ef4410004b13a4
220,"12/26/2023, 06:40:16",0.1.85,1255,lumi.54ef4410004b13a4
219,"12/26/2023, 07:02:34",0.3.85,103000,lumi.54ef4410004b13a4
218,"12/26/2023, 07:19:57",0.1.85,1257,lumi.54ef4410004b13a4
217,"12/26/2023, 07:19:57",0.2.85,5421,lumi.54ef4410004b13a4
216,"12/26/2023, 07:19:57",0.3.85,102900,lumi.54ef4410004b13a4
215,"12/26/2023, 07:24:44",0.3.85,102970,lumi.54ef4410004b13a4
214,"12/26/2023, 07:29:18",0.3.85,103000,lumi.54ef4410004b13a4
213,"12/26/2023, 08:14:28",0.3.85,103030,lumi.54ef4410004b13a4
212,"12/26/2023, 08:14:50",0.1.85,1257,lumi.54ef4410004b13a4
211,"12/26/2023, 08:14:50",0.2.85,5421,lumi.54ef4410004b13a4
210,"12/26/2023, 08:14:50",0.3.85,103000,lumi.54ef4410004b13a4
209,"12/26/2023, 08:32:26",0.3.85,103060,lumi.54ef4410004b13a4
208,"12/26/2023, 08:56:45",0.3.85,103090,lumi.54ef4410004b13a4
207,"12/26/2023, 09:09:44",0.1.85,1254,lumi.54ef4410004b13a4
206,"12/26/2023, 09:09:44",0.2.85,5412,lumi.54ef4410004b13a4
205,"12/26/2023, 09:09:44",0.3.85,103000,lumi.54ef4410004b13a4
204,"12/26/2023, 09:26:36",0.3.85,103120,lumi.54ef4410004b13a4
203,"12/26/2023, 10:04:38",0.1.85,1255,lumi.54ef4410004b13a4
202,"12/26/2023, 10:04:38",0.2.85,5435,lumi.54ef4410004b13a4
201,"12/26/2023, 10:04:38",0.3.85,103100,lumi.54ef4410004b13a4
200,"12/26/2023, 10:59:32",0.1.85,1261,lumi.54ef4410004b13a4
199,"12/26/2023, 10:59:32",0.2.85,5450,lumi.54ef4410004b13a4
198,"12/26/2023, 10:59:32",0.3.85,103100,lumi.54ef4410004b13a4
197,"12/26/2023, 11:12:22",0.3.85,103090,lumi.54ef4410004b13a4
196,"12/26/2023, 11:41:48",0.3.85,103060,lumi.54ef4410004b13a4
195,"12/26/2023, 11:54:25",0.1.85,1266,lumi.54ef4410004b13a4
194,"12/26/2023, 11:54:25",0.2.85,5457,lumi.54ef4410004b13a4
193,"12/26/2023, 11:54:25",0.3.85,103000,lumi.54ef4410004b13a4
192,"12/26/2023, 12:08:10",0.3.85,103030,lumi.54ef4410004b13a4
191,"12/26/2023, 12:29:12",0.3.85,103000,lumi.54ef4410004b13a4
190,"12/26/2023, 12:49:19",0.1.85,1268,lumi.54ef4410004b13a4
189,"12/26/2023, 12:49:19",0.2.85,5486,lumi.54ef4410004b13a4
188,"12/26/2023, 12:49:19",0.3.85,102900,lumi.54ef4410004b13a4
187,"12/26/2023, 12:50:38",0.3.85,102970,lumi.54ef4410004b13a4
186,"12/26/2023, 13:32:30",0.3.85,102940,lumi.54ef4410004b13a4
185,"12/26/2023, 13:44:13",0.1.85,1268,lumi.54ef4410004b13a4
184,"12/26/2023, 13:44:13",0.2.85,5495,lumi.54ef4410004b13a4
183,"12/26/2023, 13:44:13",0.3.85,102900,lumi.54ef4410004b13a4
182,"12/26/2023, 13:55:46",0.3.85,102910,lumi.54ef4410004b13a4
181,"12/26/2023, 14:39:06",0.1.85,1268,lumi.54ef4410004b13a4
180,"12/26/2023, 14:39:06",0.2.85,5503,lumi.54ef4410004b13a4
179,"12/26/2023, 14:39:06",0.3.85,102900,lumi.54ef4410004b13a4
178,"12/26/2023, 14:54:08",0.3.85,102940,lumi.54ef4410004b13a4
177,"12/26/2023, 15:20:06",0.3.85,102910,lumi.54ef4410004b13a4
176,"12/26/2023, 15:22:18",0.1.85,1307,lumi.54ef4410004b13a4
175,"12/26/2023, 15:34:00",0.1.85,1325,lumi.54ef4410004b13a4
174,"12/26/2023, 15:34:00",0.2.85,5656,lumi.54ef4410004b13a4
173,"12/26/2023, 15:34:00",0.3.85,102900,lumi.54ef4410004b13a4
172,"12/26/2023, 15:41:43",0.1.85,1359,lumi.54ef4410004b13a4
171,"12/26/2023, 15:55:37",0.1.85,1413,lumi.54ef4410004b13a4
