,timeStamp,resourceId,value,subjectId
13,"12/28/2023, 11:56:07",13.1.85,1,lumi.158d0008d0ce9d
12,"12/28/2023, 12:25:41",13.1.85,1,lumi.158d0008d0ce9d
11,"12/28/2023, 22:54:26",13.1.85,1,lumi.158d0008d0ce9d
10,"12/28/2023, 22:54:33",13.1.85,2,lumi.158d0008d0ce9d
9,"12/28/2023, 22:55:11",13.1.85,2,lumi.158d0008d0ce9d
8,"12/28/2023, 22:55:24",13.1.85,1,lumi.158d0008d0ce9d
7,"12/28/2023, 22:56:23",13.1.85,1,lumi.158d0008d0ce9d
6,"12/28/2023, 22:56:42",13.1.85,3,lumi.158d0008d0ce9d
5,"12/28/2023, 22:56:55",13.1.85,2,lumi.158d0008d0ce9d
4,"12/29/2023, 21:33:20",13.1.85,1,lumi.158d0008d0ce9d
3,"12/29/2023, 21:33:25",13.1.85,2,lumi.158d0008d0ce9d
2,"12/29/2023, 21:34:28",13.1.85,1,lumi.158d0008d0ce9d
1,"12/29/2023, 21:36:30",13.1.85,1,lumi.158d0008d0ce9d
0,"12/29/2023, 21:42:22",13.1.85,1,lumi.158d0008d0ce9d
