,timeStamp,resourceId,value,subjectId
11,"12/30/2023, 13:22:47",3.1.85,1,lumi.54ef4410003fe821
10,"12/30/2023, 13:22:51",3.1.85,0,lumi.54ef4410003fe821
9,"12/30/2023, 13:32:05",3.1.85,1,lumi.54ef4410003fe821
8,"12/30/2023, 13:32:08",3.1.85,0,lumi.54ef4410003fe821
7,"12/30/2023, 16:14:18",3.1.85,1,lumi.54ef4410003fe821
6,"12/30/2023, 16:14:22",3.1.85,0,lumi.54ef4410003fe821
5,"12/30/2023, 21:14:21",3.1.85,1,lumi.54ef4410003fe821
4,"12/30/2023, 21:14:26",3.1.85,0,lumi.54ef4410003fe821
3,"12/31/2023, 12:58:18",3.1.85,1,lumi.54ef4410003fe821
2,"12/31/2023, 12:58:22",3.1.85,0,lumi.54ef4410003fe821
1,"12/31/2023, 18:32:26",3.1.85,1,lumi.54ef4410003fe821
0,"12/31/2023, 18:32:29",3.1.85,0,lumi.54ef4410003fe821
