,timeStamp,resourceId,value,subjectId
33,"01/05/2024, 00:07:42",0.3.85,205,lumi.54ef44100065d2f0
32,"01/05/2024, 00:08:29",0.3.85,117,lumi.54ef44100065d2f0
31,"01/05/2024, 00:08:34",0.3.85,211,lumi.54ef44100065d2f0
30,"01/05/2024, 00:10:18",0.3.85,134,lumi.54ef44100065d2f0
29,"01/05/2024, 00:10:23",0.3.85,195,lumi.54ef44100065d2f0
28,"01/05/2024, 00:11:13",0.3.85,105,lumi.54ef44100065d2f0
27,"01/05/2024, 00:11:18",0.3.85,185,lumi.54ef44100065d2f0
26,"01/05/2024, 00:11:53",0.3.85,220,lumi.54ef44100065d2f0
25,"01/05/2024, 00:11:58",0.3.85,126,lumi.54ef44100065d2f0
24,"01/05/2024, 00:12:03",0.3.85,105,lumi.54ef44100065d2f0
23,"01/05/2024, 00:12:08",0.3.85,211,lumi.54ef44100065d2f0
22,"01/05/2024, 00:16:52",0.3.85,168,lumi.54ef44100065d2f0
21,"01/05/2024, 00:17:46",0.3.85,0,lumi.54ef44100065d2f0
20,"01/05/2024, 01:02:29",0.3.85,0,lumi.54ef44100065d2f0
19,"01/05/2024, 01:57:17",0.3.85,0,lumi.54ef44100065d2f0
18,"01/05/2024, 02:52:04",0.3.85,0,lumi.54ef44100065d2f0
17,"01/05/2024, 03:46:51",0.3.85,0,lumi.54ef44100065d2f0
16,"01/05/2024, 04:41:38",0.3.85,0,lumi.54ef44100065d2f0
15,"01/05/2024, 05:36:26",0.3.85,0,lumi.54ef44100065d2f0
14,"01/05/2024, 06:31:13",0.3.85,0,lumi.54ef44100065d2f0
13,"01/05/2024, 07:26:00",0.3.85,0,lumi.54ef44100065d2f0
12,"01/05/2024, 08:20:47",0.3.85,0,lumi.54ef44100065d2f0
11,"01/05/2024, 08:45:48",0.3.85,18,lumi.54ef44100065d2f0
10,"01/05/2024, 08:45:53",0.3.85,1,lumi.54ef44100065d2f0
9,"01/05/2024, 09:15:35",0.3.85,3,lumi.54ef44100065d2f0
8,"01/05/2024, 10:10:23",0.3.85,5,lumi.54ef44100065d2f0
7,"01/05/2024, 10:21:07",0.3.85,8,lumi.54ef44100065d2f0
6,"01/05/2024, 11:05:10",0.3.85,5,lumi.54ef44100065d2f0
5,"01/05/2024, 11:21:53",0.3.85,162,lumi.54ef44100065d2f0
4,"01/05/2024, 11:21:57",0.3.85,195,lumi.54ef44100065d2f0
3,"01/05/2024, 11:37:23",0.3.85,233,lumi.54ef44100065d2f0
2,"01/05/2024, 11:40:23",0.3.85,95,lumi.54ef44100065d2f0
1,"01/05/2024, 11:40:28",0.3.85,193,lumi.54ef44100065d2f0
0,"01/05/2024, 11:59:57",0.3.85,216,lumi.54ef44100065d2f0
