,timeStamp,resourceId,value,subjectId
14,"01/07/2024, 20:11:15",3.1.85,0,lumi.54ef4410003fe04b
13,"01/07/2024, 20:11:15",3.1.85,1,lumi.54ef4410003fe04b
12,"01/08/2024, 18:28:47",3.1.85,0,lumi.54ef4410003fe04b
11,"01/08/2024, 18:28:49",3.1.85,1,lumi.54ef4410003fe04b
10,"01/08/2024, 18:29:20",3.1.85,0,lumi.54ef4410003fe04b
9,"01/08/2024, 18:29:21",3.1.85,1,lumi.54ef4410003fe04b
8,"01/08/2024, 18:29:21",3.1.85,0,lumi.54ef4410003fe04b
7,"01/08/2024, 18:29:22",3.1.85,1,lumi.54ef4410003fe04b
6,"01/08/2024, 18:29:22",3.1.85,0,lumi.54ef4410003fe04b
5,"01/08/2024, 18:29:22",3.1.85,1,lumi.54ef4410003fe04b
4,"01/08/2024, 18:29:22",3.1.85,1,lumi.54ef4410003fe04b
3,"01/08/2024, 18:29:23",3.1.85,0,lumi.54ef4410003fe04b
2,"01/08/2024, 18:29:23",3.1.85,1,lumi.54ef4410003fe04b
1,"01/08/2024, 18:29:23",3.1.85,0,lumi.54ef4410003fe04b
0,"01/08/2024, 18:29:23",3.1.85,1,lumi.54ef4410003fe04b
