,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
275,,0.1.85,"08/15/2023, 01:00:00",3335.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 00:30:00"
274,,0.2.85,"08/15/2023, 01:00:00",5756.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 00:30:00"
273,,0.3.85,"08/15/2023, 01:00:00",100400.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 00:30:00"
272,"08/15/2023, 00:30:53",0.2.85,"08/15/2023, 01:00:00",5756.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 00:30:00"
271,"08/15/2023, 00:30:53",0.3.85,"08/15/2023, 01:00:00",100400.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 00:30:00"
270,"08/15/2023, 00:30:53",0.1.85,"08/15/2023, 01:00:00",3335.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 00:30:00"
269,"08/15/2023, 00:30:53",0.2.85,"08/15/2023, 01:00:00",5756.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 00:30:00"
268,"08/15/2023, 00:30:53",0.1.85,"08/15/2023, 01:00:00",3335.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 00:30:00"
267,"08/15/2023, 00:30:53",0.3.85,"08/15/2023, 01:00:00",100400.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 00:30:00"
266,,0.1.85,"08/15/2023, 01:30:00",3331.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 01:00:00"
265,,0.2.85,"08/15/2023, 01:30:00",5747.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 01:00:00"
264,,0.3.85,"08/15/2023, 01:30:00",100430.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 01:00:00"
263,"08/15/2023, 01:25:46",0.2.85,"08/15/2023, 01:30:00",5747.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 01:00:00"
262,"08/15/2023, 01:04:00",0.3.85,"08/15/2023, 01:30:00",100460.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 01:00:00"
261,"08/15/2023, 01:25:46",0.1.85,"08/15/2023, 01:30:00",3331.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 01:00:00"
260,"08/15/2023, 01:25:46",0.2.85,"08/15/2023, 01:30:00",5747.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 01:00:00"
259,"08/15/2023, 01:25:46",0.1.85,"08/15/2023, 01:30:00",3331.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 01:00:00"
258,"08/15/2023, 01:25:46",0.3.85,"08/15/2023, 01:30:00",100400.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 01:00:00"
257,,0.1.85,"08/15/2023, 02:30:00",3329.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 02:00:00"
256,,0.2.85,"08/15/2023, 02:30:00",5763.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 02:00:00"
255,,0.3.85,"08/15/2023, 02:30:00",100400.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 02:00:00"
254,"08/15/2023, 02:20:38",0.2.85,"08/15/2023, 02:30:00",5763.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 02:00:00"
253,"08/15/2023, 02:20:38",0.3.85,"08/15/2023, 02:30:00",100400.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 02:00:00"
252,"08/15/2023, 02:20:38",0.1.85,"08/15/2023, 02:30:00",3329.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 02:00:00"
251,"08/15/2023, 02:20:38",0.2.85,"08/15/2023, 02:30:00",5763.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 02:00:00"
250,"08/15/2023, 02:20:38",0.1.85,"08/15/2023, 02:30:00",3329.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 02:00:00"
249,"08/15/2023, 02:20:38",0.3.85,"08/15/2023, 02:30:00",100400.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 02:00:00"
248,,0.3.85,"08/15/2023, 03:00:00",100430.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 02:30:00"
247,"08/15/2023, 02:30:32",0.3.85,"08/15/2023, 03:00:00",100430.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 02:30:00"
246,"08/15/2023, 02:30:32",0.3.85,"08/15/2023, 03:00:00",100430.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 02:30:00"
245,,0.1.85,"08/15/2023, 03:30:00",3329.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 03:00:00"
244,,0.2.85,"08/15/2023, 03:30:00",5752.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 03:00:00"
243,,0.3.85,"08/15/2023, 03:30:00",100400.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 03:00:00"
242,"08/15/2023, 03:15:31",0.2.85,"08/15/2023, 03:30:00",5752.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 03:00:00"
241,"08/15/2023, 03:15:31",0.3.85,"08/15/2023, 03:30:00",100400.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 03:00:00"
240,"08/15/2023, 03:15:31",0.1.85,"08/15/2023, 03:30:00",3329.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 03:00:00"
239,"08/15/2023, 03:15:31",0.2.85,"08/15/2023, 03:30:00",5752.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 03:00:00"
238,"08/15/2023, 03:15:31",0.1.85,"08/15/2023, 03:30:00",3329.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 03:00:00"
237,"08/15/2023, 03:15:31",0.3.85,"08/15/2023, 03:30:00",100400.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 03:00:00"
236,,0.1.85,"08/15/2023, 04:30:00",3316.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 04:00:00"
235,,0.2.85,"08/15/2023, 04:30:00",5759.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 04:00:00"
234,,0.3.85,"08/15/2023, 04:30:00",100410.0,lumi.54ef4410004b0f2b,3,"08/15/2023, 04:00:00"
233,"08/15/2023, 04:10:23",0.2.85,"08/15/2023, 04:30:00",5759.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 04:00:00"
232,"08/15/2023, 04:23:57",0.3.85,"08/15/2023, 04:30:00",100430.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 04:00:00"
231,"08/15/2023, 04:10:23",0.1.85,"08/15/2023, 04:30:00",3316.000000,lumi.54ef4410004b0f2b,2,"08/15/2023, 04:00:00"
230,"08/15/2023, 04:10:23",0.2.85,"08/15/2023, 04:30:00",5759.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 04:00:00"
229,"08/15/2023, 04:10:23",0.1.85,"08/15/2023, 04:30:00",3316.000000,lumi.54ef4410004b0f2b,1,"08/15/2023, 04:00:00"
