,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
290,,0.3.85,"08/31/2023, 00:30:00",22.5,lumi.54ef44100065d68c,3,"08/31/2023, 00:00:00"
289,"08/31/2023, 00:25:54",0.3.85,"08/31/2023, 00:30:00",29.000000,lumi.54ef44100065d68c,2,"08/31/2023, 00:00:00"
288,"08/31/2023, 00:11:01",0.3.85,"08/31/2023, 00:30:00",14.000000,lumi.54ef44100065d68c,1,"08/31/2023, 00:00:00"
287,,0.3.85,"08/31/2023, 01:00:00",19.25,lumi.54ef44100065d68c,3,"08/31/2023, 00:30:00"
286,"08/31/2023, 00:44:36",0.3.85,"08/31/2023, 01:00:00",25.000000,lumi.54ef44100065d68c,2,"08/31/2023, 00:30:00"
285,"08/31/2023, 00:41:58",0.3.85,"08/31/2023, 01:00:00",13.000000,lumi.54ef44100065d68c,1,"08/31/2023, 00:30:00"
284,,0.3.85,"08/31/2023, 01:30:00",136.25,lumi.54ef44100065d68c,3,"08/31/2023, 01:00:00"
283,"08/31/2023, 01:19:19",0.3.85,"08/31/2023, 01:30:00",208.000000,lumi.54ef44100065d68c,2,"08/31/2023, 01:00:00"
282,"08/31/2023, 01:08:00",0.3.85,"08/31/2023, 01:30:00",0.000000,lumi.54ef44100065d68c,1,"08/31/2023, 01:00:00"
281,,0.3.85,"08/31/2023, 04:30:00",0.0,lumi.54ef44100065d68c,3,"08/31/2023, 04:00:00"
280,"08/31/2023, 04:07:02",0.3.85,"08/31/2023, 04:30:00",0.000000,lumi.54ef44100065d68c,2,"08/31/2023, 04:00:00"
279,"08/31/2023, 04:07:02",0.3.85,"08/31/2023, 04:30:00",0.000000,lumi.54ef44100065d68c,1,"08/31/2023, 04:00:00"
278,,0.3.85,"08/31/2023, 06:00:00",0.0,lumi.54ef44100065d68c,3,"08/31/2023, 05:30:00"
277,"08/31/2023, 05:56:11",0.3.85,"08/31/2023, 06:00:00",0.000000,lumi.54ef44100065d68c,2,"08/31/2023, 05:30:00"
276,"08/31/2023, 05:56:11",0.3.85,"08/31/2023, 06:00:00",0.000000,lumi.54ef44100065d68c,1,"08/31/2023, 05:30:00"
275,,0.3.85,"08/31/2023, 06:30:00",13.4,lumi.54ef44100065d68c,3,"08/31/2023, 06:00:00"
274,"08/31/2023, 06:29:12",0.3.85,"08/31/2023, 06:30:00",22.000000,lumi.54ef44100065d68c,2,"08/31/2023, 06:00:00"
273,"08/31/2023, 06:00:41",0.3.85,"08/31/2023, 06:30:00",1.000000,lumi.54ef44100065d68c,1,"08/31/2023, 06:00:00"
272,,0.3.85,"08/31/2023, 07:00:00",29.666667,lumi.54ef44100065d68c,3,"08/31/2023, 06:30:00"
271,"08/31/2023, 06:55:47",0.3.85,"08/31/2023, 07:00:00",36.000000,lumi.54ef44100065d68c,2,"08/31/2023, 06:30:00"
270,"08/31/2023, 06:50:47",0.3.85,"08/31/2023, 07:00:00",24.000000,lumi.54ef44100065d68c,1,"08/31/2023, 06:30:00"
269,,0.3.85,"08/31/2023, 07:30:00",56.75,lumi.54ef44100065d68c,3,"08/31/2023, 07:00:00"
268,"08/31/2023, 07:26:56",0.3.85,"08/31/2023, 07:30:00",72.000000,lumi.54ef44100065d68c,2,"08/31/2023, 07:00:00"
267,"08/31/2023, 07:10:00",0.3.85,"08/31/2023, 07:30:00",43.000000,lumi.54ef44100065d68c,1,"08/31/2023, 07:00:00"
266,,0.3.85,"08/31/2023, 08:00:00",99.5,lumi.54ef44100065d68c,3,"08/31/2023, 07:30:00"
265,"08/31/2023, 07:53:25",0.3.85,"08/31/2023, 08:00:00",119.000000,lumi.54ef44100065d68c,2,"08/31/2023, 07:30:00"
264,"08/31/2023, 07:39:35",0.3.85,"08/31/2023, 08:00:00",85.000000,lumi.54ef44100065d68c,1,"08/31/2023, 07:30:00"
263,,0.3.85,"08/31/2023, 08:30:00",93.0,lumi.54ef44100065d68c,3,"08/31/2023, 08:00:00"
262,"08/31/2023, 08:22:06",0.3.85,"08/31/2023, 08:30:00",101.000000,lumi.54ef44100065d68c,2,"08/31/2023, 08:00:00"
261,"08/31/2023, 08:28:28",0.3.85,"08/31/2023, 08:30:00",85.000000,lumi.54ef44100065d68c,1,"08/31/2023, 08:00:00"
260,,0.3.85,"08/31/2023, 09:00:00",132.0,lumi.54ef44100065d68c,3,"08/31/2023, 08:30:00"
259,"08/31/2023, 08:43:18",0.3.85,"08/31/2023, 09:00:00",167.000000,lumi.54ef44100065d68c,2,"08/31/2023, 08:30:00"
258,"08/31/2023, 08:36:49",0.3.85,"08/31/2023, 09:00:00",101.000000,lumi.54ef44100065d68c,1,"08/31/2023, 08:30:00"
257,,0.3.85,"08/31/2023, 09:30:00",141.0,lumi.54ef44100065d68c,3,"08/31/2023, 09:00:00"
256,"08/31/2023, 09:27:01",0.3.85,"08/31/2023, 09:30:00",141.000000,lumi.54ef44100065d68c,2,"08/31/2023, 09:00:00"
255,"08/31/2023, 09:27:01",0.3.85,"08/31/2023, 09:30:00",141.000000,lumi.54ef44100065d68c,1,"08/31/2023, 09:00:00"
254,,0.3.85,"08/31/2023, 10:00:00",182.25,lumi.54ef44100065d68c,3,"08/31/2023, 09:30:00"
253,"08/31/2023, 09:32:43",0.3.85,"08/31/2023, 10:00:00",199.000000,lumi.54ef44100065d68c,2,"08/31/2023, 09:30:00"
252,"08/31/2023, 09:31:24",0.3.85,"08/31/2023, 10:00:00",168.000000,lumi.54ef44100065d68c,1,"08/31/2023, 09:30:00"
251,,0.3.85,"08/31/2023, 10:30:00",207.444444,lumi.54ef44100065d68c,3,"08/31/2023, 10:00:00"
250,"08/31/2023, 10:29:07",0.3.85,"08/31/2023, 10:30:00",314.000000,lumi.54ef44100065d68c,2,"08/31/2023, 10:00:00"
249,"08/31/2023, 10:09:47",0.3.85,"08/31/2023, 10:30:00",109.000000,lumi.54ef44100065d68c,1,"08/31/2023, 10:00:00"
248,,0.3.85,"08/31/2023, 11:00:00",204.428571,lumi.54ef44100065d68c,3,"08/31/2023, 10:30:00"
247,"08/31/2023, 10:35:36",0.3.85,"08/31/2023, 11:00:00",263.000000,lumi.54ef44100065d68c,2,"08/31/2023, 10:30:00"
246,"08/31/2023, 10:35:16",0.3.85,"08/31/2023, 11:00:00",133.000000,lumi.54ef44100065d68c,1,"08/31/2023, 10:30:00"
245,,0.3.85,"08/31/2023, 11:30:00",197.0,lumi.54ef44100065d68c,3,"08/31/2023, 11:00:00"
244,"08/31/2023, 11:23:43",0.3.85,"08/31/2023, 11:30:00",210.000000,lumi.54ef44100065d68c,2,"08/31/2023, 11:00:00"
243,"08/31/2023, 11:01:53",0.3.85,"08/31/2023, 11:30:00",174.000000,lumi.54ef44100065d68c,1,"08/31/2023, 11:00:00"
242,,0.3.85,"08/31/2023, 12:00:00",160.714286,lumi.54ef44100065d68c,3,"08/31/2023, 11:30:00"
241,"08/31/2023, 11:34:10",0.3.85,"08/31/2023, 12:00:00",244.000000,lumi.54ef44100065d68c,2,"08/31/2023, 11:30:00"
240,"08/31/2023, 11:53:21",0.3.85,"08/31/2023, 12:00:00",67.000000,lumi.54ef44100065d68c,1,"08/31/2023, 11:30:00"
239,,0.3.85,"08/31/2023, 12:30:00",271.727273,lumi.54ef44100065d68c,3,"08/31/2023, 12:00:00"
238,"08/31/2023, 12:13:17",0.3.85,"08/31/2023, 12:30:00",362.000000,lumi.54ef44100065d68c,2,"08/31/2023, 12:00:00"
237,"08/31/2023, 12:08:58",0.3.85,"08/31/2023, 12:30:00",116.000000,lumi.54ef44100065d68c,1,"08/31/2023, 12:00:00"
236,,0.3.85,"08/31/2023, 13:00:00",276.083333,lumi.54ef44100065d68c,3,"08/31/2023, 12:30:00"
235,"08/31/2023, 12:54:54",0.3.85,"08/31/2023, 13:00:00",349.000000,lumi.54ef44100065d68c,2,"08/31/2023, 12:30:00"
234,"08/31/2023, 12:47:07",0.3.85,"08/31/2023, 13:00:00",185.000000,lumi.54ef44100065d68c,1,"08/31/2023, 12:30:00"
233,,0.3.85,"08/31/2023, 13:30:00",236.521739,lumi.54ef44100065d68c,3,"08/31/2023, 13:00:00"
232,"08/31/2023, 13:19:34",0.3.85,"08/31/2023, 13:30:00",323.000000,lumi.54ef44100065d68c,2,"08/31/2023, 13:00:00"
231,"08/31/2023, 13:14:31",0.3.85,"08/31/2023, 13:30:00",102.000000,lumi.54ef44100065d68c,1,"08/31/2023, 13:00:00"
230,,0.3.85,"08/31/2023, 14:00:00",233.842105,lumi.54ef44100065d68c,3,"08/31/2023, 13:30:00"
229,"08/31/2023, 13:49:14",0.3.85,"08/31/2023, 14:00:00",277.000000,lumi.54ef44100065d68c,2,"08/31/2023, 13:30:00"
228,"08/31/2023, 13:32:23",0.3.85,"08/31/2023, 14:00:00",155.000000,lumi.54ef44100065d68c,1,"08/31/2023, 13:30:00"
227,,0.3.85,"08/31/2023, 14:30:00",211.0,lumi.54ef44100065d68c,3,"08/31/2023, 14:00:00"
226,"08/31/2023, 14:16:38",0.3.85,"08/31/2023, 14:30:00",265.000000,lumi.54ef44100065d68c,2,"08/31/2023, 14:00:00"
225,"08/31/2023, 14:25:29",0.3.85,"08/31/2023, 14:30:00",174.000000,lumi.54ef44100065d68c,1,"08/31/2023, 14:00:00"
224,,0.3.85,"08/31/2023, 15:00:00",201.0,lumi.54ef44100065d68c,3,"08/31/2023, 14:30:00"
223,"08/31/2023, 14:44:25",0.3.85,"08/31/2023, 15:00:00",236.000000,lumi.54ef44100065d68c,2,"08/31/2023, 14:30:00"
222,"08/31/2023, 14:32:26",0.3.85,"08/31/2023, 15:00:00",168.000000,lumi.54ef44100065d68c,1,"08/31/2023, 14:30:00"
221,,0.3.85,"08/31/2023, 15:30:00",131.877193,lumi.54ef44100065d68c,3,"08/31/2023, 15:00:00"
220,"08/31/2023, 15:29:41",0.3.85,"08/31/2023, 15:30:00",200.000000,lumi.54ef44100065d68c,2,"08/31/2023, 15:00:00"
219,"08/31/2023, 15:23:14",0.3.85,"08/31/2023, 15:30:00",26.000000,lumi.54ef44100065d68c,1,"08/31/2023, 15:00:00"
218,,0.3.85,"08/31/2023, 16:00:00",271.318182,lumi.54ef44100065d68c,3,"08/31/2023, 15:30:00"
217,"08/31/2023, 15:47:17",0.3.85,"08/31/2023, 16:00:00",371.000000,lumi.54ef44100065d68c,2,"08/31/2023, 15:30:00"
216,"08/31/2023, 15:34:43",0.3.85,"08/31/2023, 16:00:00",168.000000,lumi.54ef44100065d68c,1,"08/31/2023, 15:30:00"
215,,0.3.85,"08/31/2023, 16:30:00",171.066667,lumi.54ef44100065d68c,3,"08/31/2023, 16:00:00"
214,"08/31/2023, 16:00:23",0.3.85,"08/31/2023, 16:30:00",231.000000,lumi.54ef44100065d68c,2,"08/31/2023, 16:00:00"
213,"08/31/2023, 16:12:12",0.3.85,"08/31/2023, 16:30:00",64.000000,lumi.54ef44100065d68c,1,"08/31/2023, 16:00:00"
212,,0.3.85,"08/31/2023, 17:00:00",117.4,lumi.54ef44100065d68c,3,"08/31/2023, 16:30:00"
211,"08/31/2023, 16:40:04",0.3.85,"08/31/2023, 17:00:00",163.000000,lumi.54ef44100065d68c,2,"08/31/2023, 16:30:00"
210,"08/31/2023, 16:53:59",0.3.85,"08/31/2023, 17:00:00",78.000000,lumi.54ef44100065d68c,1,"08/31/2023, 16:30:00"
209,,0.3.85,"08/31/2023, 17:30:00",95.0,lumi.54ef44100065d68c,3,"08/31/2023, 17:00:00"
208,"08/31/2023, 17:05:03",0.3.85,"08/31/2023, 17:30:00",95.000000,lumi.54ef44100065d68c,2,"08/31/2023, 17:00:00"
207,"08/31/2023, 17:05:03",0.3.85,"08/31/2023, 17:30:00",95.000000,lumi.54ef44100065d68c,1,"08/31/2023, 17:00:00"
206,,0.3.85,"08/31/2023, 18:00:00",30.714286,lumi.54ef44100065d68c,3,"08/31/2023, 17:30:00"
205,"08/31/2023, 17:34:49",0.3.85,"08/31/2023, 18:00:00",80.000000,lumi.54ef44100065d68c,2,"08/31/2023, 17:30:00"
204,"08/31/2023, 17:45:53",0.3.85,"08/31/2023, 18:00:00",13.000000,lumi.54ef44100065d68c,1,"08/31/2023, 17:30:00"
203,,0.3.85,"08/31/2023, 18:30:00",6.0,lumi.54ef44100065d68c,3,"08/31/2023, 18:00:00"
202,"08/31/2023, 18:05:06",0.3.85,"08/31/2023, 18:30:00",6.000000,lumi.54ef44100065d68c,2,"08/31/2023, 18:00:00"
201,"08/31/2023, 18:05:06",0.3.85,"08/31/2023, 18:30:00",6.000000,lumi.54ef44100065d68c,1,"08/31/2023, 18:00:00"
200,,0.3.85,"08/31/2023, 19:00:00",2.0,lumi.54ef44100065d68c,3,"08/31/2023, 18:30:00"
199,"08/31/2023, 18:40:29",0.3.85,"08/31/2023, 19:00:00",4.000000,lumi.54ef44100065d68c,2,"08/31/2023, 18:30:00"
198,"08/31/2023, 18:50:41",0.3.85,"08/31/2023, 19:00:00",0.000000,lumi.54ef44100065d68c,1,"08/31/2023, 18:30:00"
197,,0.3.85,"08/31/2023, 20:00:00",103.5,lumi.54ef44100065d68c,3,"08/31/2023, 19:30:00"
196,"08/31/2023, 19:56:51",0.3.85,"08/31/2023, 20:00:00",207.000000,lumi.54ef44100065d68c,2,"08/31/2023, 19:30:00"
195,"08/31/2023, 19:35:04",0.3.85,"08/31/2023, 20:00:00",0.000000,lumi.54ef44100065d68c,1,"08/31/2023, 19:30:00"
194,,0.3.85,"08/31/2023, 20:30:00",219.0,lumi.54ef44100065d68c,3,"08/31/2023, 20:00:00"
193,"08/31/2023, 20:29:40",0.3.85,"08/31/2023, 20:30:00",219.000000,lumi.54ef44100065d68c,2,"08/31/2023, 20:00:00"
192,"08/31/2023, 20:29:40",0.3.85,"08/31/2023, 20:30:00",219.000000,lumi.54ef44100065d68c,1,"08/31/2023, 20:00:00"
191,,0.3.85,"08/31/2023, 21:00:00",150.142857,lumi.54ef44100065d68c,3,"08/31/2023, 20:30:00"
190,"08/31/2023, 20:48:03",0.3.85,"08/31/2023, 21:00:00",240.000000,lumi.54ef44100065d68c,2,"08/31/2023, 20:30:00"
189,"08/31/2023, 20:47:44",0.3.85,"08/31/2023, 21:00:00",61.000000,lumi.54ef44100065d68c,1,"08/31/2023, 20:30:00"
188,,0.3.85,"08/31/2023, 21:30:00",159.461538,lumi.54ef44100065d68c,3,"08/31/2023, 21:00:00"
187,"08/31/2023, 21:12:02",0.3.85,"08/31/2023, 21:30:00",242.000000,lumi.54ef44100065d68c,2,"08/31/2023, 21:00:00"
186,"08/31/2023, 21:26:17",0.3.85,"08/31/2023, 21:30:00",75.000000,lumi.54ef44100065d68c,1,"08/31/2023, 21:00:00"
185,,0.3.85,"08/31/2023, 22:00:00",175.5,lumi.54ef44100065d68c,3,"08/31/2023, 21:30:00"
184,"08/31/2023, 21:36:33",0.3.85,"08/31/2023, 22:00:00",193.000000,lumi.54ef44100065d68c,2,"08/31/2023, 21:30:00"
183,"08/31/2023, 21:36:28",0.3.85,"08/31/2023, 22:00:00",158.000000,lumi.54ef44100065d68c,1,"08/31/2023, 21:30:00"
182,,0.3.85,"08/31/2023, 22:30:00",0.0,lumi.54ef44100065d68c,3,"08/31/2023, 22:00:00"
181,"08/31/2023, 22:15:58",0.3.85,"08/31/2023, 22:30:00",0.000000,lumi.54ef44100065d68c,2,"08/31/2023, 22:00:00"
180,"08/31/2023, 22:15:58",0.3.85,"08/31/2023, 22:30:00",0.000000,lumi.54ef44100065d68c,1,"08/31/2023, 22:00:00"
179,,0.3.85,"08/31/2023, 23:00:00",14.0,lumi.54ef44100065d68c,3,"08/31/2023, 22:30:00"
178,"08/31/2023, 22:45:01",0.3.85,"08/31/2023, 23:00:00",25.000000,lumi.54ef44100065d68c,2,"08/31/2023, 22:30:00"
177,"08/31/2023, 22:45:06",0.3.85,"08/31/2023, 23:00:00",3.000000,lumi.54ef44100065d68c,1,"08/31/2023, 22:30:00"
176,,0.3.85,"08/31/2023, 23:30:00",126.0,lumi.54ef44100065d68c,3,"08/31/2023, 23:00:00"
175,"08/31/2023, 23:23:25",0.3.85,"08/31/2023, 23:30:00",227.000000,lumi.54ef44100065d68c,2,"08/31/2023, 23:00:00"
174,"08/31/2023, 23:13:28",0.3.85,"08/31/2023, 23:30:00",0.000000,lumi.54ef44100065d68c,1,"08/31/2023, 23:00:00"
173,,0.3.85,"09/01/2023, 02:00:00",0.0,lumi.54ef44100065d68c,3,"09/01/2023, 01:30:00"
172,"09/01/2023, 01:57:14",0.3.85,"09/01/2023, 02:00:00",0.000000,lumi.54ef44100065d68c,2,"09/01/2023, 01:30:00"
171,"09/01/2023, 01:57:14",0.3.85,"09/01/2023, 02:00:00",0.000000,lumi.54ef44100065d68c,1,"09/01/2023, 01:30:00"
170,,0.3.85,"09/01/2023, 05:00:00",0.0,lumi.54ef44100065d68c,3,"09/01/2023, 04:30:00"
169,"09/01/2023, 04:40:59",0.3.85,"09/01/2023, 05:00:00",0.000000,lumi.54ef44100065d68c,2,"09/01/2023, 04:30:00"
168,"09/01/2023, 04:40:59",0.3.85,"09/01/2023, 05:00:00",0.000000,lumi.54ef44100065d68c,1,"09/01/2023, 04:30:00"
167,,0.3.85,"09/01/2023, 07:00:00",7.333333,lumi.54ef44100065d68c,3,"09/01/2023, 06:30:00"
166,"09/01/2023, 06:56:09",0.3.85,"09/01/2023, 07:00:00",22.000000,lumi.54ef44100065d68c,2,"09/01/2023, 06:30:00"
165,"09/01/2023, 06:30:10",0.3.85,"09/01/2023, 07:00:00",0.000000,lumi.54ef44100065d68c,1,"09/01/2023, 06:30:00"
164,,0.3.85,"09/01/2023, 07:30:00",6.0,lumi.54ef44100065d68c,3,"09/01/2023, 07:00:00"
163,"09/01/2023, 07:29:55",0.3.85,"09/01/2023, 07:30:00",7.000000,lumi.54ef44100065d68c,2,"09/01/2023, 07:00:00"
162,"09/01/2023, 07:24:46",0.3.85,"09/01/2023, 07:30:00",5.000000,lumi.54ef44100065d68c,1,"09/01/2023, 07:00:00"
161,,0.3.85,"09/01/2023, 08:00:00",166.722222,lumi.54ef44100065d68c,3,"09/01/2023, 07:30:00"
160,"09/01/2023, 07:57:52",0.3.85,"09/01/2023, 08:00:00",248.000000,lumi.54ef44100065d68c,2,"09/01/2023, 07:30:00"
159,"09/01/2023, 07:33:38",0.3.85,"09/01/2023, 08:00:00",71.000000,lumi.54ef44100065d68c,1,"09/01/2023, 07:30:00"
