,timeStamp,resourceId,value,subjectId
69,"09/30/2023, 01:03:10",0.3.85,0,lumi.54ef44100065d68c
68,"09/30/2023, 01:57:45",0.3.85,0,lumi.54ef44100065d68c
67,"09/30/2023, 03:46:55",0.3.85,0,lumi.54ef44100065d68c
66,"09/30/2023, 04:41:30",0.3.85,0,lumi.54ef44100065d68c
65,"09/30/2023, 06:30:39",0.3.85,0,lumi.54ef44100065d68c
64,"09/30/2023, 07:05:44",0.3.85,6,lumi.54ef44100065d68c
63,"09/30/2023, 07:11:21",0.3.85,13,lumi.54ef44100065d68c
62,"09/30/2023, 07:25:14",0.3.85,17,lumi.54ef44100065d68c
61,"09/30/2023, 07:31:23",0.3.85,20,lumi.54ef44100065d68c
60,"09/30/2023, 07:36:10",0.3.85,27,lumi.54ef44100065d68c
59,"09/30/2023, 07:43:22",0.3.85,34,lumi.54ef44100065d68c
58,"09/30/2023, 07:45:26",0.3.85,41,lumi.54ef44100065d68c
57,"09/30/2023, 07:48:00",0.3.85,48,lumi.54ef44100065d68c
56,"09/30/2023, 07:50:43",0.3.85,57,lumi.54ef44100065d68c
55,"09/30/2023, 07:53:47",0.3.85,68,lumi.54ef44100065d68c
54,"09/30/2023, 08:19:48",0.3.85,75,lumi.54ef44100065d68c
53,"09/30/2023, 08:23:28",0.3.85,81,lumi.54ef44100065d68c
52,"09/30/2023, 08:24:13",0.3.85,100,lumi.54ef44100065d68c
51,"09/30/2023, 08:27:31",0.3.85,117,lumi.54ef44100065d68c
50,"09/30/2023, 08:33:28",0.3.85,138,lumi.54ef44100065d68c
49,"09/30/2023, 08:36:11",0.3.85,163,lumi.54ef44100065d68c
48,"09/30/2023, 08:42:28",0.3.85,136,lumi.54ef44100065d68c
47,"09/30/2023, 08:43:03",0.3.85,114,lumi.54ef44100065d68c
46,"09/30/2023, 08:51:49",0.3.85,96,lumi.54ef44100065d68c
45,"09/30/2023, 08:53:08",0.3.85,119,lumi.54ef44100065d68c
44,"09/30/2023, 08:54:07",0.3.85,100,lumi.54ef44100065d68c
43,"09/30/2023, 08:58:45",0.3.85,122,lumi.54ef44100065d68c
42,"09/30/2023, 08:59:30",0.3.85,156,lumi.54ef44100065d68c
41,"09/30/2023, 09:03:33",0.3.85,131,lumi.54ef44100065d68c
40,"09/30/2023, 09:07:56",0.3.85,159,lumi.54ef44100065d68c
39,"09/30/2023, 09:08:15",0.3.85,125,lumi.54ef44100065d68c
38,"09/30/2023, 09:08:45",0.3.85,150,lumi.54ef44100065d68c
37,"09/30/2023, 09:10:29",0.3.85,121,lumi.54ef44100065d68c
36,"09/30/2023, 09:10:49",0.3.85,160,lumi.54ef44100065d68c
35,"09/30/2023, 09:11:04",0.3.85,121,lumi.54ef44100065d68c
34,"09/30/2023, 09:13:13",0.3.85,146,lumi.54ef44100065d68c
33,"09/30/2023, 09:13:38",0.3.85,123,lumi.54ef44100065d68c
32,"09/30/2023, 09:13:58",0.3.85,103,lumi.54ef44100065d68c
31,"09/30/2023, 09:14:22",0.3.85,101,lumi.54ef44100065d68c
30,"09/30/2023, 09:19:22",0.3.85,123,lumi.54ef44100065d68c
29,"09/30/2023, 09:19:27",0.3.85,148,lumi.54ef44100065d68c
28,"09/30/2023, 09:19:37",0.3.85,110,lumi.54ef44100065d68c
27,"09/30/2023, 09:22:15",0.3.85,141,lumi.54ef44100065d68c
26,"09/30/2023, 09:22:30",0.3.85,104,lumi.54ef44100065d68c
25,"09/30/2023, 09:24:34",0.3.85,88,lumi.54ef44100065d68c
24,"09/30/2023, 09:26:13",0.3.85,105,lumi.54ef44100065d68c
23,"09/30/2023, 09:27:03",0.3.85,89,lumi.54ef44100065d68c
22,"09/30/2023, 09:27:23",0.3.85,113,lumi.54ef44100065d68c
21,"09/30/2023, 09:27:38",0.3.85,92,lumi.54ef44100065d68c
20,"09/30/2023, 09:29:12",0.3.85,131,lumi.54ef44100065d68c
19,"09/30/2023, 09:29:27",0.3.85,100,lumi.54ef44100065d68c
18,"09/30/2023, 09:29:47",0.3.85,133,lumi.54ef44100065d68c
17,"09/30/2023, 09:54:05",0.3.85,157,lumi.54ef44100065d68c
16,"09/30/2023, 09:56:19",0.3.85,131,lumi.54ef44100065d68c
15,"09/30/2023, 09:56:49",0.3.85,157,lumi.54ef44100065d68c
14,"09/30/2023, 09:59:37",0.3.85,123,lumi.54ef44100065d68c
13,"09/30/2023, 09:59:52",0.3.85,146,lumi.54ef44100065d68c
12,"09/30/2023, 10:00:27",0.3.85,118,lumi.54ef44100065d68c
11,"09/30/2023, 10:01:06",0.3.85,153,lumi.54ef44100065d68c
10,"09/30/2023, 10:08:58",0.3.85,148,lumi.54ef44100065d68c
9,"09/30/2023, 10:49:00",0.3.85,181,lumi.54ef44100065d68c
8,"09/30/2023, 11:03:32",0.3.85,185,lumi.54ef44100065d68c
7,"09/30/2023, 11:10:46",0.3.85,149,lumi.54ef44100065d68c
6,"09/30/2023, 11:11:21",0.3.85,185,lumi.54ef44100065d68c
5,"09/30/2023, 11:13:05",0.3.85,151,lumi.54ef44100065d68c
4,"09/30/2023, 11:13:20",0.3.85,127,lumi.54ef44100065d68c
3,"09/30/2023, 11:13:49",0.3.85,106,lumi.54ef44100065d68c
2,"09/30/2023, 11:14:04",0.3.85,138,lumi.54ef44100065d68c
1,"09/30/2023, 11:14:14",0.3.85,184,lumi.54ef44100065d68c
0,"09/30/2023, 11:58:07",0.3.85,174,lumi.54ef44100065d68c
