,timeStamp,resourceId,value,subjectId
10,"10/01/2023, 22:20:08",3.1.85,0,lumi.54ef4410003fdef6
9,"10/01/2023, 22:20:29",3.1.85,1,lumi.54ef4410003fdef6
8,"10/01/2023, 22:20:29",3.1.85,0,lumi.54ef4410003fdef6
7,"10/01/2023, 22:20:29",3.1.85,1,lumi.54ef4410003fdef6
6,"10/01/2023, 22:20:44",3.1.85,0,lumi.54ef4410003fdef6
5,"10/01/2023, 22:23:49",3.1.85,1,lumi.54ef4410003fdef6
4,"10/01/2023, 22:24:26",3.1.85,0,lumi.54ef4410003fdef6
3,"10/01/2023, 22:30:24",3.1.85,1,lumi.54ef4410003fdef6
2,"10/01/2023, 22:30:27",3.1.85,0,lumi.54ef4410003fdef6
1,"10/01/2023, 22:31:02",3.1.85,1,lumi.54ef4410003fdef6
0,"10/01/2023, 22:31:21",3.1.85,0,lumi.54ef4410003fdef6
