,timeStamp,resourceId,value,subjectId
245,"11/02/2023, 00:52:50",0.1.85,2652,lumi.54ef4410004b0f2b
244,"11/02/2023, 00:52:50",0.2.85,6605,lumi.54ef4410004b0f2b
243,"11/02/2023, 00:52:50",0.3.85,101800,lumi.54ef4410004b0f2b
242,"11/02/2023, 01:12:03",0.3.85,101890,lumi.54ef4410004b0f2b
241,"11/02/2023, 01:47:41",0.1.85,2657,lumi.54ef4410004b0f2b
240,"11/02/2023, 01:47:41",0.2.85,6746,lumi.54ef4410004b0f2b
239,"11/02/2023, 01:47:41",0.3.85,101800,lumi.54ef4410004b0f2b
238,"11/02/2023, 02:16:47",0.3.85,101860,lumi.54ef4410004b0f2b
237,"11/02/2023, 02:42:33",0.1.85,2652,lumi.54ef4410004b0f2b
236,"11/02/2023, 02:42:33",0.2.85,6813,lumi.54ef4410004b0f2b
235,"11/02/2023, 02:42:33",0.3.85,101800,lumi.54ef4410004b0f2b
234,"11/02/2023, 03:33:23",0.1.85,2667,lumi.54ef4410004b0f2b
233,"11/02/2023, 03:35:02",0.3.85,101830,lumi.54ef4410004b0f2b
232,"11/02/2023, 03:37:24",0.1.85,2654,lumi.54ef4410004b0f2b
231,"11/02/2023, 03:37:24",0.2.85,6908,lumi.54ef4410004b0f2b
230,"11/02/2023, 03:37:24",0.3.85,101800,lumi.54ef4410004b0f2b
229,"11/02/2023, 04:32:16",0.1.85,2654,lumi.54ef4410004b0f2b
228,"11/02/2023, 04:32:16",0.2.85,6889,lumi.54ef4410004b0f2b
227,"11/02/2023, 04:32:16",0.3.85,101800,lumi.54ef4410004b0f2b
226,"11/02/2023, 04:32:39",0.3.85,101860,lumi.54ef4410004b0f2b
225,"11/02/2023, 05:27:07",0.1.85,2668,lumi.54ef4410004b0f2b
224,"11/02/2023, 05:27:07",0.2.85,6861,lumi.54ef4410004b0f2b
223,"11/02/2023, 05:27:07",0.3.85,101800,lumi.54ef4410004b0f2b
222,"11/02/2023, 05:28:59",0.3.85,101830,lumi.54ef4410004b0f2b
221,"11/02/2023, 06:18:19",0.3.85,101860,lumi.54ef4410004b0f2b
220,"11/02/2023, 06:21:58",0.1.85,2665,lumi.54ef4410004b0f2b
219,"11/02/2023, 06:21:58",0.2.85,6928,lumi.54ef4410004b0f2b
218,"11/02/2023, 06:21:58",0.3.85,101800,lumi.54ef4410004b0f2b
217,"11/02/2023, 07:16:50",0.1.85,2658,lumi.54ef4410004b0f2b
216,"11/02/2023, 07:16:50",0.2.85,6891,lumi.54ef4410004b0f2b
215,"11/02/2023, 07:16:50",0.3.85,101800,lumi.54ef4410004b0f2b
214,"11/02/2023, 07:19:03",0.3.85,101890,lumi.54ef4410004b0f2b
213,"11/02/2023, 07:31:40",0.2.85,7269,lumi.54ef4410004b0f2b
212,"11/02/2023, 07:40:48",0.3.85,101920,lumi.54ef4410004b0f2b
211,"11/02/2023, 08:11:41",0.1.85,2663,lumi.54ef4410004b0f2b
210,"11/02/2023, 08:11:41",0.2.85,7230,lumi.54ef4410004b0f2b
209,"11/02/2023, 08:11:41",0.3.85,101900,lumi.54ef4410004b0f2b
208,"11/02/2023, 09:00:31",0.3.85,101950,lumi.54ef4410004b0f2b
207,"11/02/2023, 09:06:33",0.1.85,2642,lumi.54ef4410004b0f2b
206,"11/02/2023, 09:06:33",0.2.85,7001,lumi.54ef4410004b0f2b
205,"11/02/2023, 09:06:33",0.3.85,101900,lumi.54ef4410004b0f2b
204,"11/02/2023, 09:18:06",0.2.85,6664,lumi.54ef4410004b0f2b
203,"11/02/2023, 09:33:16",0.1.85,2616,lumi.54ef4410004b0f2b
202,"11/02/2023, 09:35:38",0.3.85,101920,lumi.54ef4410004b0f2b
201,"11/02/2023, 10:01:24",0.1.85,2583,lumi.54ef4410004b0f2b
200,"11/02/2023, 10:01:24",0.2.85,6432,lumi.54ef4410004b0f2b
199,"11/02/2023, 10:01:24",0.3.85,101900,lumi.54ef4410004b0f2b
198,"11/02/2023, 10:19:32",0.2.85,5996,lumi.54ef4410004b0f2b
197,"11/02/2023, 10:19:43",0.1.85,2565,lumi.54ef4410004b0f2b
196,"11/02/2023, 10:31:25",0.3.85,101890,lumi.54ef4410004b0f2b
195,"11/02/2023, 10:56:16",0.1.85,2553,lumi.54ef4410004b0f2b
194,"11/02/2023, 10:56:16",0.2.85,6449,lumi.54ef4410004b0f2b
193,"11/02/2023, 10:56:16",0.3.85,101800,lumi.54ef4410004b0f2b
192,"11/02/2023, 11:07:59",0.3.85,101860,lumi.54ef4410004b0f2b
191,"11/02/2023, 11:37:03",0.3.85,101830,lumi.54ef4410004b0f2b
190,"11/02/2023, 11:51:07",0.1.85,2546,lumi.54ef4410004b0f2b
189,"11/02/2023, 11:51:07",0.2.85,6319,lumi.54ef4410004b0f2b
188,"11/02/2023, 11:51:07",0.3.85,101800,lumi.54ef4410004b0f2b
187,"11/02/2023, 12:01:34",0.3.85,101800,lumi.54ef4410004b0f2b
186,"11/02/2023, 12:17:28",0.3.85,101770,lumi.54ef4410004b0f2b
185,"11/02/2023, 12:36:28",0.3.85,101740,lumi.54ef4410004b0f2b
184,"11/02/2023, 12:45:58",0.1.85,2526,lumi.54ef4410004b0f2b
183,"11/02/2023, 12:45:58",0.2.85,6031,lumi.54ef4410004b0f2b
182,"11/02/2023, 12:45:58",0.3.85,101700,lumi.54ef4410004b0f2b
181,"11/02/2023, 12:57:20",0.3.85,101710,lumi.54ef4410004b0f2b
180,"11/02/2023, 13:20:43",0.3.85,101680,lumi.54ef4410004b0f2b
179,"11/02/2023, 13:40:49",0.1.85,2538,lumi.54ef4410004b0f2b
178,"11/02/2023, 13:40:49",0.2.85,6301,lumi.54ef4410004b0f2b
177,"11/02/2023, 13:40:49",0.3.85,101600,lumi.54ef4410004b0f2b
176,"11/02/2023, 14:02:58",0.3.85,101650,lumi.54ef4410004b0f2b
175,"11/02/2023, 14:35:41",0.1.85,2539,lumi.54ef4410004b0f2b
174,"11/02/2023, 14:35:41",0.2.85,6280,lumi.54ef4410004b0f2b
