,timeStamp,resourceId,value,subjectId
17,"11/12/2023, 22:21:10",3.1.85,1,lumi.54ef44100051aeba
16,"11/12/2023, 22:22:15",3.1.85,1,lumi.54ef44100051aeba
15,"11/12/2023, 22:48:17",3.1.85,1,lumi.54ef44100051aeba
14,"11/12/2023, 22:49:17",3.1.85,1,lumi.54ef44100051aeba
13,"11/12/2023, 22:52:00",3.1.85,1,lumi.54ef44100051aeba
12,"11/12/2023, 22:53:26",3.1.85,1,lumi.54ef44100051aeba
11,"11/13/2023, 00:00:32",3.1.85,1,lumi.54ef44100051aeba
10,"11/13/2023, 00:01:30",3.1.85,1,lumi.54ef44100051aeba
9,"11/13/2023, 00:02:47",3.1.85,1,lumi.54ef44100051aeba
8,"11/13/2023, 00:03:52",3.1.85,1,lumi.54ef44100051aeba
7,"11/13/2023, 00:13:45",3.1.85,1,lumi.54ef44100051aeba
6,"11/13/2023, 00:16:01",3.1.85,1,lumi.54ef44100051aeba
5,"11/13/2023, 00:20:51",3.1.85,1,lumi.54ef44100051aeba
4,"11/13/2023, 00:29:43",3.1.85,1,lumi.54ef44100051aeba
3,"11/13/2023, 07:20:13",3.1.85,1,lumi.54ef44100051aeba
2,"11/13/2023, 07:27:20",3.1.85,1,lumi.54ef44100051aeba
1,"11/13/2023, 09:45:44",3.1.85,1,lumi.54ef44100051aeba
0,"11/13/2023, 20:52:35",3.1.85,1,lumi.54ef44100051aeba
