,timeStamp,resourceId,value,subjectId
24,"12/20/2023, 18:29:13",13.1.85,1,lumi.158d0008f34f9b
23,"12/20/2023, 18:29:19",13.1.85,2,lumi.158d0008f34f9b
22,"12/20/2023, 18:30:11",13.1.85,1,lumi.158d0008f34f9b
21,"12/20/2023, 18:31:18",13.1.85,1,lumi.158d0008f34f9b
20,"12/20/2023, 18:32:02",13.1.85,2,lumi.158d0008f34f9b
19,"12/20/2023, 18:32:24",13.1.85,1,lumi.158d0008f34f9b
18,"12/20/2023, 18:32:33",13.1.85,2,lumi.158d0008f34f9b
17,"12/20/2023, 18:32:40",13.1.85,2,lumi.158d0008f34f9b
16,"12/20/2023, 18:33:06",13.1.85,2,lumi.158d0008f34f9b
15,"12/20/2023, 18:33:21",13.1.85,1,lumi.158d0008f34f9b
14,"12/20/2023, 18:33:53",13.1.85,2,lumi.158d0008f34f9b
13,"12/20/2023, 18:33:59",13.1.85,3,lumi.158d0008f34f9b
12,"12/20/2023, 18:34:18",13.1.85,1,lumi.158d0008f34f9b
11,"12/20/2023, 18:34:27",13.1.85,2,lumi.158d0008f34f9b
10,"12/20/2023, 18:35:22",13.1.85,1,lumi.158d0008f34f9b
9,"12/20/2023, 18:36:04",13.1.85,2,lumi.158d0008f34f9b
8,"12/20/2023, 18:36:19",13.1.85,1,lumi.158d0008f34f9b
7,"12/20/2023, 18:37:56",13.1.85,2,lumi.158d0008f34f9b
6,"12/20/2023, 18:38:00",13.1.85,1,lumi.158d0008f34f9b
5,"12/20/2023, 18:38:38",13.1.85,2,lumi.158d0008f34f9b
4,"12/20/2023, 18:38:57",13.1.85,1,lumi.158d0008f34f9b
3,"12/21/2023, 22:59:39",13.1.85,1,lumi.158d0008f34f9b
2,"12/21/2023, 22:59:44",13.1.85,2,lumi.158d0008f34f9b
1,"12/21/2023, 23:53:48",13.1.85,1,lumi.158d0008f34f9b
0,"12/21/2023, 23:53:49",13.1.85,2,lumi.158d0008f34f9b
