,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
302,,0.2.85,"08/06/2023, 00:30:00",5891.0,lumi.54ef4410004b2218,3,"08/06/2023, 00:00:00"
301,,0.3.85,"08/06/2023, 00:30:00",99600.0,lumi.54ef4410004b2218,3,"08/06/2023, 00:00:00"
300,,0.1.85,"08/06/2023, 00:30:00",3345.0,lumi.54ef4410004b2218,3,"08/06/2023, 00:00:00"
299,"08/06/2023, 00:29:19",0.3.85,"08/06/2023, 00:30:00",99600.000000,lumi.54ef4410004b2218,2,"08/06/2023, 00:00:00"
298,"08/06/2023, 00:29:19",0.1.85,"08/06/2023, 00:30:00",3345.000000,lumi.54ef4410004b2218,2,"08/06/2023, 00:00:00"
297,"08/06/2023, 00:29:19",0.2.85,"08/06/2023, 00:30:00",5891.000000,lumi.54ef4410004b2218,2,"08/06/2023, 00:00:00"
296,"08/06/2023, 00:29:19",0.2.85,"08/06/2023, 00:30:00",5891.000000,lumi.54ef4410004b2218,1,"08/06/2023, 00:00:00"
295,"08/06/2023, 00:29:19",0.1.85,"08/06/2023, 00:30:00",3345.000000,lumi.54ef4410004b2218,1,"08/06/2023, 00:00:00"
294,"08/06/2023, 00:29:19",0.3.85,"08/06/2023, 00:30:00",99600.000000,lumi.54ef4410004b2218,1,"08/06/2023, 00:00:00"
293,,0.3.85,"08/06/2023, 01:00:00",99670.0,lumi.54ef4410004b2218,3,"08/06/2023, 00:30:00"
292,"08/06/2023, 00:32:59",0.3.85,"08/06/2023, 01:00:00",99670.000000,lumi.54ef4410004b2218,2,"08/06/2023, 00:30:00"
291,"08/06/2023, 00:32:59",0.3.85,"08/06/2023, 01:00:00",99670.000000,lumi.54ef4410004b2218,1,"08/06/2023, 00:30:00"
290,,0.2.85,"08/06/2023, 01:30:00",5875.0,lumi.54ef4410004b2218,3,"08/06/2023, 01:00:00"
289,,0.3.85,"08/06/2023, 01:30:00",99620.0,lumi.54ef4410004b2218,3,"08/06/2023, 01:00:00"
288,,0.1.85,"08/06/2023, 01:30:00",3357.0,lumi.54ef4410004b2218,3,"08/06/2023, 01:00:00"
287,"08/06/2023, 01:10:32",0.3.85,"08/06/2023, 01:30:00",99640.000000,lumi.54ef4410004b2218,2,"08/06/2023, 01:00:00"
286,"08/06/2023, 01:24:01",0.1.85,"08/06/2023, 01:30:00",3357.000000,lumi.54ef4410004b2218,2,"08/06/2023, 01:00:00"
285,"08/06/2023, 01:24:01",0.2.85,"08/06/2023, 01:30:00",5875.000000,lumi.54ef4410004b2218,2,"08/06/2023, 01:00:00"
284,"08/06/2023, 01:24:01",0.2.85,"08/06/2023, 01:30:00",5875.000000,lumi.54ef4410004b2218,1,"08/06/2023, 01:00:00"
283,"08/06/2023, 01:24:01",0.1.85,"08/06/2023, 01:30:00",3357.000000,lumi.54ef4410004b2218,1,"08/06/2023, 01:00:00"
282,"08/06/2023, 01:24:01",0.3.85,"08/06/2023, 01:30:00",99600.000000,lumi.54ef4410004b2218,1,"08/06/2023, 01:00:00"
281,,0.1.85,"08/06/2023, 02:00:00",3373.0,lumi.54ef4410004b2218,3,"08/06/2023, 01:30:00"
280,"08/06/2023, 01:51:11",0.1.85,"08/06/2023, 02:00:00",3373.000000,lumi.54ef4410004b2218,2,"08/06/2023, 01:30:00"
279,"08/06/2023, 01:51:11",0.1.85,"08/06/2023, 02:00:00",3373.000000,lumi.54ef4410004b2218,1,"08/06/2023, 01:30:00"
278,,0.2.85,"08/06/2023, 02:30:00",5876.0,lumi.54ef4410004b2218,3,"08/06/2023, 02:00:00"
277,,0.3.85,"08/06/2023, 02:30:00",99605.0,lumi.54ef4410004b2218,3,"08/06/2023, 02:00:00"
276,,0.1.85,"08/06/2023, 02:30:00",3369.0,lumi.54ef4410004b2218,3,"08/06/2023, 02:00:00"
275,"08/06/2023, 02:26:01",0.3.85,"08/06/2023, 02:30:00",99610.000000,lumi.54ef4410004b2218,2,"08/06/2023, 02:00:00"
274,"08/06/2023, 02:18:42",0.1.85,"08/06/2023, 02:30:00",3369.000000,lumi.54ef4410004b2218,2,"08/06/2023, 02:00:00"
273,"08/06/2023, 02:18:42",0.2.85,"08/06/2023, 02:30:00",5876.000000,lumi.54ef4410004b2218,2,"08/06/2023, 02:00:00"
272,"08/06/2023, 02:18:42",0.2.85,"08/06/2023, 02:30:00",5876.000000,lumi.54ef4410004b2218,1,"08/06/2023, 02:00:00"
271,"08/06/2023, 02:18:42",0.1.85,"08/06/2023, 02:30:00",3369.000000,lumi.54ef4410004b2218,1,"08/06/2023, 02:00:00"
270,"08/06/2023, 02:18:42",0.3.85,"08/06/2023, 02:30:00",99600.000000,lumi.54ef4410004b2218,1,"08/06/2023, 02:00:00"
269,,0.2.85,"08/06/2023, 03:30:00",5865.0,lumi.54ef4410004b2218,3,"08/06/2023, 03:00:00"
268,,0.3.85,"08/06/2023, 03:30:00",99540.0,lumi.54ef4410004b2218,3,"08/06/2023, 03:00:00"
267,,0.1.85,"08/06/2023, 03:30:00",3382.0,lumi.54ef4410004b2218,3,"08/06/2023, 03:00:00"
266,"08/06/2023, 03:12:29",0.3.85,"08/06/2023, 03:30:00",99580.000000,lumi.54ef4410004b2218,2,"08/06/2023, 03:00:00"
265,"08/06/2023, 03:13:24",0.1.85,"08/06/2023, 03:30:00",3382.000000,lumi.54ef4410004b2218,2,"08/06/2023, 03:00:00"
264,"08/06/2023, 03:13:24",0.2.85,"08/06/2023, 03:30:00",5865.000000,lumi.54ef4410004b2218,2,"08/06/2023, 03:00:00"
263,"08/06/2023, 03:13:24",0.2.85,"08/06/2023, 03:30:00",5865.000000,lumi.54ef4410004b2218,1,"08/06/2023, 03:00:00"
262,"08/06/2023, 03:13:24",0.1.85,"08/06/2023, 03:30:00",3382.000000,lumi.54ef4410004b2218,1,"08/06/2023, 03:00:00"
261,"08/06/2023, 03:13:24",0.3.85,"08/06/2023, 03:30:00",99500.000000,lumi.54ef4410004b2218,1,"08/06/2023, 03:00:00"
260,,0.3.85,"08/06/2023, 04:00:00",99595.0,lumi.54ef4410004b2218,3,"08/06/2023, 03:30:00"
259,"08/06/2023, 03:52:47",0.3.85,"08/06/2023, 04:00:00",99610.000000,lumi.54ef4410004b2218,2,"08/06/2023, 03:30:00"
258,"08/06/2023, 03:57:53",0.3.85,"08/06/2023, 04:00:00",99580.000000,lumi.54ef4410004b2218,1,"08/06/2023, 03:30:00"
257,,0.2.85,"08/06/2023, 04:30:00",5860.0,lumi.54ef4410004b2218,3,"08/06/2023, 04:00:00"
256,,0.3.85,"08/06/2023, 04:30:00",99500.0,lumi.54ef4410004b2218,3,"08/06/2023, 04:00:00"
255,,0.1.85,"08/06/2023, 04:30:00",3383.0,lumi.54ef4410004b2218,3,"08/06/2023, 04:00:00"
254,"08/06/2023, 04:08:05",0.3.85,"08/06/2023, 04:30:00",99500.000000,lumi.54ef4410004b2218,2,"08/06/2023, 04:00:00"
253,"08/06/2023, 04:08:05",0.1.85,"08/06/2023, 04:30:00",3383.000000,lumi.54ef4410004b2218,2,"08/06/2023, 04:00:00"
252,"08/06/2023, 04:08:05",0.2.85,"08/06/2023, 04:30:00",5860.000000,lumi.54ef4410004b2218,2,"08/06/2023, 04:00:00"
251,"08/06/2023, 04:08:05",0.2.85,"08/06/2023, 04:30:00",5860.000000,lumi.54ef4410004b2218,1,"08/06/2023, 04:00:00"
