,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,3.1.85,"09/06/2023, 01:00:00","{""1"":2}",lumi.54ef44100051ac4a,4,"09/06/2023, 00:30:00"
13,,3.1.85,"09/06/2023, 01:30:00","{""1"":15}",lumi.54ef44100051ac4a,4,"09/06/2023, 01:00:00"
12,,3.1.85,"09/06/2023, 02:00:00","{""1"":17}",lumi.54ef44100051ac4a,4,"09/06/2023, 01:30:00"
11,,3.1.85,"09/06/2023, 02:30:00","{""1"":2}",lumi.54ef44100051ac4a,4,"09/06/2023, 02:00:00"
10,,3.1.85,"09/06/2023, 07:00:00","{""1"":1}",lumi.54ef44100051ac4a,4,"09/06/2023, 06:30:00"
9,,3.1.85,"09/06/2023, 07:30:00","{""1"":3}",lumi.54ef44100051ac4a,4,"09/06/2023, 07:00:00"
8,,3.1.85,"09/06/2023, 08:00:00","{""1"":4}",lumi.54ef44100051ac4a,4,"09/06/2023, 07:30:00"
7,,3.1.85,"09/06/2023, 08:30:00","{""1"":9}",lumi.54ef44100051ac4a,4,"09/06/2023, 08:00:00"
6,,3.1.85,"09/06/2023, 17:00:00","{""1"":8}",lumi.54ef44100051ac4a,4,"09/06/2023, 16:30:00"
5,,3.1.85,"09/06/2023, 17:30:00","{""1"":5}",lumi.54ef44100051ac4a,4,"09/06/2023, 17:00:00"
4,,3.1.85,"09/06/2023, 18:00:00","{""1"":16}",lumi.54ef44100051ac4a,4,"09/06/2023, 17:30:00"
3,,3.1.85,"09/06/2023, 18:30:00","{""1"":13}",lumi.54ef44100051ac4a,4,"09/06/2023, 18:00:00"
2,,3.1.85,"09/06/2023, 23:00:00","{""1"":2}",lumi.54ef44100051ac4a,4,"09/06/2023, 22:30:00"
1,,3.1.85,"09/06/2023, 23:30:00","{""1"":12}",lumi.54ef44100051ac4a,4,"09/06/2023, 23:00:00"
0,,3.1.85,"09/07/2023, 00:00:00","{""1"":10}",lumi.54ef44100051ac4a,4,"09/06/2023, 23:30:00"
