,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
95,,0.3.85,"09/06/2023, 02:30:00",0.0,lumi.54ef44100065d1d1,3,"09/06/2023, 02:00:00"
94,"09/06/2023, 02:28:09",0.3.85,"09/06/2023, 02:30:00",0.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 02:00:00"
93,"09/06/2023, 02:28:09",0.3.85,"09/06/2023, 02:30:00",0.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 02:00:00"
92,,0.3.85,"09/06/2023, 05:30:00",0.0,lumi.54ef44100065d1d1,3,"09/06/2023, 05:00:00"
91,"09/06/2023, 05:12:24",0.3.85,"09/06/2023, 05:30:00",0.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 05:00:00"
90,"09/06/2023, 05:12:24",0.3.85,"09/06/2023, 05:30:00",0.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 05:00:00"
89,,0.3.85,"09/06/2023, 06:00:00",8.5,lumi.54ef44100065d1d1,3,"09/06/2023, 05:30:00"
88,"09/06/2023, 05:53:49",0.3.85,"09/06/2023, 06:00:00",16.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 05:30:00"
87,"09/06/2023, 05:53:54",0.3.85,"09/06/2023, 06:00:00",1.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 05:30:00"
86,,0.3.85,"09/06/2023, 06:30:00",27.25,lumi.54ef44100065d1d1,3,"09/06/2023, 06:00:00"
85,"09/06/2023, 06:26:11",0.3.85,"09/06/2023, 06:30:00",51.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 06:00:00"
84,"09/06/2023, 06:03:16",0.3.85,"09/06/2023, 06:30:00",8.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 06:00:00"
83,,0.3.85,"09/06/2023, 07:00:00",96.5,lumi.54ef44100065d1d1,3,"09/06/2023, 06:30:00"
82,"09/06/2023, 06:57:17",0.3.85,"09/06/2023, 07:00:00",141.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 06:30:00"
81,"09/06/2023, 06:30:30",0.3.85,"09/06/2023, 07:00:00",61.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 06:30:00"
80,,0.3.85,"09/06/2023, 07:30:00",172.0,lumi.54ef44100065d1d1,3,"09/06/2023, 07:00:00"
79,"09/06/2023, 07:24:16",0.3.85,"09/06/2023, 07:30:00",197.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 07:00:00"
78,"09/06/2023, 07:01:55",0.3.85,"09/06/2023, 07:30:00",152.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 07:00:00"
77,,0.3.85,"09/06/2023, 08:00:00",267.666667,lumi.54ef44100065d1d1,3,"09/06/2023, 07:30:00"
76,"09/06/2023, 07:56:41",0.3.85,"09/06/2023, 08:00:00",297.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 07:30:00"
75,"09/06/2023, 07:34:22",0.3.85,"09/06/2023, 08:00:00",232.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 07:30:00"
74,,0.3.85,"09/06/2023, 08:30:00",271.2,lumi.54ef44100065d1d1,3,"09/06/2023, 08:00:00"
73,"09/06/2023, 08:10:34",0.3.85,"09/06/2023, 08:30:00",343.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 08:00:00"
72,"09/06/2023, 08:02:01",0.3.85,"09/06/2023, 08:30:00",180.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 08:00:00"
71,,0.3.85,"09/06/2023, 09:00:00",333.0,lumi.54ef44100065d1d1,3,"09/06/2023, 08:30:00"
70,"09/06/2023, 08:51:26",0.3.85,"09/06/2023, 09:00:00",333.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 08:30:00"
69,"09/06/2023, 08:51:26",0.3.85,"09/06/2023, 09:00:00",333.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 08:30:00"
68,,0.3.85,"09/06/2023, 09:30:00",440.0,lumi.54ef44100065d1d1,3,"09/06/2023, 09:00:00"
67,"09/06/2023, 09:24:08",0.3.85,"09/06/2023, 09:30:00",476.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 09:00:00"
66,"09/06/2023, 09:13:51",0.3.85,"09/06/2023, 09:30:00",404.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 09:00:00"
65,,0.3.85,"09/06/2023, 10:00:00",552.5,lumi.54ef44100065d1d1,3,"09/06/2023, 09:30:00"
64,"09/06/2023, 09:46:12",0.3.85,"09/06/2023, 10:00:00",569.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 09:30:00"
63,"09/06/2023, 09:32:11",0.3.85,"09/06/2023, 10:00:00",536.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 09:30:00"
62,,0.3.85,"09/06/2023, 10:30:00",640.5,lumi.54ef44100065d1d1,3,"09/06/2023, 10:00:00"
61,"09/06/2023, 10:24:22",0.3.85,"09/06/2023, 10:30:00",678.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 10:00:00"
60,"09/06/2023, 10:04:43",0.3.85,"09/06/2023, 10:30:00",603.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 10:00:00"
59,,0.3.85,"09/06/2023, 11:30:00",558.583333,lumi.54ef44100065d1d1,3,"09/06/2023, 11:00:00"
58,"09/06/2023, 11:29:20",0.3.85,"09/06/2023, 11:30:00",692.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 11:00:00"
57,"09/06/2023, 11:27:15",0.3.85,"09/06/2023, 11:30:00",428.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 11:00:00"
56,,0.3.85,"09/06/2023, 12:00:00",610.0,lumi.54ef44100065d1d1,3,"09/06/2023, 11:30:00"
55,"09/06/2023, 11:54:34",0.3.85,"09/06/2023, 12:00:00",827.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 11:30:00"
54,"09/06/2023, 11:36:39",0.3.85,"09/06/2023, 12:00:00",423.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 11:30:00"
53,,0.3.85,"09/06/2023, 12:30:00",542.466667,lumi.54ef44100065d1d1,3,"09/06/2023, 12:00:00"
52,"09/06/2023, 12:00:07",0.3.85,"09/06/2023, 12:30:00",763.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 12:00:00"
51,"09/06/2023, 12:14:08",0.3.85,"09/06/2023, 12:30:00",373.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 12:00:00"
50,,0.3.85,"09/06/2023, 13:00:00",536.652174,lumi.54ef44100065d1d1,3,"09/06/2023, 12:30:00"
49,"09/06/2023, 12:30:28",0.3.85,"09/06/2023, 13:00:00",697.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 12:30:00"
48,"09/06/2023, 12:48:25",0.3.85,"09/06/2023, 13:00:00",414.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 12:30:00"
47,,0.3.85,"09/06/2023, 13:30:00",533.73913,lumi.54ef44100065d1d1,3,"09/06/2023, 13:00:00"
46,"09/06/2023, 13:10:54",0.3.85,"09/06/2023, 13:30:00",726.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 13:00:00"
45,"09/06/2023, 13:25:14",0.3.85,"09/06/2023, 13:30:00",339.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 13:00:00"
44,,0.3.85,"09/06/2023, 14:00:00",594.222222,lumi.54ef44100065d1d1,3,"09/06/2023, 13:30:00"
43,"09/06/2023, 13:52:43",0.3.85,"09/06/2023, 14:00:00",786.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 13:30:00"
42,"09/06/2023, 13:37:28",0.3.85,"09/06/2023, 14:00:00",437.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 13:30:00"
41,,0.3.85,"09/06/2023, 14:30:00",605.515152,lumi.54ef44100065d1d1,3,"09/06/2023, 14:00:00"
40,"09/06/2023, 14:08:53",0.3.85,"09/06/2023, 14:30:00",797.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 14:00:00"
39,"09/06/2023, 14:07:29",0.3.85,"09/06/2023, 14:30:00",417.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 14:00:00"
38,,0.3.85,"09/06/2023, 15:00:00",640.368421,lumi.54ef44100065d1d1,3,"09/06/2023, 14:30:00"
37,"09/06/2023, 14:59:45",0.3.85,"09/06/2023, 15:00:00",955.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 14:30:00"
36,"09/06/2023, 14:46:54",0.3.85,"09/06/2023, 15:00:00",416.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 14:30:00"
35,,0.3.85,"09/06/2023, 15:30:00",634.545455,lumi.54ef44100065d1d1,3,"09/06/2023, 15:00:00"
34,"09/06/2023, 15:14:46",0.3.85,"09/06/2023, 15:30:00",1005.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 15:00:00"
33,"09/06/2023, 15:20:46",0.3.85,"09/06/2023, 15:30:00",324.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 15:00:00"
32,,0.3.85,"09/06/2023, 16:00:00",791.8,lumi.54ef44100065d1d1,3,"09/06/2023, 15:30:00"
31,"09/06/2023, 15:59:24",0.3.85,"09/06/2023, 16:00:00",1215.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 15:30:00"
30,"09/06/2023, 15:55:25",0.3.85,"09/06/2023, 16:00:00",469.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 15:30:00"
29,,0.3.85,"09/06/2023, 16:30:00",676.84,lumi.54ef44100065d1d1,3,"09/06/2023, 16:00:00"
28,"09/06/2023, 16:09:31",0.3.85,"09/06/2023, 16:30:00",1218.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 16:00:00"
27,"09/06/2023, 16:05:08",0.3.85,"09/06/2023, 16:30:00",352.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 16:00:00"
26,,0.3.85,"09/06/2023, 17:00:00",1889.0,lumi.54ef44100065d1d1,3,"09/06/2023, 16:30:00"
25,"09/06/2023, 16:53:55",0.3.85,"09/06/2023, 17:00:00",3567.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 16:30:00"
24,"09/06/2023, 16:30:07",0.3.85,"09/06/2023, 17:00:00",576.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 16:30:00"
23,,0.3.85,"09/06/2023, 17:30:00",3410.777778,lumi.54ef44100065d1d1,3,"09/06/2023, 17:00:00"
22,"09/06/2023, 17:15:30",0.3.85,"09/06/2023, 17:30:00",8867.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 17:00:00"
21,"09/06/2023, 17:29:16",0.3.85,"09/06/2023, 17:30:00",376.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 17:00:00"
20,,0.3.85,"09/06/2023, 18:00:00",203.285714,lumi.54ef44100065d1d1,3,"09/06/2023, 17:30:00"
19,"09/06/2023, 17:31:21",0.3.85,"09/06/2023, 18:00:00",318.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 17:30:00"
18,"09/06/2023, 17:59:14",0.3.85,"09/06/2023, 18:00:00",123.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 17:30:00"
17,,0.3.85,"09/06/2023, 18:30:00",127.142857,lumi.54ef44100065d1d1,3,"09/06/2023, 18:00:00"
16,"09/06/2023, 18:04:52",0.3.85,"09/06/2023, 18:30:00",279.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 18:00:00"
15,"09/06/2023, 18:19:58",0.3.85,"09/06/2023, 18:30:00",72.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 18:00:00"
14,,0.3.85,"09/06/2023, 19:00:00",35.5,lumi.54ef44100065d1d1,3,"09/06/2023, 18:30:00"
13,"09/06/2023, 18:31:54",0.3.85,"09/06/2023, 19:00:00",72.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 18:30:00"
12,"09/06/2023, 18:54:19",0.3.85,"09/06/2023, 19:00:00",10.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 18:30:00"
11,,0.3.85,"09/06/2023, 19:30:00",2.0,lumi.54ef44100065d1d1,3,"09/06/2023, 19:00:00"
10,"09/06/2023, 19:01:47",0.3.85,"09/06/2023, 19:30:00",2.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 19:00:00"
9,"09/06/2023, 19:01:47",0.3.85,"09/06/2023, 19:30:00",2.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 19:00:00"
8,,0.3.85,"09/06/2023, 22:00:00",0.0,lumi.54ef44100065d1d1,3,"09/06/2023, 21:30:00"
7,"09/06/2023, 21:38:03",0.3.85,"09/06/2023, 22:00:00",0.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 21:30:00"
6,"09/06/2023, 21:38:03",0.3.85,"09/06/2023, 22:00:00",0.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 21:30:00"
5,,0.3.85,"09/06/2023, 23:00:00",73.0,lumi.54ef44100065d1d1,3,"09/06/2023, 22:30:00"
4,"09/06/2023, 22:48:01",0.3.85,"09/06/2023, 23:00:00",176.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 22:30:00"
3,"09/06/2023, 22:32:48",0.3.85,"09/06/2023, 23:00:00",0.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 22:30:00"
2,,0.3.85,"09/06/2023, 23:30:00",146.0,lumi.54ef44100065d1d1,3,"09/06/2023, 23:00:00"
1,"09/06/2023, 23:27:34",0.3.85,"09/06/2023, 23:30:00",146.000000,lumi.54ef44100065d1d1,2,"09/06/2023, 23:00:00"
0,"09/06/2023, 23:27:34",0.3.85,"09/06/2023, 23:30:00",146.000000,lumi.54ef44100065d1d1,1,"09/06/2023, 23:00:00"
