,timeStamp,resourceId,value,subjectId
53,"10/14/2023, 00:25:53",0.3.85,148,lumi.54ef44100065d1d1
52,"10/14/2023, 00:41:31",0.3.85,73,lumi.54ef44100065d1d1
51,"10/14/2023, 00:41:36",0.3.85,0,lumi.54ef44100065d1d1
50,"10/14/2023, 01:20:39",0.3.85,0,lumi.54ef44100065d1d1
49,"10/14/2023, 01:45:58",0.3.85,145,lumi.54ef44100065d1d1
48,"10/14/2023, 02:05:22",0.3.85,0,lumi.54ef44100065d1d1
47,"10/14/2023, 04:04:54",0.3.85,0,lumi.54ef44100065d1d1
46,"10/14/2023, 04:59:40",0.3.85,0,lumi.54ef44100065d1d1
45,"10/14/2023, 05:54:25",0.3.85,0,lumi.54ef44100065d1d1
44,"10/14/2023, 06:27:27",0.3.85,16,lumi.54ef44100065d1d1
43,"10/14/2023, 06:27:32",0.3.85,1,lumi.54ef44100065d1d1
42,"10/14/2023, 06:40:43",0.3.85,8,lumi.54ef44100065d1d1
41,"10/14/2023, 06:49:10",0.3.85,15,lumi.54ef44100065d1d1
40,"10/14/2023, 06:49:10",0.3.85,16,lumi.54ef44100065d1d1
39,"10/14/2023, 06:56:25",0.3.85,22,lumi.54ef44100065d1d1
38,"10/14/2023, 07:16:04",0.3.85,29,lumi.54ef44100065d1d1
37,"10/14/2023, 07:22:47",0.3.85,36,lumi.54ef44100065d1d1
36,"10/14/2023, 07:26:31",0.3.85,43,lumi.54ef44100065d1d1
35,"10/14/2023, 07:29:05",0.3.85,51,lumi.54ef44100065d1d1
34,"10/14/2023, 07:32:04",0.3.85,61,lumi.54ef44100065d1d1
33,"10/14/2023, 07:35:18",0.3.85,72,lumi.54ef44100065d1d1
32,"10/14/2023, 07:38:47",0.3.85,85,lumi.54ef44100065d1d1
31,"10/14/2023, 07:43:56",0.3.85,89,lumi.54ef44100065d1d1
30,"10/14/2023, 07:52:05",0.3.85,101,lumi.54ef44100065d1d1
29,"10/14/2023, 08:15:48",0.3.85,119,lumi.54ef44100065d1d1
28,"10/14/2023, 08:18:47",0.3.85,143,lumi.54ef44100065d1d1
27,"10/14/2023, 08:21:36",0.3.85,169,lumi.54ef44100065d1d1
26,"10/14/2023, 08:25:05",0.3.85,199,lumi.54ef44100065d1d1
25,"10/14/2023, 08:32:08",0.3.85,235,lumi.54ef44100065d1d1
24,"10/14/2023, 08:38:41",0.3.85,256,lumi.54ef44100065d1d1
23,"10/14/2023, 08:39:28",0.3.85,277,lumi.54ef44100065d1d1
22,"10/14/2023, 08:45:41",0.3.85,329,lumi.54ef44100065d1d1
21,"10/14/2023, 08:55:08",0.3.85,277,lumi.54ef44100065d1d1
20,"10/14/2023, 08:58:37",0.3.85,235,lumi.54ef44100065d1d1
19,"10/14/2023, 09:19:01",0.3.85,278,lumi.54ef44100065d1d1
18,"10/14/2023, 09:30:28",0.3.85,236,lumi.54ef44100065d1d1
17,"10/14/2023, 09:33:27",0.3.85,238,lumi.54ef44100065d1d1
16,"10/14/2023, 09:39:17",0.3.85,278,lumi.54ef44100065d1d1
15,"10/14/2023, 10:01:15",0.3.85,329,lumi.54ef44100065d1d1
14,"10/14/2023, 10:26:52",0.3.85,389,lumi.54ef44100065d1d1
13,"10/14/2023, 10:28:07",0.3.85,461,lumi.54ef44100065d1d1
12,"10/14/2023, 10:28:12",0.3.85,456,lumi.54ef44100065d1d1
11,"10/14/2023, 10:28:39",0.3.85,573,lumi.54ef44100065d1d1
10,"10/14/2023, 10:29:24",0.3.85,501,lumi.54ef44100065d1d1
9,"10/14/2023, 10:30:08",0.3.85,418,lumi.54ef44100065d1d1
8,"10/14/2023, 10:38:21",0.3.85,354,lumi.54ef44100065d1d1
7,"10/14/2023, 11:04:13",0.3.85,430,lumi.54ef44100065d1d1
6,"10/14/2023, 11:04:28",0.3.85,529,lumi.54ef44100065d1d1
5,"10/14/2023, 11:06:03",0.3.85,597,lumi.54ef44100065d1d1
4,"10/14/2023, 11:15:50",0.3.85,529,lumi.54ef44100065d1d1
3,"10/14/2023, 11:22:58",0.3.85,533,lumi.54ef44100065d1d1
2,"10/14/2023, 11:27:43",0.3.85,416,lumi.54ef44100065d1d1
1,"10/14/2023, 11:27:48",0.3.85,509,lumi.54ef44100065d1d1
0,"10/14/2023, 11:59:29",0.3.85,576,lumi.54ef44100065d1d1
