,timeStamp,resourceId,value,subjectId
9,"11/29/2023, 22:07:00",3.1.85,1,lumi.54ef4410003fdb57
8,"11/29/2023, 22:07:02",3.1.85,0,lumi.54ef4410003fdb57
7,"11/29/2023, 22:11:40",3.1.85,1,lumi.54ef4410003fdb57
6,"11/29/2023, 22:12:03",3.1.85,0,lumi.54ef4410003fdb57
5,"11/29/2023, 22:13:40",3.1.85,1,lumi.54ef4410003fdb57
4,"11/29/2023, 22:13:42",3.1.85,0,lumi.54ef4410003fdb57
3,"11/29/2023, 22:14:26",3.1.85,1,lumi.54ef4410003fdb57
2,"11/29/2023, 22:14:31",3.1.85,0,lumi.54ef4410003fdb57
1,"11/29/2023, 22:15:30",3.1.85,1,lumi.54ef4410003fdb57
0,"11/29/2023, 22:15:33",3.1.85,0,lumi.54ef4410003fdb57
