,timeStamp,resourceId,value,subjectId
299,"12/24/2023, 08:59:58",3.1.85,1,lumi.54ef44100051ac4a
298,"12/24/2023, 09:04:53",3.1.85,1,lumi.54ef44100051ac4a
297,"12/24/2023, 09:08:00",3.1.85,1,lumi.54ef44100051ac4a
296,"12/24/2023, 09:11:37",3.1.85,1,lumi.54ef44100051ac4a
295,"12/24/2023, 09:12:44",3.1.85,1,lumi.54ef44100051ac4a
294,"12/24/2023, 09:16:57",3.1.85,1,lumi.54ef44100051ac4a
293,"12/24/2023, 09:21:25",3.1.85,1,lumi.54ef44100051ac4a
292,"12/24/2023, 09:26:09",3.1.85,1,lumi.54ef44100051ac4a
291,"12/24/2023, 09:28:40",3.1.85,1,lumi.54ef44100051ac4a
290,"12/24/2023, 09:33:52",3.1.85,1,lumi.54ef44100051ac4a
289,"12/24/2023, 09:34:56",3.1.85,1,lumi.54ef44100051ac4a
288,"12/24/2023, 09:39:33",3.1.85,1,lumi.54ef44100051ac4a
287,"12/24/2023, 09:42:03",3.1.85,1,lumi.54ef44100051ac4a
286,"12/24/2023, 09:53:23",3.1.85,1,lumi.54ef44100051ac4a
285,"12/24/2023, 09:54:27",3.1.85,1,lumi.54ef44100051ac4a
284,"12/24/2023, 09:55:25",3.1.85,1,lumi.54ef44100051ac4a
283,"12/24/2023, 09:56:24",3.1.85,1,lumi.54ef44100051ac4a
282,"12/24/2023, 09:57:22",3.1.85,1,lumi.54ef44100051ac4a
281,"12/24/2023, 09:58:20",3.1.85,1,lumi.54ef44100051ac4a
280,"12/24/2023, 09:59:28",3.1.85,1,lumi.54ef44100051ac4a
279,"12/24/2023, 10:00:26",3.1.85,1,lumi.54ef44100051ac4a
278,"12/24/2023, 10:01:31",3.1.85,1,lumi.54ef44100051ac4a
277,"12/24/2023, 10:02:29",3.1.85,1,lumi.54ef44100051ac4a
276,"12/24/2023, 10:03:28",3.1.85,1,lumi.54ef44100051ac4a
275,"12/24/2023, 10:04:27",3.1.85,1,lumi.54ef44100051ac4a
274,"12/24/2023, 10:05:33",3.1.85,1,lumi.54ef44100051ac4a
273,"12/24/2023, 10:06:31",3.1.85,1,lumi.54ef44100051ac4a
272,"12/24/2023, 10:07:29",3.1.85,1,lumi.54ef44100051ac4a
271,"12/24/2023, 10:08:28",3.1.85,1,lumi.54ef44100051ac4a
270,"12/24/2023, 10:09:27",3.1.85,1,lumi.54ef44100051ac4a
269,"12/24/2023, 10:10:37",3.1.85,1,lumi.54ef44100051ac4a
268,"12/24/2023, 12:53:55",3.1.85,1,lumi.54ef44100051ac4a
267,"12/24/2023, 15:37:29",3.1.85,1,lumi.54ef44100051ac4a
266,"12/24/2023, 15:38:28",3.1.85,1,lumi.54ef44100051ac4a
265,"12/24/2023, 15:46:12",3.1.85,1,lumi.54ef44100051ac4a
264,"12/24/2023, 15:47:11",3.1.85,1,lumi.54ef44100051ac4a
263,"12/24/2023, 15:48:09",3.1.85,1,lumi.54ef44100051ac4a
262,"12/24/2023, 15:49:07",3.1.85,1,lumi.54ef44100051ac4a
261,"12/24/2023, 15:50:05",3.1.85,1,lumi.54ef44100051ac4a
260,"12/24/2023, 15:51:05",3.1.85,1,lumi.54ef44100051ac4a
259,"12/24/2023, 15:52:03",3.1.85,1,lumi.54ef44100051ac4a
258,"12/25/2023, 02:18:50",3.1.85,1,lumi.54ef44100051ac4a
257,"12/25/2023, 02:19:48",3.1.85,1,lumi.54ef44100051ac4a
256,"12/25/2023, 02:20:46",3.1.85,1,lumi.54ef44100051ac4a
255,"12/25/2023, 02:22:32",3.1.85,1,lumi.54ef44100051ac4a
254,"12/25/2023, 02:24:13",3.1.85,1,lumi.54ef44100051ac4a
253,"12/25/2023, 02:25:39",3.1.85,1,lumi.54ef44100051ac4a
252,"12/25/2023, 02:27:05",3.1.85,1,lumi.54ef44100051ac4a
251,"12/25/2023, 02:28:47",3.1.85,1,lumi.54ef44100051ac4a
250,"12/25/2023, 02:29:45",3.1.85,1,lumi.54ef44100051ac4a
249,"12/25/2023, 02:31:25",3.1.85,1,lumi.54ef44100051ac4a
248,"12/25/2023, 02:33:32",3.1.85,1,lumi.54ef44100051ac4a
247,"12/25/2023, 02:36:26",3.1.85,1,lumi.54ef44100051ac4a
246,"12/25/2023, 02:39:55",3.1.85,1,lumi.54ef44100051ac4a
245,"12/25/2023, 02:55:26",3.1.85,1,lumi.54ef44100051ac4a
244,"12/25/2023, 02:56:29",3.1.85,1,lumi.54ef44100051ac4a
243,"12/25/2023, 02:57:36",3.1.85,1,lumi.54ef44100051ac4a
242,"12/25/2023, 02:58:35",3.1.85,1,lumi.54ef44100051ac4a
241,"12/25/2023, 03:00:03",3.1.85,1,lumi.54ef44100051ac4a
240,"12/25/2023, 03:01:01",3.1.85,1,lumi.54ef44100051ac4a
239,"12/25/2023, 03:01:59",3.1.85,1,lumi.54ef44100051ac4a
238,"12/25/2023, 03:02:57",3.1.85,1,lumi.54ef44100051ac4a
237,"12/25/2023, 03:04:26",3.1.85,1,lumi.54ef44100051ac4a
236,"12/25/2023, 03:05:25",3.1.85,1,lumi.54ef44100051ac4a
235,"12/25/2023, 03:06:23",3.1.85,1,lumi.54ef44100051ac4a
234,"12/25/2023, 03:07:22",3.1.85,1,lumi.54ef44100051ac4a
233,"12/25/2023, 03:08:20",3.1.85,1,lumi.54ef44100051ac4a
232,"12/25/2023, 03:17:30",3.1.85,1,lumi.54ef44100051ac4a
231,"12/25/2023, 03:18:28",3.1.85,1,lumi.54ef44100051ac4a
230,"12/25/2023, 03:19:37",3.1.85,1,lumi.54ef44100051ac4a
229,"12/25/2023, 03:21:56",3.1.85,1,lumi.54ef44100051ac4a
