,timeStamp,resourceId,value,subjectId
249,"01/01/2024, 00:46:44",0.1.85,1652,lumi.54ef4410004b2218
248,"01/01/2024, 00:46:44",0.2.85,6434,lumi.54ef4410004b2218
247,"01/01/2024, 00:46:44",0.3.85,102500,lumi.54ef4410004b2218
246,"01/01/2024, 01:06:15",0.3.85,102550,lumi.54ef4410004b2218
245,"01/01/2024, 01:41:24",0.1.85,1652,lumi.54ef4410004b2218
244,"01/01/2024, 01:41:24",0.2.85,6417,lumi.54ef4410004b2218
243,"01/01/2024, 01:41:24",0.3.85,102500,lumi.54ef4410004b2218
242,"01/01/2024, 01:47:48",0.3.85,102580,lumi.54ef4410004b2218
241,"01/01/2024, 02:20:24",0.3.85,102610,lumi.54ef4410004b2218
240,"01/01/2024, 02:36:04",0.1.85,1639,lumi.54ef4410004b2218
239,"01/01/2024, 02:36:04",0.2.85,6428,lumi.54ef4410004b2218
238,"01/01/2024, 02:36:04",0.3.85,102600,lumi.54ef4410004b2218
237,"01/01/2024, 02:43:12",0.3.85,102640,lumi.54ef4410004b2218
236,"01/01/2024, 03:14:43",0.3.85,102670,lumi.54ef4410004b2218
235,"01/01/2024, 03:30:45",0.1.85,1638,lumi.54ef4410004b2218
234,"01/01/2024, 03:30:45",0.2.85,6421,lumi.54ef4410004b2218
233,"01/01/2024, 03:30:45",0.3.85,102600,lumi.54ef4410004b2218
232,"01/01/2024, 04:25:25",0.1.85,1626,lumi.54ef4410004b2218
231,"01/01/2024, 04:25:25",0.2.85,6420,lumi.54ef4410004b2218
230,"01/01/2024, 04:25:25",0.3.85,102600,lumi.54ef4410004b2218
229,"01/01/2024, 04:34:33",0.3.85,102700,lumi.54ef4410004b2218
228,"01/01/2024, 05:18:38",0.1.85,1619,lumi.54ef4410004b2218
227,"01/01/2024, 05:20:05",0.1.85,1623,lumi.54ef4410004b2218
226,"01/01/2024, 05:20:05",0.2.85,6406,lumi.54ef4410004b2218
225,"01/01/2024, 05:20:05",0.3.85,102700,lumi.54ef4410004b2218
224,"01/01/2024, 06:14:46",0.1.85,1616,lumi.54ef4410004b2218
223,"01/01/2024, 06:14:46",0.2.85,6396,lumi.54ef4410004b2218
222,"01/01/2024, 06:14:46",0.3.85,102700,lumi.54ef4410004b2218
221,"01/01/2024, 06:15:10",0.3.85,102730,lumi.54ef4410004b2218
220,"01/01/2024, 06:36:28",0.3.85,102760,lumi.54ef4410004b2218
219,"01/01/2024, 07:09:27",0.1.85,1613,lumi.54ef4410004b2218
218,"01/01/2024, 07:09:27",0.2.85,6389,lumi.54ef4410004b2218
217,"01/01/2024, 07:09:27",0.3.85,102700,lumi.54ef4410004b2218
216,"01/01/2024, 07:28:58",0.3.85,102790,lumi.54ef4410004b2218
215,"01/01/2024, 08:04:07",0.1.85,1612,lumi.54ef4410004b2218
214,"01/01/2024, 08:04:07",0.2.85,6376,lumi.54ef4410004b2218
213,"01/01/2024, 08:04:07",0.3.85,102700,lumi.54ef4410004b2218
212,"01/01/2024, 08:15:49",0.3.85,102820,lumi.54ef4410004b2218
211,"01/01/2024, 08:58:48",0.1.85,1609,lumi.54ef4410004b2218
210,"01/01/2024, 08:58:48",0.2.85,6377,lumi.54ef4410004b2218
209,"01/01/2024, 08:58:48",0.3.85,102800,lumi.54ef4410004b2218
208,"01/01/2024, 09:11:13",0.3.85,102850,lumi.54ef4410004b2218
207,"01/01/2024, 09:53:28",0.1.85,1608,lumi.54ef4410004b2218
206,"01/01/2024, 09:53:28",0.2.85,6352,lumi.54ef4410004b2218
205,"01/01/2024, 09:53:28",0.3.85,102800,lumi.54ef4410004b2218
204,"01/01/2024, 10:15:11",0.3.85,102880,lumi.54ef4410004b2218
203,"01/01/2024, 10:48:09",0.1.85,1609,lumi.54ef4410004b2218
202,"01/01/2024, 10:48:09",0.2.85,6334,lumi.54ef4410004b2218
201,"01/01/2024, 10:48:09",0.3.85,102800,lumi.54ef4410004b2218
200,"01/01/2024, 11:16:24",0.3.85,102850,lumi.54ef4410004b2218
199,"01/01/2024, 11:33:43",0.3.85,102820,lumi.54ef4410004b2218
