,timeStamp,resourceId,value,subjectId
20,"01/05/2024, 18:46:26",13.1.85,1,lumi.158d0008f3427d
19,"01/05/2024, 18:47:51",13.1.85,1,lumi.158d0008f3427d
18,"01/05/2024, 18:54:16",13.1.85,1,lumi.158d0008f3427d
17,"01/05/2024, 18:57:53",13.1.85,1,lumi.158d0008f3427d
16,"01/05/2024, 19:01:08",13.1.85,1,lumi.158d0008f3427d
15,"01/05/2024, 20:07:48",13.1.85,1,lumi.158d0008f3427d
14,"01/05/2024, 20:11:33",13.1.85,1,lumi.158d0008f3427d
13,"01/05/2024, 20:20:32",13.1.85,1,lumi.158d0008f3427d
12,"01/05/2024, 20:22:54",13.1.85,1,lumi.158d0008f3427d
11,"01/05/2024, 20:40:18",13.1.85,1,lumi.158d0008f3427d
10,"01/05/2024, 20:41:17",13.1.85,1,lumi.158d0008f3427d
9,"01/05/2024, 21:13:48",13.1.85,1,lumi.158d0008f3427d
8,"01/06/2024, 01:54:18",13.1.85,1,lumi.158d0008f3427d
7,"01/06/2024, 01:54:19",13.1.85,2,lumi.158d0008f3427d
6,"01/06/2024, 01:56:24",13.1.85,1,lumi.158d0008f3427d
5,"01/06/2024, 10:53:10",13.1.85,1,lumi.158d0008f3427d
4,"01/06/2024, 15:32:56",13.1.85,1,lumi.158d0008f3427d
3,"01/06/2024, 16:10:45",13.1.85,1,lumi.158d0008f3427d
2,"01/06/2024, 16:10:52",13.1.85,2,lumi.158d0008f3427d
1,"01/06/2024, 16:15:10",13.1.85,1,lumi.158d0008f3427d
0,"01/06/2024, 16:18:13",13.1.85,1,lumi.158d0008f3427d
