,timeStamp,resourceId,value,subjectId
10,"01/05/2024, 20:32:36",13.1.85,1,lumi.158d0008f32cb9
9,"01/05/2024, 20:32:44",13.1.85,2,lumi.158d0008f32cb9
8,"01/06/2024, 16:14:46",13.1.85,1,lumi.158d0008f32cb9
7,"01/06/2024, 16:14:50",13.1.85,2,lumi.158d0008f32cb9
6,"01/06/2024, 16:15:06",13.1.85,3,lumi.158d0008f32cb9
5,"01/06/2024, 16:15:26",13.1.85,3,lumi.158d0008f32cb9
4,"01/06/2024, 16:16:41",13.1.85,1,lumi.158d0008f32cb9
3,"01/06/2024, 16:16:42",13.1.85,2,lumi.158d0008f32cb9
2,"01/06/2024, 16:18:09",13.1.85,1,lumi.158d0008f32cb9
1,"01/06/2024, 16:19:24",13.1.85,1,lumi.158d0008f32cb9
0,"01/06/2024, 19:32:27",13.1.85,1,lumi.158d0008f32cb9
