,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
18,,13.1.85,"08/28/2023, 08:00:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/28/2023, 07:30:00"
17,,13.1.85,"08/28/2023, 08:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/28/2023, 08:00:00"
16,,13.1.85,"08/28/2023, 23:00:00","{""1"":2}",lumi.158d0008f34ed7,4,"08/28/2023, 22:30:00"
15,,13.1.85,"08/28/2023, 23:30:00","{""1"":3,""2"":1}",lumi.158d0008f34ed7,4,"08/28/2023, 23:00:00"
14,,13.1.85,"08/29/2023, 08:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/29/2023, 08:00:00"
13,,13.1.85,"08/29/2023, 09:00:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/29/2023, 08:30:00"
12,,13.1.85,"08/29/2023, 21:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/29/2023, 21:00:00"
11,,13.1.85,"08/29/2023, 22:30:00","{""1"":2,""2"":1}",lumi.158d0008f34ed7,4,"08/29/2023, 22:00:00"
10,,13.1.85,"08/29/2023, 23:00:00","{""1"":6}",lumi.158d0008f34ed7,4,"08/29/2023, 22:30:00"
9,,13.1.85,"08/29/2023, 23:30:00","{""1"":3}",lumi.158d0008f34ed7,4,"08/29/2023, 23:00:00"
8,,13.1.85,"08/30/2023, 10:00:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/30/2023, 09:30:00"
7,,13.1.85,"08/30/2023, 10:30:00","{""1"":7,""2"":1}",lumi.158d0008f34ed7,4,"08/30/2023, 10:00:00"
6,,13.1.85,"08/30/2023, 11:00:00","{""1"":5}",lumi.158d0008f34ed7,4,"08/30/2023, 10:30:00"
5,,13.1.85,"08/30/2023, 13:00:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/30/2023, 12:30:00"
4,,13.1.85,"08/30/2023, 13:30:00","{""1"":2}",lumi.158d0008f34ed7,4,"08/30/2023, 13:00:00"
3,,13.1.85,"08/30/2023, 17:30:00","{""1"":3,""2"":1}",lumi.158d0008f34ed7,4,"08/30/2023, 17:00:00"
2,,13.1.85,"08/30/2023, 18:00:00","{""1"":2}",lumi.158d0008f34ed7,4,"08/30/2023, 17:30:00"
1,,13.1.85,"08/30/2023, 21:30:00","{""1"":1}",lumi.158d0008f34ed7,4,"08/30/2023, 21:00:00"
0,,13.1.85,"08/31/2023, 00:00:00","{""1"":3}",lumi.158d0008f34ed7,4,"08/30/2023, 23:30:00"
