,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
248,,0.3.85,"09/16/2023, 00:30:00",18.0,lumi.54ef44100065d74a,3,"09/16/2023, 00:00:00"
247,"09/16/2023, 00:02:18",0.3.85,"09/16/2023, 00:30:00",29.000000,lumi.54ef44100065d74a,2,"09/16/2023, 00:00:00"
246,"09/16/2023, 00:02:23",0.3.85,"09/16/2023, 00:30:00",7.000000,lumi.54ef44100065d74a,1,"09/16/2023, 00:00:00"
245,,0.3.85,"09/16/2023, 02:30:00",8.0,lumi.54ef44100065d74a,3,"09/16/2023, 02:00:00"
244,"09/16/2023, 02:18:09",0.3.85,"09/16/2023, 02:30:00",8.000000,lumi.54ef44100065d74a,2,"09/16/2023, 02:00:00"
243,"09/16/2023, 02:18:09",0.3.85,"09/16/2023, 02:30:00",8.000000,lumi.54ef44100065d74a,1,"09/16/2023, 02:00:00"
242,,0.3.85,"09/16/2023, 05:30:00",9.0,lumi.54ef44100065d74a,3,"09/16/2023, 05:00:00"
241,"09/16/2023, 05:02:23",0.3.85,"09/16/2023, 05:30:00",9.000000,lumi.54ef44100065d74a,2,"09/16/2023, 05:00:00"
240,"09/16/2023, 05:02:23",0.3.85,"09/16/2023, 05:30:00",9.000000,lumi.54ef44100065d74a,1,"09/16/2023, 05:00:00"
239,,0.3.85,"09/16/2023, 07:00:00",18.0,lumi.54ef44100065d74a,3,"09/16/2023, 06:30:00"
238,"09/16/2023, 06:30:48",0.3.85,"09/16/2023, 07:00:00",18.000000,lumi.54ef44100065d74a,2,"09/16/2023, 06:30:00"
237,"09/16/2023, 06:30:48",0.3.85,"09/16/2023, 07:00:00",18.000000,lumi.54ef44100065d74a,1,"09/16/2023, 06:30:00"
236,,0.3.85,"09/16/2023, 08:00:00",17.0,lumi.54ef44100065d74a,3,"09/16/2023, 07:30:00"
235,"09/16/2023, 07:46:36",0.3.85,"09/16/2023, 08:00:00",17.000000,lumi.54ef44100065d74a,2,"09/16/2023, 07:30:00"
234,"09/16/2023, 07:46:36",0.3.85,"09/16/2023, 08:00:00",17.000000,lumi.54ef44100065d74a,1,"09/16/2023, 07:30:00"
233,,0.3.85,"09/16/2023, 08:30:00",6.0,lumi.54ef44100065d74a,3,"09/16/2023, 08:00:00"
232,"09/16/2023, 08:04:18",0.3.85,"09/16/2023, 08:30:00",10.000000,lumi.54ef44100065d74a,2,"09/16/2023, 08:00:00"
231,"09/16/2023, 08:28:25",0.3.85,"09/16/2023, 08:30:00",2.000000,lumi.54ef44100065d74a,1,"09/16/2023, 08:00:00"
230,,0.3.85,"09/16/2023, 09:00:00",0.0,lumi.54ef44100065d74a,3,"09/16/2023, 08:30:00"
229,"09/16/2023, 08:41:21",0.3.85,"09/16/2023, 09:00:00",0.000000,lumi.54ef44100065d74a,2,"09/16/2023, 08:30:00"
228,"09/16/2023, 08:41:21",0.3.85,"09/16/2023, 09:00:00",0.000000,lumi.54ef44100065d74a,1,"09/16/2023, 08:30:00"
227,,0.3.85,"09/16/2023, 09:30:00",19.75,lumi.54ef44100065d74a,3,"09/16/2023, 09:00:00"
226,"09/16/2023, 09:19:41",0.3.85,"09/16/2023, 09:30:00",30.000000,lumi.54ef44100065d74a,2,"09/16/2023, 09:00:00"
225,"09/16/2023, 09:02:31",0.3.85,"09/16/2023, 09:30:00",10.000000,lumi.54ef44100065d74a,1,"09/16/2023, 09:00:00"
224,,0.3.85,"09/16/2023, 10:00:00",33.166667,lumi.54ef44100065d74a,3,"09/16/2023, 09:30:00"
223,"09/16/2023, 09:54:22",0.3.85,"09/16/2023, 10:00:00",45.000000,lumi.54ef44100065d74a,2,"09/16/2023, 09:30:00"
222,"09/16/2023, 09:39:22",0.3.85,"09/16/2023, 10:00:00",23.000000,lumi.54ef44100065d74a,1,"09/16/2023, 09:30:00"
221,,0.3.85,"09/16/2023, 10:30:00",42.333333,lumi.54ef44100065d74a,3,"09/16/2023, 10:00:00"
220,"09/16/2023, 10:28:42",0.3.85,"09/16/2023, 10:30:00",61.000000,lumi.54ef44100065d74a,2,"09/16/2023, 10:00:00"
219,"09/16/2023, 10:06:58",0.3.85,"09/16/2023, 10:30:00",24.000000,lumi.54ef44100065d74a,1,"09/16/2023, 10:00:00"
218,,0.3.85,"09/16/2023, 11:00:00",48.428571,lumi.54ef44100065d74a,3,"09/16/2023, 10:30:00"
217,"09/16/2023, 10:51:41",0.3.85,"09/16/2023, 11:00:00",63.000000,lumi.54ef44100065d74a,2,"09/16/2023, 10:30:00"
216,"09/16/2023, 10:57:10",0.3.85,"09/16/2023, 11:00:00",39.000000,lumi.54ef44100065d74a,1,"09/16/2023, 10:30:00"
215,,0.3.85,"09/16/2023, 11:30:00",44.571429,lumi.54ef44100065d74a,3,"09/16/2023, 11:00:00"
214,"09/16/2023, 11:20:52",0.3.85,"09/16/2023, 11:30:00",55.000000,lumi.54ef44100065d74a,2,"09/16/2023, 11:00:00"
213,"09/16/2023, 11:09:26",0.3.85,"09/16/2023, 11:30:00",32.000000,lumi.54ef44100065d74a,1,"09/16/2023, 11:00:00"
212,,0.3.85,"09/16/2023, 12:00:00",46.0,lumi.54ef44100065d74a,3,"09/16/2023, 11:30:00"
211,"09/16/2023, 11:47:56",0.3.85,"09/16/2023, 12:00:00",58.000000,lumi.54ef44100065d74a,2,"09/16/2023, 11:30:00"
210,"09/16/2023, 11:34:10",0.3.85,"09/16/2023, 12:00:00",34.000000,lumi.54ef44100065d74a,1,"09/16/2023, 11:30:00"
209,,0.3.85,"09/16/2023, 12:30:00",37.5,lumi.54ef44100065d74a,3,"09/16/2023, 12:00:00"
208,"09/16/2023, 12:20:21",0.3.85,"09/16/2023, 12:30:00",45.000000,lumi.54ef44100065d74a,2,"09/16/2023, 12:00:00"
207,"09/16/2023, 12:27:16",0.3.85,"09/16/2023, 12:30:00",28.000000,lumi.54ef44100065d74a,1,"09/16/2023, 12:00:00"
206,,0.3.85,"09/16/2023, 13:00:00",21.0,lumi.54ef44100065d74a,3,"09/16/2023, 12:30:00"
205,"09/16/2023, 12:54:12",0.3.85,"09/16/2023, 13:00:00",21.000000,lumi.54ef44100065d74a,2,"09/16/2023, 12:30:00"
204,"09/16/2023, 12:54:12",0.3.85,"09/16/2023, 13:00:00",21.000000,lumi.54ef44100065d74a,1,"09/16/2023, 12:30:00"
203,,0.3.85,"09/16/2023, 14:00:00",14.0,lumi.54ef44100065d74a,3,"09/16/2023, 13:30:00"
202,"09/16/2023, 13:42:04",0.3.85,"09/16/2023, 14:00:00",14.000000,lumi.54ef44100065d74a,2,"09/16/2023, 13:30:00"
201,"09/16/2023, 13:42:04",0.3.85,"09/16/2023, 14:00:00",14.000000,lumi.54ef44100065d74a,1,"09/16/2023, 13:30:00"
200,,0.3.85,"09/16/2023, 15:00:00",7.0,lumi.54ef44100065d74a,3,"09/16/2023, 14:30:00"
199,"09/16/2023, 14:46:06",0.3.85,"09/16/2023, 15:00:00",7.000000,lumi.54ef44100065d74a,2,"09/16/2023, 14:30:00"
198,"09/16/2023, 14:46:06",0.3.85,"09/16/2023, 15:00:00",7.000000,lumi.54ef44100065d74a,1,"09/16/2023, 14:30:00"
197,,0.3.85,"09/16/2023, 15:30:00",0.0,lumi.54ef44100065d74a,3,"09/16/2023, 15:00:00"
196,"09/16/2023, 15:04:20",0.3.85,"09/16/2023, 15:30:00",0.000000,lumi.54ef44100065d74a,2,"09/16/2023, 15:00:00"
195,"09/16/2023, 15:04:20",0.3.85,"09/16/2023, 15:30:00",0.000000,lumi.54ef44100065d74a,1,"09/16/2023, 15:00:00"
194,,0.3.85,"09/16/2023, 16:00:00",12.5,lumi.54ef44100065d74a,3,"09/16/2023, 15:30:00"
193,"09/16/2023, 15:59:20",0.3.85,"09/16/2023, 16:00:00",14.000000,lumi.54ef44100065d74a,2,"09/16/2023, 15:30:00"
192,"09/16/2023, 15:54:42",0.3.85,"09/16/2023, 16:00:00",11.000000,lumi.54ef44100065d74a,1,"09/16/2023, 15:30:00"
191,,0.3.85,"09/16/2023, 16:30:00",7.0,lumi.54ef44100065d74a,3,"09/16/2023, 16:00:00"
190,"09/16/2023, 16:01:31",0.3.85,"09/16/2023, 16:30:00",11.000000,lumi.54ef44100065d74a,2,"09/16/2023, 16:00:00"
189,"09/16/2023, 16:00:57",0.3.85,"09/16/2023, 16:30:00",3.000000,lumi.54ef44100065d74a,1,"09/16/2023, 16:00:00"
188,,0.3.85,"09/16/2023, 17:00:00",240.0,lumi.54ef44100065d74a,3,"09/16/2023, 16:30:00"
187,"09/16/2023, 16:54:05",0.3.85,"09/16/2023, 17:00:00",250.000000,lumi.54ef44100065d74a,2,"09/16/2023, 16:30:00"
186,"09/16/2023, 16:39:30",0.3.85,"09/16/2023, 17:00:00",230.000000,lumi.54ef44100065d74a,1,"09/16/2023, 16:30:00"
185,,0.3.85,"09/16/2023, 18:00:00",250.0,lumi.54ef44100065d74a,3,"09/16/2023, 17:30:00"
184,"09/16/2023, 17:48:50",0.3.85,"09/16/2023, 18:00:00",250.000000,lumi.54ef44100065d74a,2,"09/16/2023, 17:30:00"
183,"09/16/2023, 17:48:50",0.3.85,"09/16/2023, 18:00:00",250.000000,lumi.54ef44100065d74a,1,"09/16/2023, 17:30:00"
182,,0.3.85,"09/16/2023, 18:30:00",13.6,lumi.54ef44100065d74a,3,"09/16/2023, 18:00:00"
181,"09/16/2023, 18:05:12",0.3.85,"09/16/2023, 18:30:00",32.000000,lumi.54ef44100065d74a,2,"09/16/2023, 18:00:00"
180,"09/16/2023, 18:05:07",0.3.85,"09/16/2023, 18:30:00",0.000000,lumi.54ef44100065d74a,1,"09/16/2023, 18:00:00"
179,,0.3.85,"09/16/2023, 19:30:00",90.0,lumi.54ef44100065d74a,3,"09/16/2023, 19:00:00"
178,"09/16/2023, 19:10:23",0.3.85,"09/16/2023, 19:30:00",231.000000,lumi.54ef44100065d74a,2,"09/16/2023, 19:00:00"
177,"09/16/2023, 19:24:54",0.3.85,"09/16/2023, 19:30:00",7.000000,lumi.54ef44100065d74a,1,"09/16/2023, 19:00:00"
176,,0.3.85,"09/16/2023, 20:30:00",14.0,lumi.54ef44100065d74a,3,"09/16/2023, 20:00:00"
175,"09/16/2023, 20:24:12",0.3.85,"09/16/2023, 20:30:00",14.000000,lumi.54ef44100065d74a,2,"09/16/2023, 20:00:00"
174,"09/16/2023, 20:24:12",0.3.85,"09/16/2023, 20:30:00",14.000000,lumi.54ef44100065d74a,1,"09/16/2023, 20:00:00"
173,,0.3.85,"09/16/2023, 21:00:00",11.0,lumi.54ef44100065d74a,3,"09/16/2023, 20:30:00"
172,"09/16/2023, 20:33:05",0.3.85,"09/16/2023, 21:00:00",15.000000,lumi.54ef44100065d74a,2,"09/16/2023, 20:30:00"
171,"09/16/2023, 20:44:48",0.3.85,"09/16/2023, 21:00:00",7.000000,lumi.54ef44100065d74a,1,"09/16/2023, 20:30:00"
170,,0.3.85,"09/16/2023, 22:00:00",12.0,lumi.54ef44100065d74a,3,"09/16/2023, 21:30:00"
169,"09/16/2023, 21:30:16",0.3.85,"09/16/2023, 22:00:00",16.000000,lumi.54ef44100065d74a,2,"09/16/2023, 21:30:00"
168,"09/16/2023, 21:55:33",0.3.85,"09/16/2023, 22:00:00",8.000000,lumi.54ef44100065d74a,1,"09/16/2023, 21:30:00"
167,,0.3.85,"09/17/2023, 00:30:00",8.0,lumi.54ef44100065d74a,3,"09/17/2023, 00:00:00"
166,"09/17/2023, 00:12:03",0.3.85,"09/17/2023, 00:30:00",8.000000,lumi.54ef44100065d74a,2,"09/17/2023, 00:00:00"
165,"09/17/2023, 00:12:03",0.3.85,"09/17/2023, 00:30:00",8.000000,lumi.54ef44100065d74a,1,"09/17/2023, 00:00:00"
164,,0.3.85,"09/17/2023, 03:00:00",8.0,lumi.54ef44100065d74a,3,"09/17/2023, 02:30:00"
163,"09/17/2023, 02:56:16",0.3.85,"09/17/2023, 03:00:00",8.000000,lumi.54ef44100065d74a,2,"09/17/2023, 02:30:00"
162,"09/17/2023, 02:56:16",0.3.85,"09/17/2023, 03:00:00",8.000000,lumi.54ef44100065d74a,1,"09/17/2023, 02:30:00"
161,,0.3.85,"09/17/2023, 06:00:00",8.0,lumi.54ef44100065d74a,3,"09/17/2023, 05:30:00"
160,"09/17/2023, 05:40:29",0.3.85,"09/17/2023, 06:00:00",8.000000,lumi.54ef44100065d74a,2,"09/17/2023, 05:30:00"
159,"09/17/2023, 05:40:29",0.3.85,"09/17/2023, 06:00:00",8.000000,lumi.54ef44100065d74a,1,"09/17/2023, 05:30:00"
158,,0.3.85,"09/17/2023, 08:00:00",15.0,lumi.54ef44100065d74a,3,"09/17/2023, 07:30:00"
157,"09/17/2023, 07:48:00",0.3.85,"09/17/2023, 08:00:00",15.000000,lumi.54ef44100065d74a,2,"09/17/2023, 07:30:00"
156,"09/17/2023, 07:48:00",0.3.85,"09/17/2023, 08:00:00",15.000000,lumi.54ef44100065d74a,1,"09/17/2023, 07:30:00"
155,,0.3.85,"09/17/2023, 08:30:00",22.0,lumi.54ef44100065d74a,3,"09/17/2023, 08:00:00"
154,"09/17/2023, 08:15:56",0.3.85,"09/17/2023, 08:30:00",22.000000,lumi.54ef44100065d74a,2,"09/17/2023, 08:00:00"
153,"09/17/2023, 08:15:56",0.3.85,"09/17/2023, 08:30:00",22.000000,lumi.54ef44100065d74a,1,"09/17/2023, 08:00:00"
152,,0.3.85,"09/17/2023, 09:00:00",40.6,lumi.54ef44100065d74a,3,"09/17/2023, 08:30:00"
151,"09/17/2023, 08:57:05",0.3.85,"09/17/2023, 09:00:00",51.000000,lumi.54ef44100065d74a,2,"09/17/2023, 08:30:00"
150,"09/17/2023, 08:46:03",0.3.85,"09/17/2023, 09:00:00",29.000000,lumi.54ef44100065d74a,1,"09/17/2023, 08:30:00"
149,,0.3.85,"09/17/2023, 09:30:00",35.727273,lumi.54ef44100065d74a,3,"09/17/2023, 09:00:00"
148,"09/17/2023, 09:12:05",0.3.85,"09/17/2023, 09:30:00",45.000000,lumi.54ef44100065d74a,2,"09/17/2023, 09:00:00"
147,"09/17/2023, 09:03:08",0.3.85,"09/17/2023, 09:30:00",22.000000,lumi.54ef44100065d74a,1,"09/17/2023, 09:00:00"
146,,0.3.85,"09/17/2023, 10:00:00",47.0,lumi.54ef44100065d74a,3,"09/17/2023, 09:30:00"
145,"09/17/2023, 09:30:26",0.3.85,"09/17/2023, 10:00:00",54.000000,lumi.54ef44100065d74a,2,"09/17/2023, 09:30:00"
144,"09/17/2023, 09:47:31",0.3.85,"09/17/2023, 10:00:00",40.000000,lumi.54ef44100065d74a,1,"09/17/2023, 09:30:00"
143,,0.3.85,"09/17/2023, 10:30:00",47.0,lumi.54ef44100065d74a,3,"09/17/2023, 10:00:00"
142,"09/17/2023, 10:05:05",0.3.85,"09/17/2023, 10:30:00",60.000000,lumi.54ef44100065d74a,2,"09/17/2023, 10:00:00"
141,"09/17/2023, 10:24:06",0.3.85,"09/17/2023, 10:30:00",36.000000,lumi.54ef44100065d74a,1,"09/17/2023, 10:00:00"
140,,0.3.85,"09/17/2023, 11:00:00",47.545455,lumi.54ef44100065d74a,3,"09/17/2023, 10:30:00"
139,"09/17/2023, 10:30:24",0.3.85,"09/17/2023, 11:00:00",58.000000,lumi.54ef44100065d74a,2,"09/17/2023, 10:30:00"
138,"09/17/2023, 10:34:18",0.3.85,"09/17/2023, 11:00:00",40.000000,lumi.54ef44100065d74a,1,"09/17/2023, 10:30:00"
137,,0.3.85,"09/17/2023, 11:30:00",42.090909,lumi.54ef44100065d74a,3,"09/17/2023, 11:00:00"
136,"09/17/2023, 11:01:19",0.3.85,"09/17/2023, 11:30:00",57.000000,lumi.54ef44100065d74a,2,"09/17/2023, 11:00:00"
135,"09/17/2023, 11:23:45",0.3.85,"09/17/2023, 11:30:00",27.000000,lumi.54ef44100065d74a,1,"09/17/2023, 11:00:00"
134,,0.3.85,"09/17/2023, 12:00:00",57.5,lumi.54ef44100065d74a,3,"09/17/2023, 11:30:00"
