,timeStamp,resourceId,value,subjectId
299,"11/04/2023, 00:11:45",0.3.85,101300,lumi.54ef4410004b21c8
298,"11/04/2023, 01:03:19",0.2.85,3575,lumi.54ef4410004b21c8
297,"11/04/2023, 01:06:25",0.1.85,3001,lumi.54ef4410004b21c8
296,"11/04/2023, 01:06:25",0.2.85,3591,lumi.54ef4410004b21c8
295,"11/04/2023, 01:06:25",0.3.85,101300,lumi.54ef4410004b21c8
294,"11/04/2023, 01:22:28",0.3.85,101370,lumi.54ef4410004b21c8
293,"11/04/2023, 02:01:05",0.1.85,3018,lumi.54ef4410004b21c8
292,"11/04/2023, 02:01:05",0.2.85,3519,lumi.54ef4410004b21c8
291,"11/04/2023, 02:01:05",0.3.85,101300,lumi.54ef4410004b21c8
290,"11/04/2023, 02:55:45",0.1.85,2998,lumi.54ef4410004b21c8
289,"11/04/2023, 02:55:45",0.2.85,3259,lumi.54ef4410004b21c8
288,"11/04/2023, 02:55:45",0.3.85,101300,lumi.54ef4410004b21c8
287,"11/04/2023, 03:27:17",0.3.85,101400,lumi.54ef4410004b21c8
286,"11/04/2023, 03:50:25",0.1.85,2988,lumi.54ef4410004b21c8
285,"11/04/2023, 03:50:25",0.2.85,3183,lumi.54ef4410004b21c8
284,"11/04/2023, 03:50:25",0.3.85,101300,lumi.54ef4410004b21c8
283,"11/04/2023, 03:59:12",0.3.85,101370,lumi.54ef4410004b21c8
282,"11/04/2023, 04:06:40",0.3.85,101400,lumi.54ef4410004b21c8
281,"11/04/2023, 04:45:05",0.1.85,2991,lumi.54ef4410004b21c8
280,"11/04/2023, 04:45:05",0.2.85,3111,lumi.54ef4410004b21c8
279,"11/04/2023, 04:45:05",0.3.85,101400,lumi.54ef4410004b21c8
278,"11/04/2023, 04:54:13",0.3.85,101430,lumi.54ef4410004b21c8
277,"11/04/2023, 05:39:45",0.1.85,2986,lumi.54ef4410004b21c8
276,"11/04/2023, 05:39:45",0.2.85,3073,lumi.54ef4410004b21c8
275,"11/04/2023, 05:39:45",0.3.85,101400,lumi.54ef4410004b21c8
274,"11/04/2023, 06:21:30",0.3.85,101460,lumi.54ef4410004b21c8
273,"11/04/2023, 06:34:25",0.1.85,2985,lumi.54ef4410004b21c8
272,"11/04/2023, 06:34:25",0.2.85,3039,lumi.54ef4410004b21c8
271,"11/04/2023, 06:34:25",0.3.85,101400,lumi.54ef4410004b21c8
270,"11/04/2023, 06:39:55",0.3.85,101430,lumi.54ef4410004b21c8
269,"11/04/2023, 06:46:39",0.3.85,101460,lumi.54ef4410004b21c8
268,"11/04/2023, 07:09:58",0.3.85,101490,lumi.54ef4410004b21c8
267,"11/04/2023, 07:26:21",0.3.85,101520,lumi.54ef4410004b21c8
266,"11/04/2023, 07:29:05",0.1.85,2984,lumi.54ef4410004b21c8
265,"11/04/2023, 07:29:05",0.2.85,3019,lumi.54ef4410004b21c8
264,"11/04/2023, 07:29:05",0.3.85,101500,lumi.54ef4410004b21c8
263,"11/04/2023, 07:59:32",0.3.85,101550,lumi.54ef4410004b21c8
262,"11/04/2023, 08:19:56",0.3.85,101580,lumi.54ef4410004b21c8
261,"11/04/2023, 08:23:45",0.1.85,3016,lumi.54ef4410004b21c8
260,"11/04/2023, 08:23:45",0.2.85,3332,lumi.54ef4410004b21c8
259,"11/04/2023, 08:23:45",0.3.85,101500,lumi.54ef4410004b21c8
258,"11/04/2023, 08:34:10",0.3.85,101610,lumi.54ef4410004b21c8
257,"11/04/2023, 09:15:52",0.1.85,2934,lumi.54ef4410004b21c8
256,"11/04/2023, 09:18:25",0.1.85,2934,lumi.54ef4410004b21c8
255,"11/04/2023, 09:18:25",0.2.85,3994,lumi.54ef4410004b21c8
254,"11/04/2023, 09:18:25",0.3.85,101600,lumi.54ef4410004b21c8
253,"11/04/2023, 10:13:05",0.1.85,2898,lumi.54ef4410004b21c8
252,"11/04/2023, 10:13:05",0.2.85,4068,lumi.54ef4410004b21c8
251,"11/04/2023, 10:13:05",0.3.85,101600,lumi.54ef4410004b21c8
250,"11/04/2023, 10:16:24",0.3.85,101640,lumi.54ef4410004b21c8
249,"11/04/2023, 10:22:03",0.3.85,101610,lumi.54ef4410004b21c8
248,"11/04/2023, 10:35:09",0.1.85,2883,lumi.54ef4410004b21c8
247,"11/04/2023, 11:07:45",0.1.85,2873,lumi.54ef4410004b21c8
246,"11/04/2023, 11:07:45",0.2.85,4119,lumi.54ef4410004b21c8
245,"11/04/2023, 11:07:45",0.3.85,101600,lumi.54ef4410004b21c8
244,"11/04/2023, 11:09:58",0.3.85,101640,lumi.54ef4410004b21c8
243,"11/04/2023, 11:27:16",0.3.85,101670,lumi.54ef4410004b21c8
242,"11/04/2023, 11:34:33",0.3.85,101640,lumi.54ef4410004b21c8
241,"11/04/2023, 11:51:08",0.3.85,101610,lumi.54ef4410004b21c8
240,"11/04/2023, 11:51:51",0.2.85,4176,lumi.54ef4410004b21c8
239,"11/04/2023, 12:02:25",0.1.85,2852,lumi.54ef4410004b21c8
238,"11/04/2023, 12:02:25",0.2.85,4170,lumi.54ef4410004b21c8
237,"11/04/2023, 12:02:25",0.3.85,101500,lumi.54ef4410004b21c8
236,"11/04/2023, 12:41:25",0.3.85,101580,lumi.54ef4410004b21c8
235,"11/04/2023, 12:57:05",0.1.85,2835,lumi.54ef4410004b21c8
234,"11/04/2023, 12:57:05",0.2.85,4217,lumi.54ef4410004b21c8
233,"11/04/2023, 12:57:05",0.3.85,101500,lumi.54ef4410004b21c8
232,"11/04/2023, 12:59:51",0.1.85,2831,lumi.54ef4410004b21c8
231,"11/04/2023, 13:04:13",0.3.85,101550,lumi.54ef4410004b21c8
230,"11/04/2023, 13:51:45",0.1.85,2830,lumi.54ef4410004b21c8
229,"11/04/2023, 13:51:45",0.2.85,4250,lumi.54ef4410004b21c8
228,"11/04/2023, 13:51:45",0.3.85,101500,lumi.54ef4410004b21c8
227,"11/04/2023, 14:11:05",0.3.85,101580,lumi.54ef4410004b21c8
226,"11/04/2023, 14:46:24",0.1.85,2817,lumi.54ef4410004b21c8
225,"11/04/2023, 14:46:24",0.2.85,4301,lumi.54ef4410004b21c8
224,"11/04/2023, 14:46:24",0.3.85,101500,lumi.54ef4410004b21c8
223,"11/04/2023, 15:18:51",0.3.85,101610,lumi.54ef4410004b21c8
222,"11/04/2023, 15:41:04",0.1.85,2806,lumi.54ef4410004b21c8
221,"11/04/2023, 15:41:04",0.2.85,4321,lumi.54ef4410004b21c8
220,"11/04/2023, 15:41:04",0.3.85,101600,lumi.54ef4410004b21c8
219,"11/04/2023, 15:42:44",0.3.85,101640,lumi.54ef4410004b21c8
218,"11/04/2023, 15:52:13",0.3.85,101610,lumi.54ef4410004b21c8
217,"11/04/2023, 15:56:57",0.3.85,101640,lumi.54ef4410004b21c8
216,"11/04/2023, 16:34:16",0.3.85,101670,lumi.54ef4410004b21c8
215,"11/04/2023, 16:35:44",0.1.85,2796,lumi.54ef4410004b21c8
214,"11/04/2023, 16:35:44",0.2.85,4353,lumi.54ef4410004b21c8
213,"11/04/2023, 16:35:44",0.3.85,101600,lumi.54ef4410004b21c8
212,"11/04/2023, 17:30:24",0.1.85,2786,lumi.54ef4410004b21c8
211,"11/04/2023, 17:30:24",0.2.85,4381,lumi.54ef4410004b21c8
210,"11/04/2023, 17:30:24",0.3.85,101600,lumi.54ef4410004b21c8
209,"11/04/2023, 17:36:59",0.1.85,2780,lumi.54ef4410004b21c8
208,"11/04/2023, 17:43:00",0.3.85,101700,lumi.54ef4410004b21c8
207,"11/04/2023, 17:51:44",0.3.85,101670,lumi.54ef4410004b21c8
206,"11/04/2023, 17:57:01",0.3.85,101700,lumi.54ef4410004b21c8
205,"11/04/2023, 18:12:08",0.3.85,101730,lumi.54ef4410004b21c8
204,"11/04/2023, 18:25:03",0.1.85,2772,lumi.54ef4410004b21c8
203,"11/04/2023, 18:25:03",0.2.85,4427,lumi.54ef4410004b21c8
202,"11/04/2023, 18:25:03",0.3.85,101700,lumi.54ef4410004b21c8
201,"11/04/2023, 18:33:17",0.3.85,101760,lumi.54ef4410004b21c8
200,"11/04/2023, 18:47:07",0.3.85,101730,lumi.54ef4410004b21c8
199,"11/04/2023, 18:59:09",0.3.85,101760,lumi.54ef4410004b21c8
198,"11/04/2023, 19:19:43",0.1.85,2772,lumi.54ef4410004b21c8
197,"11/04/2023, 19:19:43",0.2.85,4464,lumi.54ef4410004b21c8
196,"11/04/2023, 19:19:43",0.3.85,101700,lumi.54ef4410004b21c8
195,"11/04/2023, 20:14:23",0.1.85,2772,lumi.54ef4410004b21c8
194,"11/04/2023, 20:14:23",0.2.85,4514,lumi.54ef4410004b21c8
193,"11/04/2023, 20:14:23",0.3.85,101700,lumi.54ef4410004b21c8
192,"11/04/2023, 20:59:02",0.3.85,101790,lumi.54ef4410004b21c8
191,"11/04/2023, 21:09:03",0.1.85,2793,lumi.54ef4410004b21c8
190,"11/04/2023, 21:09:03",0.2.85,4635,lumi.54ef4410004b21c8
189,"11/04/2023, 21:09:03",0.3.85,101700,lumi.54ef4410004b21c8
188,"11/04/2023, 21:54:36",0.3.85,101820,lumi.54ef4410004b21c8
187,"11/04/2023, 22:03:43",0.1.85,2797,lumi.54ef4410004b21c8
186,"11/04/2023, 22:03:43",0.2.85,4623,lumi.54ef4410004b21c8
185,"11/04/2023, 22:03:43",0.3.85,101800,lumi.54ef4410004b21c8
184,"11/04/2023, 22:20:30",0.3.85,101850,lumi.54ef4410004b21c8
183,"11/04/2023, 22:34:20",0.2.85,4784,lumi.54ef4410004b21c8
182,"11/04/2023, 22:38:21",0.3.85,101880,lumi.54ef4410004b21c8
181,"11/04/2023, 22:51:49",0.2.85,5396,lumi.54ef4410004b21c8
180,"11/04/2023, 22:54:00",0.1.85,2835,lumi.54ef4410004b21c8
179,"11/04/2023, 22:58:23",0.1.85,2845,lumi.54ef4410004b21c8
178,"11/04/2023, 22:58:23",0.2.85,5281,lumi.54ef4410004b21c8
177,"11/04/2023, 22:58:23",0.3.85,101800,lumi.54ef4410004b21c8
176,"11/04/2023, 22:59:30",0.3.85,101850,lumi.54ef4410004b21c8
175,"11/04/2023, 23:18:38",0.1.85,2886,lumi.54ef4410004b21c8
174,"11/04/2023, 23:19:43",0.2.85,4793,lumi.54ef4410004b21c8
173,"11/04/2023, 23:24:49",0.3.85,101820,lumi.54ef4410004b21c8
172,"11/04/2023, 23:46:08",0.1.85,2941,lumi.54ef4410004b21c8
171,"11/04/2023, 23:53:03",0.1.85,2944,lumi.54ef4410004b21c8
170,"11/04/2023, 23:53:03",0.2.85,4298,lumi.54ef4410004b21c8
169,"11/04/2023, 23:53:03",0.3.85,101800,lumi.54ef4410004b21c8
168,"11/05/2023, 00:04:55",0.2.85,4182,lumi.54ef4410004b21c8
167,"11/05/2023, 00:10:01",0.3.85,101790,lumi.54ef4410004b21c8
166,"11/05/2023, 00:47:43",0.1.85,2975,lumi.54ef4410004b21c8
165,"11/05/2023, 00:47:43",0.2.85,3922,lumi.54ef4410004b21c8
164,"11/05/2023, 00:47:43",0.3.85,101700,lumi.54ef4410004b21c8
163,"11/05/2023, 01:20:43",0.1.85,2994,lumi.54ef4410004b21c8
162,"11/05/2023, 01:42:23",0.1.85,2991,lumi.54ef4410004b21c8
161,"11/05/2023, 01:42:23",0.2.85,3655,lumi.54ef4410004b21c8
160,"11/05/2023, 01:42:23",0.3.85,101700,lumi.54ef4410004b21c8
159,"11/05/2023, 01:54:37",0.2.85,3571,lumi.54ef4410004b21c8
158,"11/05/2023, 01:54:37",0.3.85,101760,lumi.54ef4410004b21c8
157,"11/05/2023, 01:59:00",0.3.85,101730,lumi.54ef4410004b21c8
156,"11/05/2023, 02:07:44",0.3.85,101760,lumi.54ef4410004b21c8
155,"11/05/2023, 02:20:29",0.3.85,101730,lumi.54ef4410004b21c8
154,"11/05/2023, 02:21:56",0.3.85,101760,lumi.54ef4410004b21c8
153,"11/05/2023, 02:37:03",0.1.85,2979,lumi.54ef4410004b21c8
152,"11/05/2023, 02:37:03",0.2.85,3468,lumi.54ef4410004b21c8
151,"11/05/2023, 02:37:03",0.3.85,101700,lumi.54ef4410004b21c8
150,"11/05/2023, 03:13:53",0.3.85,101730,lumi.54ef4410004b21c8
149,"11/05/2023, 03:31:44",0.1.85,2974,lumi.54ef4410004b21c8
148,"11/05/2023, 03:31:44",0.2.85,3344,lumi.54ef4410004b21c8
147,"11/05/2023, 03:31:44",0.3.85,101700,lumi.54ef4410004b21c8
146,"11/05/2023, 03:42:31",0.3.85,101700,lumi.54ef4410004b21c8
145,"11/05/2023, 04:23:19",0.3.85,101670,lumi.54ef4410004b21c8
144,"11/05/2023, 04:26:25",0.1.85,2974,lumi.54ef4410004b21c8
143,"11/05/2023, 04:26:25",0.2.85,3269,lumi.54ef4410004b21c8
142,"11/05/2023, 04:26:25",0.3.85,101600,lumi.54ef4410004b21c8
141,"11/05/2023, 05:21:05",0.1.85,2965,lumi.54ef4410004b21c8
140,"11/05/2023, 05:21:05",0.2.85,3205,lumi.54ef4410004b21c8
139,"11/05/2023, 05:21:05",0.3.85,101600,lumi.54ef4410004b21c8
138,"11/05/2023, 05:42:14",0.3.85,101640,lumi.54ef4410004b21c8
137,"11/05/2023, 06:15:45",0.1.85,2965,lumi.54ef4410004b21c8
136,"11/05/2023, 06:15:45",0.2.85,3179,lumi.54ef4410004b21c8
135,"11/05/2023, 06:15:45",0.3.85,101600,lumi.54ef4410004b21c8
134,"11/05/2023, 06:39:27",0.3.85,101670,lumi.54ef4410004b21c8
133,"11/05/2023, 07:03:51",0.3.85,101640,lumi.54ef4410004b21c8
132,"11/05/2023, 07:10:25",0.1.85,2971,lumi.54ef4410004b21c8
131,"11/05/2023, 07:10:25",0.2.85,3193,lumi.54ef4410004b21c8
130,"11/05/2023, 07:10:25",0.3.85,101600,lumi.54ef4410004b21c8
129,"11/05/2023, 07:15:54",0.3.85,101670,lumi.54ef4410004b21c8
128,"11/05/2023, 07:21:11",0.3.85,101700,lumi.54ef4410004b21c8
127,"11/05/2023, 07:29:45",0.3.85,101670,lumi.54ef4410004b21c8
126,"11/05/2023, 08:05:05",0.1.85,2965,lumi.54ef4410004b21c8
125,"11/05/2023, 08:05:05",0.2.85,3120,lumi.54ef4410004b21c8
124,"11/05/2023, 08:05:05",0.3.85,101600,lumi.54ef4410004b21c8
123,"11/05/2023, 08:11:40",0.3.85,101700,lumi.54ef4410004b21c8
122,"11/05/2023, 08:41:32",0.3.85,101670,lumi.54ef4410004b21c8
121,"11/05/2023, 08:55:55",0.3.85,101640,lumi.54ef4410004b21c8
120,"11/05/2023, 08:59:45",0.1.85,2967,lumi.54ef4410004b21c8
119,"11/05/2023, 08:59:45",0.2.85,3084,lumi.54ef4410004b21c8
118,"11/05/2023, 08:59:45",0.3.85,101600,lumi.54ef4410004b21c8
117,"11/05/2023, 09:54:25",0.1.85,2994,lumi.54ef4410004b21c8
116,"11/05/2023, 09:54:25",0.2.85,3219,lumi.54ef4410004b21c8
115,"11/05/2023, 09:54:25",0.3.85,101600,lumi.54ef4410004b21c8
114,"11/05/2023, 10:02:38",0.3.85,101610,lumi.54ef4410004b21c8
113,"11/05/2023, 10:20:40",0.3.85,101580,lumi.54ef4410004b21c8
112,"11/05/2023, 10:35:03",0.3.85,101550,lumi.54ef4410004b21c8
111,"11/05/2023, 10:40:42",0.1.85,3046,lumi.54ef4410004b21c8
110,"11/05/2023, 10:49:05",0.1.85,3049,lumi.54ef4410004b21c8
109,"11/05/2023, 10:49:05",0.2.85,3414,lumi.54ef4410004b21c8
108,"11/05/2023, 10:49:05",0.3.85,101500,lumi.54ef4410004b21c8
107,"11/05/2023, 11:00:02",0.3.85,101520,lumi.54ef4410004b21c8
106,"11/05/2023, 11:08:03",0.3.85,101490,lumi.54ef4410004b21c8
105,"11/05/2023, 11:28:05",0.3.85,101460,lumi.54ef4410004b21c8
104,"11/05/2023, 11:41:34",0.3.85,101430,lumi.54ef4410004b21c8
103,"11/05/2023, 11:43:45",0.1.85,3063,lumi.54ef4410004b21c8
102,"11/05/2023, 11:43:45",0.2.85,3558,lumi.54ef4410004b21c8
101,"11/05/2023, 11:43:45",0.3.85,101400,lumi.54ef4410004b21c8
100,"11/05/2023, 11:50:53",0.3.85,101400,lumi.54ef4410004b21c8
99,"11/05/2023, 12:03:49",0.3.85,101370,lumi.54ef4410004b21c8
98,"11/05/2023, 12:10:00",0.3.85,101340,lumi.54ef4410004b21c8
97,"11/05/2023, 12:20:01",0.3.85,101310,lumi.54ef4410004b21c8
96,"11/05/2023, 12:30:35",0.3.85,101280,lumi.54ef4410004b21c8
95,"11/05/2023, 12:38:25",0.1.85,3064,lumi.54ef4410004b21c8
94,"11/05/2023, 12:38:25",0.2.85,3467,lumi.54ef4410004b21c8
93,"11/05/2023, 12:38:25",0.3.85,101200,lumi.54ef4410004b21c8
92,"11/05/2023, 12:40:38",0.3.85,101250,lumi.54ef4410004b21c8
91,"11/05/2023, 12:57:01",0.3.85,101220,lumi.54ef4410004b21c8
90,"11/05/2023, 13:06:19",0.3.85,101190,lumi.54ef4410004b21c8
89,"11/05/2023, 13:20:31",0.3.85,101160,lumi.54ef4410004b21c8
88,"11/05/2023, 13:33:05",0.1.85,3085,lumi.54ef4410004b21c8
87,"11/05/2023, 13:33:05",0.2.85,3479,lumi.54ef4410004b21c8
86,"11/05/2023, 13:33:05",0.3.85,101100,lumi.54ef4410004b21c8
85,"11/05/2023, 13:34:13",0.3.85,101130,lumi.54ef4410004b21c8
84,"11/05/2023, 13:46:25",0.3.85,101100,lumi.54ef4410004b21c8
83,"11/05/2023, 14:27:45",0.1.85,3080,lumi.54ef4410004b21c8
82,"11/05/2023, 14:27:45",0.2.85,3372,lumi.54ef4410004b21c8
81,"11/05/2023, 14:27:45",0.3.85,101000,lumi.54ef4410004b21c8
80,"11/05/2023, 14:47:49",0.3.85,101070,lumi.54ef4410004b21c8
79,"11/05/2023, 15:04:13",0.3.85,101100,lumi.54ef4410004b21c8
78,"11/05/2023, 15:10:24",0.3.85,101070,lumi.54ef4410004b21c8
77,"11/05/2023, 15:12:46",0.1.85,3098,lumi.54ef4410004b21c8
76,"11/05/2023, 15:22:25",0.1.85,3104,lumi.54ef4410004b21c8
75,"11/05/2023, 15:22:25",0.2.85,3574,lumi.54ef4410004b21c8
74,"11/05/2023, 15:22:25",0.3.85,101000,lumi.54ef4410004b21c8
73,"11/05/2023, 16:08:32",0.3.85,101040,lumi.54ef4410004b21c8
72,"11/05/2023, 16:17:06",0.1.85,3114,lumi.54ef4410004b21c8
71,"11/05/2023, 16:17:06",0.2.85,3479,lumi.54ef4410004b21c8
70,"11/05/2023, 16:17:06",0.3.85,101000,lumi.54ef4410004b21c8
69,"11/05/2023, 16:28:58",0.3.85,101010,lumi.54ef4410004b21c8
68,"11/05/2023, 16:37:21",0.3.85,100980,lumi.54ef4410004b21c8
67,"11/05/2023, 16:53:12",0.3.85,101010,lumi.54ef4410004b21c8
66,"11/05/2023, 17:11:46",0.1.85,3056,lumi.54ef4410004b21c8
65,"11/05/2023, 17:11:46",0.2.85,4042,lumi.54ef4410004b21c8
64,"11/05/2023, 17:11:46",0.3.85,100900,lumi.54ef4410004b21c8
63,"11/05/2023, 17:26:01",0.1.85,3047,lumi.54ef4410004b21c8
62,"11/05/2023, 17:42:02",0.2.85,4173,lumi.54ef4410004b21c8
61,"11/05/2023, 17:47:30",0.3.85,101040,lumi.54ef4410004b21c8
60,"11/05/2023, 18:05:32",0.3.85,101070,lumi.54ef4410004b21c8
59,"11/05/2023, 18:06:26",0.1.85,3036,lumi.54ef4410004b21c8
