,timeStamp,resourceId,value,subjectId
17,"11/04/2023, 07:36:55",3.1.85,1,lumi.54ef4410003fd51d
16,"11/04/2023, 07:36:58",3.1.85,0,lumi.54ef4410003fd51d
15,"11/04/2023, 07:39:11",3.1.85,1,lumi.54ef4410003fd51d
14,"11/04/2023, 07:45:22",3.1.85,0,lumi.54ef4410003fd51d
13,"11/04/2023, 07:48:15",3.1.85,1,lumi.54ef4410003fd51d
12,"11/05/2023, 09:43:45",3.1.85,0,lumi.54ef4410003fd51d
11,"11/05/2023, 09:44:25",3.1.85,1,lumi.54ef4410003fd51d
10,"11/05/2023, 09:44:33",3.1.85,0,lumi.54ef4410003fd51d
9,"11/05/2023, 09:45:53",3.1.85,1,lumi.54ef4410003fd51d
8,"11/05/2023, 09:46:41",3.1.85,0,lumi.54ef4410003fd51d
7,"11/05/2023, 09:50:58",3.1.85,1,lumi.54ef4410003fd51d
6,"11/05/2023, 09:51:06",3.1.85,0,lumi.54ef4410003fd51d
5,"11/05/2023, 09:53:12",3.1.85,1,lumi.54ef4410003fd51d
4,"11/05/2023, 09:54:46",3.1.85,0,lumi.54ef4410003fd51d
3,"11/05/2023, 09:56:19",3.1.85,1,lumi.54ef4410003fd51d
2,"11/05/2023, 15:03:26",3.1.85,0,lumi.54ef4410003fd51d
1,"11/05/2023, 15:08:13",3.1.85,1,lumi.54ef4410003fd51d
0,"11/05/2023, 19:37:35",3.1.85,0,lumi.54ef4410003fd51d
