,timeStamp,resourceId,value,subjectId
22,"11/20/2023, 09:33:16",13.1.85,1,lumi.158d0008f34920
21,"11/20/2023, 09:40:24",13.1.85,1,lumi.158d0008f34920
20,"11/20/2023, 10:14:43",13.1.85,1,lumi.158d0008f34920
19,"11/20/2023, 14:10:13",13.1.85,1,lumi.158d0008f34920
18,"11/20/2023, 14:19:59",13.1.85,1,lumi.158d0008f34920
17,"11/20/2023, 18:11:45",13.1.85,1,lumi.158d0008f34920
16,"11/20/2023, 18:46:24",13.1.85,1,lumi.158d0008f34920
15,"11/20/2023, 19:02:27",13.1.85,1,lumi.158d0008f34920
14,"11/20/2023, 19:03:14",13.1.85,2,lumi.158d0008f34920
13,"11/20/2023, 20:58:48",13.1.85,1,lumi.158d0008f34920
12,"11/20/2023, 21:10:48",13.1.85,2,lumi.158d0008f34920
11,"11/20/2023, 21:10:51",13.1.85,1,lumi.158d0008f34920
10,"11/20/2023, 21:23:56",13.1.85,2,lumi.158d0008f34920
9,"11/20/2023, 21:57:46",13.1.85,1,lumi.158d0008f34920
8,"11/20/2023, 21:59:13",13.1.85,1,lumi.158d0008f34920
7,"11/20/2023, 22:22:01",13.1.85,1,lumi.158d0008f34920
6,"11/20/2023, 23:12:48",13.1.85,1,lumi.158d0008f34920
5,"11/20/2023, 23:30:36",13.1.85,1,lumi.158d0008f34920
4,"11/21/2023, 08:04:09",13.1.85,1,lumi.158d0008f34920
3,"11/21/2023, 20:50:11",13.1.85,1,lumi.158d0008f34920
2,"11/21/2023, 20:51:13",13.1.85,1,lumi.158d0008f34920
1,"11/21/2023, 22:07:57",13.1.85,1,lumi.158d0008f34920
0,"11/21/2023, 22:30:22",13.1.85,1,lumi.158d0008f34920
