,timeStamp,resourceId,value,subjectId
185,"11/28/2023, 00:03:40",3.1.85,1,lumi.54ef44100051b1dc
184,"11/28/2023, 00:10:25",3.1.85,1,lumi.54ef44100051b1dc
183,"11/28/2023, 00:14:00",3.1.85,1,lumi.54ef44100051b1dc
182,"11/28/2023, 00:16:10",3.1.85,1,lumi.54ef44100051b1dc
181,"11/28/2023, 00:18:25",3.1.85,1,lumi.54ef44100051b1dc
180,"11/28/2023, 00:20:05",3.1.85,1,lumi.54ef44100051b1dc
179,"11/28/2023, 00:23:59",3.1.85,1,lumi.54ef44100051b1dc
178,"11/28/2023, 00:27:22",3.1.85,1,lumi.54ef44100051b1dc
177,"11/28/2023, 00:29:05",3.1.85,1,lumi.54ef44100051b1dc
176,"11/28/2023, 00:30:17",3.1.85,1,lumi.54ef44100051b1dc
175,"11/28/2023, 00:31:16",3.1.85,1,lumi.54ef44100051b1dc
174,"11/28/2023, 00:33:03",3.1.85,1,lumi.54ef44100051b1dc
173,"11/28/2023, 00:36:45",3.1.85,1,lumi.54ef44100051b1dc
172,"11/28/2023, 00:40:37",3.1.85,1,lumi.54ef44100051b1dc
171,"11/28/2023, 01:03:46",3.1.85,1,lumi.54ef44100051b1dc
170,"11/28/2023, 01:18:16",3.1.85,1,lumi.54ef44100051b1dc
169,"11/28/2023, 01:28:17",3.1.85,1,lumi.54ef44100051b1dc
168,"11/28/2023, 01:30:07",3.1.85,1,lumi.54ef44100051b1dc
167,"11/28/2023, 01:41:44",3.1.85,1,lumi.54ef44100051b1dc
166,"11/28/2023, 02:14:59",3.1.85,1,lumi.54ef44100051b1dc
165,"11/28/2023, 02:45:27",3.1.85,1,lumi.54ef44100051b1dc
164,"11/28/2023, 03:00:16",3.1.85,1,lumi.54ef44100051b1dc
163,"11/28/2023, 03:22:03",3.1.85,1,lumi.54ef44100051b1dc
162,"11/28/2023, 04:28:35",3.1.85,1,lumi.54ef44100051b1dc
161,"11/28/2023, 04:48:19",3.1.85,1,lumi.54ef44100051b1dc
160,"11/28/2023, 05:34:22",3.1.85,1,lumi.54ef44100051b1dc
159,"11/28/2023, 05:37:46",3.1.85,1,lumi.54ef44100051b1dc
158,"11/28/2023, 05:46:05",3.1.85,1,lumi.54ef44100051b1dc
157,"11/28/2023, 06:41:11",3.1.85,1,lumi.54ef44100051b1dc
156,"11/28/2023, 06:44:32",3.1.85,1,lumi.54ef44100051b1dc
155,"11/28/2023, 06:49:06",3.1.85,1,lumi.54ef44100051b1dc
154,"11/28/2023, 06:53:21",3.1.85,1,lumi.54ef44100051b1dc
153,"11/28/2023, 06:54:29",3.1.85,1,lumi.54ef44100051b1dc
152,"11/28/2023, 06:56:02",3.1.85,1,lumi.54ef44100051b1dc
151,"11/28/2023, 06:59:05",3.1.85,1,lumi.54ef44100051b1dc
150,"11/28/2023, 07:01:39",3.1.85,1,lumi.54ef44100051b1dc
149,"11/28/2023, 07:03:21",3.1.85,1,lumi.54ef44100051b1dc
148,"11/28/2023, 07:04:33",3.1.85,1,lumi.54ef44100051b1dc
147,"11/28/2023, 07:11:14",3.1.85,1,lumi.54ef44100051b1dc
146,"11/28/2023, 07:18:42",3.1.85,1,lumi.54ef44100051b1dc
145,"11/28/2023, 07:21:42",3.1.85,1,lumi.54ef44100051b1dc
144,"11/28/2023, 07:24:27",3.1.85,1,lumi.54ef44100051b1dc
143,"11/28/2023, 07:28:15",3.1.85,1,lumi.54ef44100051b1dc
142,"11/28/2023, 07:30:10",3.1.85,1,lumi.54ef44100051b1dc
