,timeStamp,resourceId,value,subjectId
11,"12/18/2023, 08:31:58",3.1.85,1,lumi.54ef4410003fe7bf
10,"12/18/2023, 08:32:19",3.1.85,0,lumi.54ef4410003fe7bf
9,"12/18/2023, 18:37:45",3.1.85,1,lumi.54ef4410003fe7bf
8,"12/18/2023, 18:39:34",3.1.85,0,lumi.54ef4410003fe7bf
7,"12/18/2023, 18:59:05",3.1.85,1,lumi.54ef4410003fe7bf
6,"12/18/2023, 18:59:29",3.1.85,0,lumi.54ef4410003fe7bf
5,"12/18/2023, 21:18:25",3.1.85,1,lumi.54ef4410003fe7bf
4,"12/18/2023, 21:18:34",3.1.85,0,lumi.54ef4410003fe7bf
3,"12/19/2023, 08:34:17",3.1.85,1,lumi.54ef4410003fe7bf
2,"12/19/2023, 08:35:15",3.1.85,0,lumi.54ef4410003fe7bf
1,"12/19/2023, 21:37:33",3.1.85,1,lumi.54ef4410003fe7bf
0,"12/19/2023, 21:47:54",3.1.85,0,lumi.54ef4410003fe7bf
