,timeStamp,resourceId,value,subjectId
21,"12/29/2023, 00:43:08",0.3.85,148,lumi.54ef44100065d74a
20,"12/29/2023, 01:29:55",0.3.85,15,lumi.54ef44100065d74a
19,"12/29/2023, 01:30:00",0.3.85,2,lumi.54ef44100065d74a
18,"12/29/2023, 01:37:52",0.3.85,0,lumi.54ef44100065d74a
17,"12/29/2023, 02:32:37",0.3.85,0,lumi.54ef44100065d74a
16,"12/29/2023, 03:27:22",0.3.85,0,lumi.54ef44100065d74a
15,"12/29/2023, 04:22:06",0.3.85,0,lumi.54ef44100065d74a
14,"12/29/2023, 05:16:51",0.3.85,0,lumi.54ef44100065d74a
13,"12/29/2023, 06:11:35",0.3.85,0,lumi.54ef44100065d74a
12,"12/29/2023, 07:06:20",0.3.85,0,lumi.54ef44100065d74a
11,"12/29/2023, 07:49:03",0.3.85,144,lumi.54ef44100065d74a
10,"12/29/2023, 07:49:13",0.3.85,170,lumi.54ef44100065d74a
9,"12/29/2023, 08:01:04",0.3.85,162,lumi.54ef44100065d74a
8,"12/29/2023, 08:24:33",0.3.85,144,lumi.54ef44100065d74a
7,"12/29/2023, 08:29:27",0.3.85,17,lumi.54ef44100065d74a
6,"12/29/2023, 08:29:32",0.3.85,3,lumi.54ef44100065d74a
5,"12/29/2023, 08:55:49",0.3.85,6,lumi.54ef44100065d74a
4,"12/29/2023, 09:41:36",0.3.85,10,lumi.54ef44100065d74a
3,"12/29/2023, 09:50:33",0.3.85,12,lumi.54ef44100065d74a
2,"12/29/2023, 10:45:18",0.3.85,15,lumi.54ef44100065d74a
1,"12/29/2023, 11:24:37",0.3.85,17,lumi.54ef44100065d74a
0,"12/29/2023, 11:40:02",0.3.85,23,lumi.54ef44100065d74a
