,timeStamp,resourceId,value,subjectId
10,"01/01/2024, 07:19:38",13.1.85,1,lumi.158d0008f34ed7
9,"01/01/2024, 08:20:34",13.1.85,2,lumi.158d0008f34ed7
8,"01/01/2024, 08:27:11",13.1.85,1,lumi.158d0008f34ed7
7,"01/01/2024, 08:29:15",13.1.85,1,lumi.158d0008f34ed7
6,"01/01/2024, 22:00:50",13.1.85,2,lumi.158d0008f34ed7
5,"01/01/2024, 23:04:52",13.1.85,1,lumi.158d0008f34ed7
4,"01/01/2024, 23:08:14",13.1.85,1,lumi.158d0008f34ed7
3,"01/01/2024, 23:13:43",13.1.85,1,lumi.158d0008f34ed7
2,"01/02/2024, 00:22:58",13.1.85,1,lumi.158d0008f34ed7
1,"01/02/2024, 00:35:26",13.1.85,1,lumi.158d0008f34ed7
0,"01/02/2024, 07:53:18",13.1.85,1,lumi.158d0008f34ed7
