,timeStamp,resourceId,value,subjectId
9,"01/01/2024, 07:16:20",13.1.85,1,lumi.158d0008f34bfe
8,"01/01/2024, 07:16:36",13.1.85,2,lumi.158d0008f34bfe
7,"01/01/2024, 23:06:04",13.1.85,1,lumi.158d0008f34bfe
6,"01/01/2024, 23:06:17",13.1.85,2,lumi.158d0008f34bfe
5,"01/02/2024, 00:17:56",13.1.85,1,lumi.158d0008f34bfe
4,"01/02/2024, 23:29:34",13.1.85,1,lumi.158d0008f34bfe
3,"01/02/2024, 23:30:07",13.1.85,2,lumi.158d0008f34bfe
2,"01/02/2024, 23:30:31",13.1.85,1,lumi.158d0008f34bfe
1,"01/02/2024, 23:35:17",13.1.85,1,lumi.158d0008f34bfe
0,"01/02/2024, 23:35:23",13.1.85,2,lumi.158d0008f34bfe
