,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
305,,0.2.85,"08/18/2023, 00:30:00",5777.0,lumi.54ef4410004b0b00,3,"08/18/2023, 00:00:00"
304,,0.1.85,"08/18/2023, 00:30:00",2700.666667,lumi.54ef4410004b0b00,3,"08/18/2023, 00:00:00"
303,,0.3.85,"08/18/2023, 00:30:00",100650.0,lumi.54ef4410004b0b00,3,"08/18/2023, 00:00:00"
302,"08/18/2023, 00:26:39",0.1.85,"08/18/2023, 00:30:00",2753.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 00:00:00"
301,"08/18/2023, 00:18:28",0.2.85,"08/18/2023, 00:30:00",6078.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 00:00:00"
300,"08/18/2023, 00:19:34",0.3.85,"08/18/2023, 00:30:00",100650.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 00:00:00"
299,"08/18/2023, 00:19:34",0.3.85,"08/18/2023, 00:30:00",100650.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 00:00:00"
298,"08/18/2023, 00:15:34",0.1.85,"08/18/2023, 00:30:00",2649.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 00:00:00"
297,"08/18/2023, 00:07:55",0.2.85,"08/18/2023, 00:30:00",5476.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 00:00:00"
296,,0.2.85,"08/18/2023, 01:00:00",5859.714286,lumi.54ef4410004b0b00,3,"08/18/2023, 00:30:00"
295,,0.1.85,"08/18/2023, 01:00:00",2633.25,lumi.54ef4410004b0b00,3,"08/18/2023, 00:30:00"
294,,0.3.85,"08/18/2023, 01:00:00",100600.0,lumi.54ef4410004b0b00,3,"08/18/2023, 00:30:00"
293,"08/18/2023, 00:31:45",0.1.85,"08/18/2023, 01:00:00",2697.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 00:30:00"
292,"08/18/2023, 00:51:13",0.2.85,"08/18/2023, 01:00:00",6321.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 00:30:00"
291,"08/18/2023, 00:51:13",0.3.85,"08/18/2023, 01:00:00",100600.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 00:30:00"
290,"08/18/2023, 00:51:13",0.3.85,"08/18/2023, 01:00:00",100600.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 00:30:00"
289,"08/18/2023, 00:45:56",0.1.85,"08/18/2023, 01:00:00",2589.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 00:30:00"
288,"08/18/2023, 00:43:23",0.2.85,"08/18/2023, 01:00:00",5456.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 00:30:00"
287,,0.2.85,"08/18/2023, 01:30:00",6033.833333,lumi.54ef4410004b0b00,3,"08/18/2023, 01:00:00"
286,,0.1.85,"08/18/2023, 01:30:00",2563.5,lumi.54ef4410004b0b00,3,"08/18/2023, 01:00:00"
285,"08/18/2023, 01:27:59",0.1.85,"08/18/2023, 01:30:00",2589.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 01:00:00"
284,"08/18/2023, 01:26:32",0.2.85,"08/18/2023, 01:30:00",6764.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 01:00:00"
283,"08/18/2023, 01:20:21",0.1.85,"08/18/2023, 01:30:00",2538.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 01:00:00"
282,"08/18/2023, 01:07:15",0.2.85,"08/18/2023, 01:30:00",5488.000000,lumi.54ef4410004b0b00,1,"08/18/2023, 01:00:00"
281,,0.2.85,"08/18/2023, 02:00:00",6270.0,lumi.54ef4410004b0b00,3,"08/18/2023, 01:30:00"
280,,0.1.85,"08/18/2023, 02:00:00",2557.0,lumi.54ef4410004b0b00,3,"08/18/2023, 01:30:00"
279,,0.3.85,"08/18/2023, 02:00:00",100640.0,lumi.54ef4410004b0b00,3,"08/18/2023, 01:30:00"
278,"08/18/2023, 01:45:48",0.1.85,"08/18/2023, 02:00:00",2557.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 01:30:00"
277,"08/18/2023, 01:39:16",0.2.85,"08/18/2023, 02:00:00",6769.000000,lumi.54ef4410004b0b00,2,"08/18/2023, 01:30:00"
