,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
218,,0.3.85,"08/31/2023, 01:00:00",244.0,lumi.54ef44100065d162,3,"08/31/2023, 00:30:00"
217,"08/31/2023, 00:30:59",0.3.85,"08/31/2023, 01:00:00",244.000000,lumi.54ef44100065d162,2,"08/31/2023, 00:30:00"
216,"08/31/2023, 00:30:59",0.3.85,"08/31/2023, 01:00:00",244.000000,lumi.54ef44100065d162,1,"08/31/2023, 00:30:00"
215,,0.3.85,"08/31/2023, 02:00:00",219.5,lumi.54ef44100065d162,3,"08/31/2023, 01:30:00"
214,"08/31/2023, 01:59:46",0.3.85,"08/31/2023, 02:00:00",238.000000,lumi.54ef44100065d162,2,"08/31/2023, 01:30:00"
213,"08/31/2023, 01:59:41",0.3.85,"08/31/2023, 02:00:00",201.000000,lumi.54ef44100065d162,1,"08/31/2023, 01:30:00"
212,,0.3.85,"08/31/2023, 02:30:00",165.25,lumi.54ef44100065d162,3,"08/31/2023, 02:00:00"
211,"08/31/2023, 02:20:42",0.3.85,"08/31/2023, 02:30:00",248.000000,lumi.54ef44100065d162,2,"08/31/2023, 02:00:00"
210,"08/31/2023, 02:04:05",0.3.85,"08/31/2023, 02:30:00",81.000000,lumi.54ef44100065d162,1,"08/31/2023, 02:00:00"
209,,0.3.85,"08/31/2023, 03:00:00",0.0,lumi.54ef44100065d162,3,"08/31/2023, 02:30:00"
208,"08/31/2023, 02:32:02",0.3.85,"08/31/2023, 03:00:00",0.000000,lumi.54ef44100065d162,2,"08/31/2023, 02:30:00"
207,"08/31/2023, 02:32:02",0.3.85,"08/31/2023, 03:00:00",0.000000,lumi.54ef44100065d162,1,"08/31/2023, 02:30:00"
206,,0.3.85,"08/31/2023, 05:30:00",0.0,lumi.54ef44100065d162,3,"08/31/2023, 05:00:00"
205,"08/31/2023, 05:05:15",0.3.85,"08/31/2023, 05:30:00",0.000000,lumi.54ef44100065d162,2,"08/31/2023, 05:00:00"
204,"08/31/2023, 05:05:15",0.3.85,"08/31/2023, 05:30:00",0.000000,lumi.54ef44100065d162,1,"08/31/2023, 05:00:00"
203,,0.3.85,"08/31/2023, 06:30:00",8.0,lumi.54ef44100065d162,3,"08/31/2023, 06:00:00"
202,"08/31/2023, 06:28:13",0.3.85,"08/31/2023, 06:30:00",24.000000,lumi.54ef44100065d162,2,"08/31/2023, 06:00:00"
201,"08/31/2023, 06:00:07",0.3.85,"08/31/2023, 06:30:00",0.000000,lumi.54ef44100065d162,1,"08/31/2023, 06:00:00"
200,,0.3.85,"08/31/2023, 07:30:00",6.0,lumi.54ef44100065d162,3,"08/31/2023, 07:00:00"
199,"08/31/2023, 07:23:19",0.3.85,"08/31/2023, 07:30:00",6.000000,lumi.54ef44100065d162,2,"08/31/2023, 07:00:00"
198,"08/31/2023, 07:23:19",0.3.85,"08/31/2023, 07:30:00",6.000000,lumi.54ef44100065d162,1,"08/31/2023, 07:00:00"
197,,0.3.85,"08/31/2023, 09:00:00",13.0,lumi.54ef44100065d162,3,"08/31/2023, 08:30:00"
196,"08/31/2023, 08:42:36",0.3.85,"08/31/2023, 09:00:00",13.000000,lumi.54ef44100065d162,2,"08/31/2023, 08:30:00"
195,"08/31/2023, 08:42:36",0.3.85,"08/31/2023, 09:00:00",13.000000,lumi.54ef44100065d162,1,"08/31/2023, 08:30:00"
194,,0.3.85,"08/31/2023, 10:30:00",46.1,lumi.54ef44100065d162,3,"08/31/2023, 10:00:00"
193,"08/31/2023, 10:27:10",0.3.85,"08/31/2023, 10:30:00",79.000000,lumi.54ef44100065d162,2,"08/31/2023, 10:00:00"
192,"08/31/2023, 10:15:57",0.3.85,"08/31/2023, 10:30:00",20.000000,lumi.54ef44100065d162,1,"08/31/2023, 10:00:00"
191,,0.3.85,"08/31/2023, 11:00:00",38.0,lumi.54ef44100065d162,3,"08/31/2023, 10:30:00"
190,"08/31/2023, 10:32:59",0.3.85,"08/31/2023, 11:00:00",49.000000,lumi.54ef44100065d162,2,"08/31/2023, 10:30:00"
189,"08/31/2023, 10:58:26",0.3.85,"08/31/2023, 11:00:00",25.000000,lumi.54ef44100065d162,1,"08/31/2023, 10:30:00"
188,,0.3.85,"08/31/2023, 11:30:00",32.25,lumi.54ef44100065d162,3,"08/31/2023, 11:00:00"
187,"08/31/2023, 11:12:13",0.3.85,"08/31/2023, 11:30:00",42.000000,lumi.54ef44100065d162,2,"08/31/2023, 11:00:00"
186,"08/31/2023, 11:06:54",0.3.85,"08/31/2023, 11:30:00",24.000000,lumi.54ef44100065d162,1,"08/31/2023, 11:00:00"
185,,0.3.85,"08/31/2023, 12:30:00",51.0,lumi.54ef44100065d162,3,"08/31/2023, 12:00:00"
184,"08/31/2023, 12:22:42",0.3.85,"08/31/2023, 12:30:00",58.000000,lumi.54ef44100065d162,2,"08/31/2023, 12:00:00"
183,"08/31/2023, 12:02:31",0.3.85,"08/31/2023, 12:30:00",42.000000,lumi.54ef44100065d162,1,"08/31/2023, 12:00:00"
182,,0.3.85,"08/31/2023, 13:00:00",62.296296,lumi.54ef44100065d162,3,"08/31/2023, 12:30:00"
181,"08/31/2023, 12:57:37",0.3.85,"08/31/2023, 13:00:00",89.000000,lumi.54ef44100065d162,2,"08/31/2023, 12:30:00"
180,"08/31/2023, 12:31:02",0.3.85,"08/31/2023, 13:00:00",42.000000,lumi.54ef44100065d162,1,"08/31/2023, 12:30:00"
179,,0.3.85,"08/31/2023, 13:30:00",85.518519,lumi.54ef44100065d162,3,"08/31/2023, 13:00:00"
178,"08/31/2023, 13:27:04",0.3.85,"08/31/2023, 13:30:00",158.000000,lumi.54ef44100065d162,2,"08/31/2023, 13:00:00"
177,"08/31/2023, 13:00:42",0.3.85,"08/31/2023, 13:30:00",47.000000,lumi.54ef44100065d162,1,"08/31/2023, 13:00:00"
176,,0.3.85,"08/31/2023, 14:00:00",124.351852,lumi.54ef44100065d162,3,"08/31/2023, 13:30:00"
175,"08/31/2023, 13:56:39",0.3.85,"08/31/2023, 14:00:00",255.000000,lumi.54ef44100065d162,2,"08/31/2023, 13:30:00"
174,"08/31/2023, 13:30:33",0.3.85,"08/31/2023, 14:00:00",37.000000,lumi.54ef44100065d162,1,"08/31/2023, 13:30:00"
173,,0.3.85,"08/31/2023, 14:30:00",138.290076,lumi.54ef44100065d162,3,"08/31/2023, 14:00:00"
172,"08/31/2023, 14:25:01",0.3.85,"08/31/2023, 14:30:00",341.000000,lumi.54ef44100065d162,2,"08/31/2023, 14:00:00"
171,"08/31/2023, 14:25:56",0.3.85,"08/31/2023, 14:30:00",36.000000,lumi.54ef44100065d162,1,"08/31/2023, 14:00:00"
170,,0.3.85,"08/31/2023, 15:00:00",137.772727,lumi.54ef44100065d162,3,"08/31/2023, 14:30:00"
169,"08/31/2023, 14:34:54",0.3.85,"08/31/2023, 15:00:00",293.000000,lumi.54ef44100065d162,2,"08/31/2023, 14:30:00"
168,"08/31/2023, 14:33:04",0.3.85,"08/31/2023, 15:00:00",37.000000,lumi.54ef44100065d162,1,"08/31/2023, 14:30:00"
167,,0.3.85,"08/31/2023, 15:30:00",32.0,lumi.54ef44100065d162,3,"08/31/2023, 15:00:00"
166,"08/31/2023, 15:02:54",0.3.85,"08/31/2023, 15:30:00",42.000000,lumi.54ef44100065d162,2,"08/31/2023, 15:00:00"
165,"08/31/2023, 15:18:53",0.3.85,"08/31/2023, 15:30:00",21.000000,lumi.54ef44100065d162,1,"08/31/2023, 15:00:00"
164,,0.3.85,"08/31/2023, 16:00:00",31.5,lumi.54ef44100065d162,3,"08/31/2023, 15:30:00"
163,"08/31/2023, 15:41:53",0.3.85,"08/31/2023, 16:00:00",42.000000,lumi.54ef44100065d162,2,"08/31/2023, 15:30:00"
162,"08/31/2023, 15:59:10",0.3.85,"08/31/2023, 16:00:00",21.000000,lumi.54ef44100065d162,1,"08/31/2023, 15:30:00"
161,,0.3.85,"08/31/2023, 16:30:00",18.0,lumi.54ef44100065d162,3,"08/31/2023, 16:00:00"
160,"08/31/2023, 16:03:51",0.3.85,"08/31/2023, 16:30:00",21.000000,lumi.54ef44100065d162,2,"08/31/2023, 16:00:00"
159,"08/31/2023, 16:01:15",0.3.85,"08/31/2023, 16:30:00",14.000000,lumi.54ef44100065d162,1,"08/31/2023, 16:00:00"
158,,0.3.85,"08/31/2023, 17:00:00",14.0,lumi.54ef44100065d162,3,"08/31/2023, 16:30:00"
