,timeStamp,resourceId,value,subjectId
81,"10/15/2023, 01:37:04",13.1.85,1,lumi.158d0008f3a4dd
80,"10/15/2023, 01:37:07",13.1.85,2,lumi.158d0008f3a4dd
79,"10/15/2023, 01:37:28",13.1.85,2,lumi.158d0008f3a4dd
78,"10/15/2023, 01:39:13",13.1.85,2,lumi.158d0008f3a4dd
77,"10/15/2023, 01:43:30",13.1.85,1,lumi.158d0008f3a4dd
76,"10/15/2023, 01:43:52",13.1.85,2,lumi.158d0008f3a4dd
75,"10/15/2023, 01:55:25",13.1.85,2,lumi.158d0008f3a4dd
74,"10/15/2023, 01:57:28",13.1.85,2,lumi.158d0008f3a4dd
73,"10/15/2023, 02:16:01",13.1.85,1,lumi.158d0008f3a4dd
72,"10/15/2023, 02:33:09",13.1.85,2,lumi.158d0008f3a4dd
71,"10/15/2023, 02:33:43",13.1.85,2,lumi.158d0008f3a4dd
70,"10/15/2023, 02:34:01",13.1.85,1,lumi.158d0008f3a4dd
69,"10/15/2023, 02:50:22",13.1.85,2,lumi.158d0008f3a4dd
68,"10/15/2023, 02:51:01",13.1.85,2,lumi.158d0008f3a4dd
67,"10/15/2023, 02:53:03",13.1.85,2,lumi.158d0008f3a4dd
66,"10/15/2023, 02:54:23",13.1.85,2,lumi.158d0008f3a4dd
65,"10/15/2023, 02:54:40",13.1.85,2,lumi.158d0008f3a4dd
64,"10/15/2023, 02:54:43",13.1.85,2,lumi.158d0008f3a4dd
63,"10/15/2023, 03:00:47",13.1.85,2,lumi.158d0008f3a4dd
62,"10/15/2023, 03:00:48",13.1.85,1,lumi.158d0008f3a4dd
61,"10/15/2023, 03:02:06",13.1.85,1,lumi.158d0008f3a4dd
60,"10/15/2023, 03:02:10",13.1.85,2,lumi.158d0008f3a4dd
59,"10/15/2023, 03:02:54",13.1.85,2,lumi.158d0008f3a4dd
58,"10/15/2023, 03:04:52",13.1.85,2,lumi.158d0008f3a4dd
57,"10/15/2023, 03:24:12",13.1.85,2,lumi.158d0008f3a4dd
56,"10/15/2023, 03:28:29",13.1.85,2,lumi.158d0008f3a4dd
55,"10/15/2023, 03:40:41",13.1.85,2,lumi.158d0008f3a4dd
54,"10/15/2023, 03:51:08",13.1.85,2,lumi.158d0008f3a4dd
53,"10/15/2023, 03:53:23",13.1.85,2,lumi.158d0008f3a4dd
52,"10/15/2023, 04:15:07",13.1.85,2,lumi.158d0008f3a4dd
