,timeStamp,resourceId,value,subjectId
299,"10/15/2023, 02:54:23",3.1.85,1,lumi.54ef44100051af6d
298,"10/15/2023, 02:57:10",3.1.85,1,lumi.54ef44100051af6d
297,"10/15/2023, 02:58:39",3.1.85,1,lumi.54ef44100051af6d
296,"10/15/2023, 02:59:51",3.1.85,1,lumi.54ef44100051af6d
295,"10/15/2023, 03:00:49",3.1.85,1,lumi.54ef44100051af6d
294,"10/15/2023, 03:01:49",3.1.85,1,lumi.54ef44100051af6d
293,"10/15/2023, 03:02:53",3.1.85,1,lumi.54ef44100051af6d
292,"10/15/2023, 03:04:04",3.1.85,1,lumi.54ef44100051af6d
291,"10/15/2023, 03:07:01",3.1.85,1,lumi.54ef44100051af6d
290,"10/15/2023, 03:18:20",3.1.85,1,lumi.54ef44100051af6d
289,"10/15/2023, 03:24:29",3.1.85,1,lumi.54ef44100051af6d
288,"10/15/2023, 03:32:07",3.1.85,1,lumi.54ef44100051af6d
287,"10/15/2023, 03:33:23",3.1.85,1,lumi.54ef44100051af6d
286,"10/15/2023, 03:44:31",3.1.85,1,lumi.54ef44100051af6d
285,"10/15/2023, 03:47:05",3.1.85,1,lumi.54ef44100051af6d
284,"10/15/2023, 03:50:54",3.1.85,1,lumi.54ef44100051af6d
283,"10/15/2023, 03:52:48",3.1.85,1,lumi.54ef44100051af6d
282,"10/15/2023, 03:53:49",3.1.85,1,lumi.54ef44100051af6d
281,"10/15/2023, 03:54:47",3.1.85,1,lumi.54ef44100051af6d
280,"10/15/2023, 03:55:53",3.1.85,1,lumi.54ef44100051af6d
279,"10/15/2023, 03:57:56",3.1.85,1,lumi.54ef44100051af6d
278,"10/15/2023, 04:03:02",3.1.85,1,lumi.54ef44100051af6d
277,"10/15/2023, 04:04:01",3.1.85,1,lumi.54ef44100051af6d
276,"10/15/2023, 04:05:07",3.1.85,1,lumi.54ef44100051af6d
275,"10/15/2023, 04:06:54",3.1.85,1,lumi.54ef44100051af6d
274,"10/15/2023, 04:09:16",3.1.85,1,lumi.54ef44100051af6d
273,"10/15/2023, 04:10:15",3.1.85,1,lumi.54ef44100051af6d
272,"10/15/2023, 04:11:15",3.1.85,1,lumi.54ef44100051af6d
271,"10/15/2023, 04:12:27",3.1.85,1,lumi.54ef44100051af6d
270,"10/15/2023, 04:13:35",3.1.85,1,lumi.54ef44100051af6d
269,"10/15/2023, 04:14:41",3.1.85,1,lumi.54ef44100051af6d
268,"10/15/2023, 04:24:10",3.1.85,1,lumi.54ef44100051af6d
267,"10/15/2023, 07:01:31",3.1.85,1,lumi.54ef44100051af6d
266,"10/15/2023, 07:33:06",3.1.85,1,lumi.54ef44100051af6d
265,"10/15/2023, 07:34:20",3.1.85,1,lumi.54ef44100051af6d
264,"10/15/2023, 07:35:33",3.1.85,1,lumi.54ef44100051af6d
263,"10/15/2023, 07:36:31",3.1.85,1,lumi.54ef44100051af6d
262,"10/15/2023, 07:43:54",3.1.85,1,lumi.54ef44100051af6d
261,"10/15/2023, 07:45:04",3.1.85,1,lumi.54ef44100051af6d
260,"10/15/2023, 09:29:37",3.1.85,1,lumi.54ef44100051af6d
259,"10/15/2023, 09:30:43",3.1.85,1,lumi.54ef44100051af6d
258,"10/15/2023, 09:31:47",3.1.85,1,lumi.54ef44100051af6d
257,"10/15/2023, 09:32:53",3.1.85,1,lumi.54ef44100051af6d
256,"10/15/2023, 09:36:54",3.1.85,1,lumi.54ef44100051af6d
255,"10/15/2023, 09:37:52",3.1.85,1,lumi.54ef44100051af6d
254,"10/15/2023, 09:39:48",3.1.85,1,lumi.54ef44100051af6d
253,"10/15/2023, 09:44:17",3.1.85,1,lumi.54ef44100051af6d
252,"10/15/2023, 09:45:16",3.1.85,1,lumi.54ef44100051af6d
251,"10/15/2023, 13:57:17",3.1.85,1,lumi.54ef44100051af6d
250,"10/15/2023, 14:05:49",3.1.85,1,lumi.54ef44100051af6d
249,"10/15/2023, 14:12:29",3.1.85,1,lumi.54ef44100051af6d
248,"10/15/2023, 14:17:21",3.1.85,1,lumi.54ef44100051af6d
247,"10/15/2023, 14:20:51",3.1.85,1,lumi.54ef44100051af6d
246,"10/15/2023, 15:44:22",3.1.85,1,lumi.54ef44100051af6d
245,"10/15/2023, 15:45:52",3.1.85,1,lumi.54ef44100051af6d
244,"10/15/2023, 15:46:51",3.1.85,1,lumi.54ef44100051af6d
243,"10/15/2023, 16:24:42",3.1.85,1,lumi.54ef44100051af6d
242,"10/15/2023, 16:25:44",3.1.85,1,lumi.54ef44100051af6d
241,"10/15/2023, 16:26:43",3.1.85,1,lumi.54ef44100051af6d
240,"10/15/2023, 16:27:54",3.1.85,1,lumi.54ef44100051af6d
239,"10/15/2023, 17:07:51",3.1.85,1,lumi.54ef44100051af6d
238,"10/15/2023, 17:08:59",3.1.85,1,lumi.54ef44100051af6d
237,"10/15/2023, 17:10:12",3.1.85,1,lumi.54ef44100051af6d
236,"10/15/2023, 17:11:14",3.1.85,1,lumi.54ef44100051af6d
235,"10/15/2023, 17:12:19",3.1.85,1,lumi.54ef44100051af6d
234,"10/15/2023, 17:13:20",3.1.85,1,lumi.54ef44100051af6d
233,"10/15/2023, 17:14:20",3.1.85,1,lumi.54ef44100051af6d
232,"10/15/2023, 17:15:59",3.1.85,1,lumi.54ef44100051af6d
231,"10/15/2023, 17:17:02",3.1.85,1,lumi.54ef44100051af6d
230,"10/15/2023, 17:18:21",3.1.85,1,lumi.54ef44100051af6d
