,timeStamp,resourceId,value,subjectId
105,"11/08/2023, 12:05:55",0.3.85,23,lumi.54ef44100065d162
104,"11/08/2023, 12:15:35",0.3.85,31,lumi.54ef44100065d162
103,"11/08/2023, 12:18:19",0.3.85,38,lumi.54ef44100065d162
102,"11/08/2023, 12:23:58",0.3.85,28,lumi.54ef44100065d162
101,"11/08/2023, 12:28:07",0.3.85,35,lumi.54ef44100065d162
100,"11/08/2023, 12:29:52",0.3.85,42,lumi.54ef44100065d162
99,"11/08/2023, 12:31:31",0.3.85,49,lumi.54ef44100065d162
98,"11/08/2023, 12:33:16",0.3.85,58,lumi.54ef44100065d162
97,"11/08/2023, 12:39:19",0.3.85,70,lumi.54ef44100065d162
96,"11/08/2023, 12:40:44",0.3.85,83,lumi.54ef44100065d162
95,"11/08/2023, 12:44:28",0.3.85,98,lumi.54ef44100065d162
94,"11/08/2023, 12:59:25",0.3.85,116,lumi.54ef44100065d162
93,"11/08/2023, 13:00:45",0.3.85,115,lumi.54ef44100065d162
92,"11/08/2023, 13:08:10",0.3.85,93,lumi.54ef44100065d162
91,"11/08/2023, 13:08:15",0.3.85,68,lumi.54ef44100065d162
90,"11/08/2023, 13:08:25",0.3.85,88,lumi.54ef44100065d162
89,"11/08/2023, 13:08:35",0.3.85,117,lumi.54ef44100065d162
88,"11/08/2023, 13:09:25",0.3.85,138,lumi.54ef44100065d162
87,"11/08/2023, 13:11:29",0.3.85,117,lumi.54ef44100065d162
86,"11/08/2023, 13:11:39",0.3.85,86,lumi.54ef44100065d162
85,"11/08/2023, 13:11:49",0.3.85,117,lumi.54ef44100065d162
84,"11/08/2023, 13:11:59",0.3.85,144,lumi.54ef44100065d162
83,"11/08/2023, 13:13:14",0.3.85,98,lumi.54ef44100065d162
82,"11/08/2023, 13:13:29",0.3.85,127,lumi.54ef44100065d162
81,"11/08/2023, 13:14:19",0.3.85,151,lumi.54ef44100065d162
80,"11/08/2023, 13:19:47",0.3.85,178,lumi.54ef44100065d162
79,"11/08/2023, 13:20:47",0.3.85,149,lumi.54ef44100065d162
78,"11/08/2023, 13:21:07",0.3.85,122,lumi.54ef44100065d162
77,"11/08/2023, 13:21:47",0.3.85,147,lumi.54ef44100065d162
76,"11/08/2023, 13:22:07",0.3.85,174,lumi.54ef44100065d162
75,"11/08/2023, 13:23:27",0.3.85,145,lumi.54ef44100065d162
74,"11/08/2023, 13:24:12",0.3.85,123,lumi.54ef44100065d162
73,"11/08/2023, 13:24:46",0.3.85,104,lumi.54ef44100065d162
72,"11/08/2023, 13:25:06",0.3.85,124,lumi.54ef44100065d162
71,"11/08/2023, 13:25:46",0.3.85,147,lumi.54ef44100065d162
70,"11/08/2023, 13:27:21",0.3.85,174,lumi.54ef44100065d162
69,"11/08/2023, 13:32:30",0.3.85,205,lumi.54ef44100065d162
68,"11/08/2023, 13:43:52",0.3.85,171,lumi.54ef44100065d162
67,"11/08/2023, 13:44:12",0.3.85,205,lumi.54ef44100065d162
66,"11/08/2023, 13:52:45",0.3.85,243,lumi.54ef44100065d162
65,"11/08/2023, 13:55:35",0.3.85,269,lumi.54ef44100065d162
64,"11/08/2023, 13:59:41",0.3.85,206,lumi.54ef44100065d162
63,"11/08/2023, 14:00:05",0.3.85,248,lumi.54ef44100065d162
62,"11/08/2023, 14:01:10",0.3.85,210,lumi.54ef44100065d162
61,"11/08/2023, 14:01:40",0.3.85,176,lumi.54ef44100065d162
60,"11/08/2023, 14:03:10",0.3.85,214,lumi.54ef44100065d162
59,"11/08/2023, 14:05:29",0.3.85,252,lumi.54ef44100065d162
58,"11/08/2023, 14:12:53",0.3.85,214,lumi.54ef44100065d162
57,"11/08/2023, 14:20:51",0.3.85,179,lumi.54ef44100065d162
56,"11/08/2023, 14:23:00",0.3.85,211,lumi.54ef44100065d162
55,"11/08/2023, 14:24:25",0.3.85,250,lumi.54ef44100065d162
54,"11/08/2023, 14:30:09",0.3.85,295,lumi.54ef44100065d162
53,"11/08/2023, 14:36:47",0.3.85,249,lumi.54ef44100065d162
52,"11/08/2023, 14:38:32",0.3.85,204,lumi.54ef44100065d162
51,"11/08/2023, 14:40:46",0.3.85,167,lumi.54ef44100065d162
50,"11/08/2023, 14:45:00",0.3.85,141,lumi.54ef44100065d162
49,"11/08/2023, 14:46:10",0.3.85,119,lumi.54ef44100065d162
48,"11/08/2023, 14:47:25",0.3.85,101,lumi.54ef44100065d162
47,"11/08/2023, 14:48:55",0.3.85,85,lumi.54ef44100065d162
46,"11/08/2023, 14:50:04",0.3.85,72,lumi.54ef44100065d162
45,"11/08/2023, 14:50:24",0.3.85,69,lumi.54ef44100065d162
44,"11/08/2023, 14:51:01",0.3.85,61,lumi.54ef44100065d162
43,"11/08/2023, 14:52:01",0.3.85,50,lumi.54ef44100065d162
42,"11/08/2023, 14:52:56",0.3.85,43,lumi.54ef44100065d162
41,"11/08/2023, 14:53:51",0.3.85,36,lumi.54ef44100065d162
40,"11/08/2023, 14:54:55",0.3.85,29,lumi.54ef44100065d162
39,"11/08/2023, 14:56:50",0.3.85,22,lumi.54ef44100065d162
38,"11/08/2023, 15:00:14",0.3.85,15,lumi.54ef44100065d162
37,"11/08/2023, 15:45:14",0.3.85,14,lumi.54ef44100065d162
36,"11/08/2023, 16:08:11",0.3.85,8,lumi.54ef44100065d162
35,"11/08/2023, 16:40:04",0.3.85,6,lumi.54ef44100065d162
34,"11/08/2023, 17:10:29",0.3.85,1,lumi.54ef44100065d162
33,"11/08/2023, 18:29:43",0.3.85,0,lumi.54ef44100065d162
32,"11/08/2023, 19:24:32",0.3.85,0,lumi.54ef44100065d162
31,"11/08/2023, 21:14:11",0.3.85,0,lumi.54ef44100065d162
30,"11/08/2023, 22:09:00",0.3.85,0,lumi.54ef44100065d162
29,"11/08/2023, 22:29:52",0.3.85,90,lumi.54ef44100065d162
28,"11/08/2023, 22:30:02",0.3.85,45,lumi.54ef44100065d162
27,"11/08/2023, 22:30:07",0.3.85,112,lumi.54ef44100065d162
26,"11/08/2023, 22:30:12",0.3.85,40,lumi.54ef44100065d162
25,"11/08/2023, 22:30:17",0.3.85,136,lumi.54ef44100065d162
24,"11/08/2023, 22:30:22",0.3.85,164,lumi.54ef44100065d162
23,"11/08/2023, 22:31:07",0.3.85,125,lumi.54ef44100065d162
