,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
15,,0.13.85,"08/07/2023, 00:00:00",3.67,lumi.54ef44100062a003,0,"08/07/2023, 00:00:00"
14,,0.13.85,"08/07/2023, 05:00:00",42.06,lumi.54ef44100062a003,0,"08/07/2023, 00:30:00"
13,,0.13.85,"08/07/2023, 10:00:00",42.629999999999995,lumi.54ef44100062a003,0,"08/07/2023, 05:30:00"
12,,0.13.85,"08/07/2023, 15:00:00",44.55,lumi.54ef44100062a003,0,"08/07/2023, 10:30:00"
11,,0.13.85,"08/07/2023, 20:00:00",43.72,lumi.54ef44100062a003,0,"08/07/2023, 15:30:00"
10,,0.13.85,"08/08/2023, 01:00:00",41.43,lumi.54ef44100062a003,0,"08/07/2023, 20:30:00"
9,,0.13.85,"08/08/2023, 06:00:00",41.89,lumi.54ef44100062a003,0,"08/08/2023, 01:30:00"
8,,0.13.85,"08/08/2023, 11:00:00",42.410000000000004,lumi.54ef44100062a003,0,"08/08/2023, 06:30:00"
7,,0.13.85,"08/08/2023, 16:00:00",41.519999999999996,lumi.54ef44100062a003,0,"08/08/2023, 11:30:00"
6,,0.13.85,"08/08/2023, 21:00:00",41.78,lumi.54ef44100062a003,0,"08/08/2023, 16:30:00"
5,,0.13.85,"08/09/2023, 02:00:00",42.209999999999994,lumi.54ef44100062a003,0,"08/08/2023, 21:30:00"
4,,0.13.85,"08/09/2023, 07:00:00",42.349999999999994,lumi.54ef44100062a003,0,"08/09/2023, 02:30:00"
3,,0.13.85,"08/09/2023, 12:00:00",43.31,lumi.54ef44100062a003,0,"08/09/2023, 07:30:00"
2,,0.13.85,"08/09/2023, 17:00:00",44.760000000000005,lumi.54ef44100062a003,0,"08/09/2023, 12:30:00"
1,,0.13.85,"08/09/2023, 22:00:00",44.31999999999999,lumi.54ef44100062a003,0,"08/09/2023, 17:30:00"
0,,0.13.85,"08/10/2023, 00:00:00",17.78,lumi.54ef44100062a003,0,"08/09/2023, 22:30:00"
