,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
272,,0.3.85,"08/24/2023, 00:30:00",100290.0,lumi.54ef4410004b18a1,3,"08/24/2023, 00:00:00"
271,"08/24/2023, 00:03:55",0.3.85,"08/24/2023, 00:30:00",100290.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 00:00:00"
270,"08/24/2023, 00:03:55",0.3.85,"08/24/2023, 00:30:00",100290.000000,lumi.54ef4410004b18a1,1,"08/24/2023, 00:00:00"
269,,0.3.85,"08/24/2023, 01:00:00",100200.0,lumi.54ef4410004b18a1,3,"08/24/2023, 00:30:00"
268,,0.2.85,"08/24/2023, 01:00:00",6279.0,lumi.54ef4410004b18a1,3,"08/24/2023, 00:30:00"
267,,0.1.85,"08/24/2023, 01:00:00",3272.0,lumi.54ef4410004b18a1,3,"08/24/2023, 00:30:00"
266,"08/24/2023, 00:33:28",0.2.85,"08/24/2023, 01:00:00",6279.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 00:30:00"
265,"08/24/2023, 00:33:28",0.3.85,"08/24/2023, 01:00:00",100200.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 00:30:00"
264,"08/24/2023, 00:33:28",0.1.85,"08/24/2023, 01:00:00",3272.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 00:30:00"
263,"08/24/2023, 00:33:28",0.1.85,"08/24/2023, 01:00:00",3272.000000,lumi.54ef4410004b18a1,1,"08/24/2023, 00:30:00"
262,"08/24/2023, 00:33:28",0.2.85,"08/24/2023, 01:00:00",6279.000000,lumi.54ef4410004b18a1,1,"08/24/2023, 00:30:00"
261,"08/24/2023, 00:33:28",0.3.85,"08/24/2023, 01:00:00",100200.000000,lumi.54ef4410004b18a1,1,"08/24/2023, 00:30:00"
260,,0.3.85,"08/24/2023, 01:30:00",100230.0,lumi.54ef4410004b18a1,3,"08/24/2023, 01:00:00"
259,,0.2.85,"08/24/2023, 01:30:00",6274.0,lumi.54ef4410004b18a1,3,"08/24/2023, 01:00:00"
258,,0.1.85,"08/24/2023, 01:30:00",3269.0,lumi.54ef4410004b18a1,3,"08/24/2023, 01:00:00"
257,"08/24/2023, 01:28:14",0.2.85,"08/24/2023, 01:30:00",6274.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 01:00:00"
256,"08/24/2023, 01:10:43",0.3.85,"08/24/2023, 01:30:00",100260.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 01:00:00"
255,"08/24/2023, 01:28:14",0.1.85,"08/24/2023, 01:30:00",3269.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 01:00:00"
254,"08/24/2023, 01:28:14",0.1.85,"08/24/2023, 01:30:00",3269.000000,lumi.54ef4410004b18a1,1,"08/24/2023, 01:00:00"
253,"08/24/2023, 01:28:14",0.2.85,"08/24/2023, 01:30:00",6274.000000,lumi.54ef4410004b18a1,1,"08/24/2023, 01:00:00"
252,"08/24/2023, 01:28:14",0.3.85,"08/24/2023, 01:30:00",100200.000000,lumi.54ef4410004b18a1,1,"08/24/2023, 01:00:00"
251,,0.3.85,"08/24/2023, 02:00:00",100230.0,lumi.54ef4410004b18a1,3,"08/24/2023, 01:30:00"
250,"08/24/2023, 01:31:22",0.3.85,"08/24/2023, 02:00:00",100230.000000,lumi.54ef4410004b18a1,2,"08/24/2023, 01:30:00"
